Rank,Site,Manufacturer,Computer,Country,Year,Processors,RMax,RPeak,Nmax,Nhalf,Processor Family,Processor,Proc. Frequency,System Family,Operating System,Architecture,Segment,Application Area,Interconnect Family,Interconnect,Region,Continent
1,Sandia National Laboratories,Intel,ASCI Red,United States,1997,9152,1338.0,1830.4,235000,63000,Intel IA-32,Intel IA-32 Pentium Pro,200.0,intel Paragon,Paragon OS,MPP,Research,Not Specified,Proprietary,Proprietary,North America,Americas
2,Government,Cray Inc.,T3E900,United States,1997,1248,634.0,1123.2,0,0,Alpha,Alpha EV5,450.5,Cray T3E/T3D,UNICOS,MPP,Classified,Not Specified,Cray Interconnect,3-D Torus,North America,Americas
3,United Kingdom Meteorological Office,Cray Inc.,T3E900,United Kingdom,1997,840,430.3,756.0,0,0,Alpha,Alpha EV5,450.5,Cray T3E/T3D,UNICOS,MPP,Research,Weather and Climate Research,Cray Interconnect,3-D Torus,Northern Europe,Europe
5,NERSC/LBNL,Cray Inc.,T3E900,United States,1997,512,264.8,460.8,79744,14000,Alpha,Alpha EV5,450.5,Cray T3E/T3D,UNICOS,MPP,Research,Not Specified,Cray Interconnect,3-D Torus,North America,Americas
7,National Aerospace Laboratory of Japan,Fujitsu,Numerical Wind Tunnel,Japan,1996,167,229.0,281.26,66132,18018,Fujitsu,Fujitsu,105.3,Fujitsu VPP,UXP/V,MPP,Research,Aerospace,Crossbar,Full distributed crossbar,Eastern Asia,Asia
8,ECMWF,Fujitsu,VPP700/116,United Kingdom,1997,116,213.0,255.2,111360,18560,Fujitsu,Fujitsu,137.5,Fujitsu VPP,UXP/V,MPP,Research,Weather and Climate Research,Crossbar,Full distributed crossbar,Northern Europe,Europe
9,Max-Planck-Gesellschaft MPI/IPP,Cray Inc.,T3E,Germany,1997,672,196.0,403.2,0,0,Alpha,Alpha EV5,300.3,Cray T3E/T3D,UNICOS,MPP,Research,Not Specified,Cray Interconnect,3-D Torus,Western Europe,Europe
10,Cray Research,Cray Inc.,T3E,United States,1997,544,196.0,326.4,0,0,Alpha,Alpha EV5,300.3,Cray T3E/T3D,UNICOS,MPP,Vendor,Not Specified,Cray Interconnect,3-D Torus,North America,Americas
11,Forschungszentrum Juelich (FZJ),Cray Inc.,T3E,Germany,1996,512,196.0,307.2,77824,11264,Alpha,Alpha EV5,300.3,Cray T3E/T3D,UNICOS,MPP,Research,Not Specified,Cray Interconnect,3-D Torus,Western Europe,Europe
12,NASA/Goddard Space Flight Center,Cray Inc.,T3E,United States,1996,512,196.0,307.2,77824,11264,Alpha,Alpha EV5,300.3,Cray T3E/T3D,UNICOS,MPP,Research,Weather and Climate Research,Cray Interconnect,3-D Torus,North America,Americas
15,ERDC MSRC,Cray Inc.,T3E900,United States,1997,312,166.28,280.8,0,0,Alpha,Alpha EV5,450.5,Cray T3E/T3D,UNICOS,MPP,Research,Mechanics,Cray Interconnect,3-D Torus,North America,Americas
16,Deutscher Wetterdienst,Cray Inc.,T3E,Germany,1997,400,153.0,240.0,0,0,Alpha,Alpha EV5,300.3,Cray T3E/T3D,UNICOS,MPP,Research,Weather and Climate Research,Cray Interconnect,3-D Torus,Western Europe,Europe
17,Pacific Northwest National Laboratory,IBM,SP P2SC 120 MHz,United States,1997,472,151.8,226.56,61000,22600,Power,POWER2 SC,120.0,IBM SP,AIX,MPP,Research,Not Specified,SP Switch,SP Switch,North America,Americas
18,Sandia National Laboratories,Intel,XP/S140,United States,1993,3680,143.4,184.0,55700,20500,Intel i860,Intel i860 Intel 80860,50.0,intel Paragon,OSF/1,MPP,Research,Not Specified,,2-D mesh (torus),North America,Americas
19,Forschungszentrum Juelich (FZJ),Cray Inc.,T3E900,Germany,1997,256,138.7,230.4,81920,10192,Alpha,Alpha EV5,450.5,Cray T3E/T3D,UNICOS,MPP,Research,Not Specified,Cray Interconnect,3-D Torus,Western Europe,Europe
20,Minnesota Supercomputer Center,Cray Inc.,T3E900,United States,1997,256,138.7,230.4,81920,10192,Alpha,Alpha EV5,450.5,Cray T3E/T3D,UNICOS,MPP,Industry,Not Specified,Cray Interconnect,3-D Torus,North America,Americas
21,Naval Oceanographic Office (NAVOCEANO),Cray Inc.,T3E900,United States,1997,256,138.7,230.4,81920,10192,Alpha,Alpha EV5,450.5,Cray T3E/T3D,UNICOS,MPP,Research,Weather and Climate Research,Cray Interconnect,3-D Torus,North America,Americas
23,Cray Research,Cray Inc.,T3E1200,United States,1997,256,138.0,307.2,0,0,Alpha,Alpha EV56,598.8,Cray T3E/T3D,UNICOS,MPP,Vendor,Not Specified,Cray Interconnect,3-D Torus,North America,Americas
