Rank,Previous Rank,First Appearance,First Rank,Name,Computer,Site,Manufacturer,Country,Year,Segment,Total Cores,Accelerator/Co-Processor Cores,Rmax,Rpeak,Effeciency (%),Nmax,Nhalf,Power,Mflops/Watt,Architecture,Processor,Processor Technology,Processor Speed (MHz),Operating System,OS Family,Accelerator/Co-Processor,Cores per Socket,Processor Generation,System Model,System Family,Interconnect Family,Interconnect,Region,Continent
100,,39,100,Cetus,"BlueGene/Q, Power BQC 16C 1.60GHz, Custom",DOE/SC/Argonne National Laboratory,IBM,United States,2012,Research,16384,0,172691.0,209715.0,82.35,1376255,0,82.19,2101.12,MPP,Power BQC 16C 1.600GHz,PowerPC,1600,Linux,Linux,None,16,Power BQC,BlueGene/Q,IBM BlueGene,Custom Interconnect,Custom,North America,Americas
101,65.0,37,109,,"BlueGene/Q, Power BQC 16C 1.60 GHz, Custom",IBM Thomas J. Watson Research Center,IBM,United States,2011,Research,16384,0,172691.0,209715.0,82.35,1376255,0,82.19,2101.12,MPP,Power BQC 16C 1.600GHz,PowerPC,1600,Linux,Linux,None,16,Power BQC,BlueGene/Q,IBM BlueGene,Custom Interconnect,Custom,North America,Americas
104,66.0,36,37,Ivanhoe,"iDataPlex, Xeon X56xx 6C 2.93 GHz, Infiniband",EDF R&D,IBM,France,2010,Industry,16320,0,168800.0,191270.4,88.25,1958400,0,510.0,330.98,Cluster,Xeon X5670 6C 2.930GHz,Intel Nehalem,2930,Linux,Linux,None,6,Xeon 5600-series (Westmere-EP),xSeries iDataPlex,IBM iDataPlex,Infiniband,Infiniband,Western Europe,Europe
105,68.0,36,40,Sierra,"Dell Xanadu 3 Cluster, Xeon X5660 2.8 Ghz, QLogic InfiniBand QDR",Lawrence Livermore National Laboratory,Dell,United States,2010,Research,21756,0,166700.0,243667.0,68.41,1973166,0,,,Cluster,Xeon X5660 6C 2.800GHz,Intel Nehalem,2800,Linux,Linux,None,6,Xeon 5600-series (Westmere-EP),Dell Xanadu 3 Cluster,Dell Xanadu,Infiniband,Infiniband QDR,North America,Americas
107,69.0,34,23,,Cray XT5 QC 2.4 GHz,Government,Cray Inc.,United States,2009,Government,20960,0,165600.0,201216.0,82.3,0,0,,,MPP,Opteron Quad Core 4C 2.400GHz,AMD x86_64,2400,CNL,Linux,None,4,Opteron Quad Core,Cray XT5 QuadCore,Cray XT,Proprietary Network,XT4 Internal Interconnect,North America,Americas
108,70.0,37,53,,"iDataPlex DX360M3, Xeon X5670 6C 2.93 GHz, Infiniband QDR",Vestas Wind Systems A/S,IBM,Denmark,2011,Industry,15672,0,162098.0,183675.84,88.25,0,0,489.75,330.98,Cluster,Xeon X5670 6C 2.930GHz,Intel Nehalem,2930,Linux,Linux,None,6,Xeon 5600-series (Westmere-EP),iDataPlex DX360M3,IBM iDataPlex,Infiniband,Infiniband QDR,Northern Europe,Europe
109,71.0,38,71,,"SGI Altix ICE 8400EX, Xeon X56xx (Westmere-EP) 3.47 GHz, Infiniband QDR",NOAA Environmental Security Computer Center,SGI,United States,2011,Research,27648,0,161800.0,382648.32,42.28,0,0,,,MPP,Xeon X5690 6C 3.470GHz,Intel Nehalem,3470,Linux,Linux,None,6,Xeon 5600-series (Westmere-EP),SGI Altix ICE 8400EX,SGI Altix,Infiniband,Infiniband QDR,North America,Americas
111,73.0,34,24,Diamond,"SGI Altix ICR 8200 Enh. LX, Xeon X5560 2.8Ghz",ERDC DSRC,SGI,United States,2009,Research,15360,0,160200.0,172032.0,93.12,2280600,0,774.0,206.98,MPP,Xeon X5560 4C 2.800GHz,Intel Nehalem,2800,SLES10 + SGI ProPack 5,Linux,None,4,Xeon 5500-series (Nehalem-EP),SGI Altix ICE 8200 Enhanced LX,SGI Altix,Infiniband,Infiniband DDR,North America,Americas
113,74.0,37,50,,"Power 775, Power7 3.836 GHz",IBM Poughkeepsie Benchmarking Center,IBM,United States,2011,Vendor,6912,0,159600.0,212115.0,75.24,0,0,423.12,377.2,MPP,POWER7 8C 3.836GHz,Power,3836,AIX,Unix,None,8,POWER7,Power 775,IBM pSeries,Custom Interconnect,Custom,North America,Americas
114,,39,114,Blue Wonder,"iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR",Science and Technology Facilities Council - Daresbury Laboratory,IBM,United Kingdom,2012,Research,8192,0,158696.0,170394.0,93.13,0,0,170.16,932.63,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5,iDataPlex DX360M4,IBM iDataPlex,Infiniband,Infiniband FDR,Northern Europe,Europe
115,75.0,38,75,Tera-100 Hybrid,"Bullx B505, Xeon E56xx (Westmere-EP) 2.40 GHz, Infiniband QDR",Commissariat a l'Energie Atomique (CEA),Bull SA,France,2011,Research,7020,5460,154000.0,274560.0,56.09,536576,0,,,Cluster,Xeon E5620 4C 2.400GHz,Intel Nehalem,2400,Linux,Linux,NVIDIA 2090,4,Xeon 5600-series (Westmere-EP),Bullx B505,Bull Bullx,Infiniband,Infiniband QDR,Western Europe,Europe
116,76.0,36,44,Garnet,Cray XE6 8-core 2.4 GHz,ERDC DSRC,Cray Inc.,United States,2010,Research,20176,0,153000.0,193689.6,78.99,0,0,,,MPP,Opteron 6136 8C 2.400GHz,AMD x86_64,2400,Linux,Linux,None,8,"Opteron 6100-series ""Magny-Cours"" ",Cray XE6,Cray XE,Custom Interconnect,Custom,North America,Americas
121,,39,121,,"iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR",Centro Euro-Mediterraneo per i Cambiamenti Climatici,IBM,Italy,2012,Research,7680,0,148777.78,159744.0,93.14,0,0,159.53,932.6,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5,iDataPlex DX360M4,IBM iDataPlex,Infiniband,Infiniband FDR,Southern Europe,Europe
122,81.0,38,81,,"Sunway 4000H Cluster, Xeon X56xx (Westmere-EP) 2.93 GHz, Infiniband QDR",Government,National Research Center of Parallel Computer Engineering & Technology,China,2011,Research,14280,0,145600.0,167362.0,87.0,1720320,0,,,Cluster,Xeon X5670 6C 2.930GHz,Intel Nehalem,2930,Linux,Linux,None,6,Xeon 5600-series (Westmere-EP),Sunway 4000H Cluster,Sunway Cluster,Infiniband,Infiniband QDR,Eastern Asia,Asia
123,82.0,37,54,,"iDataPlex DX360M3, Xeon E5645 6C 2.40 GHz, Infiniband QDR, NVIDIA 2070",CINECA / SCS - SuperComputing Solution,IBM,Italy,2011,Research,10240,7168,142700.0,293171.0,48.67,0,0,160.0,891.88,Cluster,Xeon E5645 6C 2.400GHz,Intel Nehalem,2400,Linux,Linux,NVIDIA 2070,6,Xeon 5600-series (Westmere-EP),iDataPlex DX360M3,IBM iDataPlex,Infiniband,Infiniband QDR,Southern Europe,Europe
124,,39,124,,"Cluster Platform 3000 BL460c Gen8, Xeon E5-2670 8C 2.60GHz, 10G Ethernet",IT Service Provider,Hewlett-Packard,United States,2012,Industry,9488,0,141894.9,197350.0,71.9,0,0,,,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5,Cluster Platform 3000 BL460c Gen8,HP Cluster Platform 3000BL,Gigabit Ethernet,10G Ethernet,North America,Americas
127,,39,127,,"Cluster Platform SL250s Gen8, Xeon E5-2660 8C 2.200GHz, Infiniband FDR, NVIDIA 2090",Research Center,Hewlett-Packard,China,2012,Research,8064,5376,135374.0,270749.0,50.0,0,0,,,Cluster,Xeon E5-2660 8C 2.200GHz,Intel SandyBridge,2200,Linux,Linux,NVIDIA 2090,8,Intel Xeon E5,Cluster Platform SL250s Gen8,HP Cluster Platform 3000SL,Infiniband,Infiniband FDR,Eastern Asia,Asia
128,84.0,31,8,Encanto,"SGI Altix ICE 8200, Xeon quad core 3.0 GHz",New Mexico Computing Applications Center (NMCAC),SGI,United States,2007,Research,14336,0,133200.0,172032.0,77.43,1800100,0,861.0,154.7,MPP,Xeon X5365 4C 3.000GHz,Intel Core,3000,SLES10 + SGI ProPack 5,Linux,None,4,"Xeon 5300-series ""Clovertown""",SGI Altix ICE 8200,SGI Altix,Infiniband,Infiniband,North America,Americas
129,85.0,31,9,EKA,"Cluster Platform 3000 BL460c, Xeon X5365 4C 3.000GHz, Infiniband DDR","Computational Research Laboratories, TATA SONS",Hewlett-Packard,India,2008,Industry,14384,0,132800.0,172608.0,76.94,1850000,250000,786.0,168.96,Cluster,Xeon X5365 4C 3.000GHz,Intel Core,3000,Linux,Linux,None,4,"Xeon 5300-series ""Clovertown""",Cluster Platform 3000 BL460c,HP Cluster Platform 3000BL,Infiniband,Infiniband DDR,South-central Asia,Asia
131,86.0,33,19,Juno,"Appro XtremeServer 1143H, Opteron QC 2.2Ghz, Infiniband",Lawrence Livermore National Laboratory,Appro International,United States,2008,Research,18224,0,131600.0,162200.0,81.13,1854663,0,,,Cluster,Opteron Quad Core 4C 2.200GHz,AMD x86_64,2200,Redhat Linux,Linux,None,4,Opteron Quad Core,Appro XtremeServer 1143H,Appro XtremeServer,Infiniband,Infiniband,North America,Americas
132,,39,132,,"xSeries x3650 Cluster, Xeon E5649 6C 2.530GHz, Gigabit Ethernet",Internet Service,IBM,China,2012,Industry,23316,0,131386.28,235958.0,55.68,0,0,707.25,185.77,Cluster,Xeon E5649 6C 2.530GHz,Intel Nehalem,2530,Linux,Linux,None,6,Xeon 5600-series (Westmere-EP),xSeries x3650 Cluster,IBM xSeries,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
133,87.0,37,60,,"HP ProLiant SL390s G7 Xeon 6C X5650, Infiniband",Energy Company (A),Hewlett-Packard,Italy,2011,Industry,15360,0,131200.0,163430.4,80.28,0,0,,,Cluster,Xeon X5650 6C 2.660GHz,Intel Nehalem,2660,Linux,Linux,None,6,Xeon 5600-series (Westmere-EP),Cluster Platform SL390s G7,HP Cluster Platform 3000SL,Infiniband,Infiniband QDR,Southern Europe,Europe
135,,39,135,,"Cluster Platform 3000 BL280c G6, Xeon X5675 6C 3.06GHz, Infiniband QDR",Manufacturing Company,Hewlett-Packard,United States,2012,Industry,13980,0,129986.1,171115.0,75.96,0,0,,,Cluster,Xeon X5675 6C 3.060GHz,Intel Nehalem,3060,Linux,Linux,None,6,Xeon 5600-series (Westmere-EP),Cluster Platform 3000 BL280c G6,HP Cluster Platform 3000BL,Infiniband,Infiniband QDR,North America,Americas
136,,39,136,,"Cluster Platform 4000 BL465c G7, Opteron 6176 12C 2.30GHz, Gigabit Ethernet",IT Service Provider (D),Hewlett-Packard,United States,2012,Industry,28620,0,127902.6,263304.0,48.58,0,0,,,Cluster,Opteron 6176 12C 2.300GHz,AMD x86_64,2300,Linux,Linux,None,12,"Opteron 6100-series ""Magny-Cours"" ",Cluster Platform 4000 BL465c G7,HP Cluster Platform 4000BL,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
