List,Date,Count,Min_Efficiency,Q25,Median,Q75,Max_Efficiency,Mean_Efficiency,Top_System_Rmax,Top_System_Power,Top_System_Efficiency,Conversion_Applied
TOP500_200806A,200806,42,0.018990825688073393,0.11659099548858406,0.1797011720848589,0.21055803571428572,0.37167195767195765,0.1685068876699427,326.0,2000.0,0.163,True
TOP500_200811A,200811,42,0.042322542322542324,0.11659099548858406,0.17861938727782978,0.21260602115968996,0.5362402541149293,0.18503549823110094,433.2,2000.0,0.2166,True
TOP500_200906A,200906,38,0.057077072224915176,0.13265504651148513,0.20400669642857144,0.21781139711842634,0.5362402541149293,0.20247630974977182,433.2,2000.0,0.2166,True
TOP500_200911A,200911,39,0.057077072224915176,0.1447629215504523,0.20424107142857142,0.2969868529305295,0.7229786518742646,0.2375559161087349,433.2,2000.0,0.2166,True
TOP500_201006A,201006,37,0.057077072224915176,0.11503423637987498,0.20377232142857143,0.29916225749559083,0.7733750434480362,0.23245706407337757,433.2,2000.0,0.2166,True
TOP500_201011A,201011,39,0.057077072224915176,0.14384425629679848,0.2274770642201835,0.3666622023809524,1.1763704460333673,0.3197794451403508,1192.0,1398.61,0.8522747585102353,True
TOP500_201106A,201106,38,0.057077072224915176,0.1483843754840905,0.28162394022333664,0.37451773526034104,1.3758432380340508,0.3255450790904989,1192.0,1398.61,0.8522747585102353,True
TOP500_201111A,201111,34,0.057090909090909095,0.20715,0.3369655870445344,0.45341653807554194,1.2662576687116565,0.39396810936833304,1192.0,1398.61,0.8522747585102353,True
TOP500_201206A,201206,59,0.09159487776484285,0.33776849321011754,0.47452083333333334,0.8692882969981496,2.101119357586081,0.6728497837980815,2897.0,3422.67,0.8464152255402946,True
TOP500_201211A,201211,62,0.09159487776484285,0.38519014059629786,0.7402001862197394,0.9482901208961713,2.4495677233429394,0.865561003338515,2897.0,3422.67,0.8464152255402946,True
