List,Best,Worst,Sum,Count,Q25,Median,Q75,Mean
TOP500_202006,415530.0,1232.0,1938469.13,437,1649.11,1768.59,2374.04,4435.856132723112
TOP500_202011,442010.0,1316.84,2150052.74387,434,1649.11,1909.93,2579.9175,4954.038580345622
TOP500_202106,442010.0,1511.0,2425296.48187,427,1649.11,2059.88,2924.7,5679.8512455971895
TOP500_202111,442010.0,1649.11,2660268.24587,424,1850.7225,2348.44,3253.0550000000003,6274.217561014151
TOP500_202206,1102000.0,1649.11,3964163.0158700002,414,1983.6125000000002,2453.05,3644.9049999999997,9575.272985193238
TOP500_202211,1102000.0,1729.0,4237893.49787,413,2087.5,2609.38,3944.68,10261.243336246973
TOP500_202306,1194000.0,1872.0,4516000.39787,406,2282.0,2868.975,4601.3025,11123.153689334977
TOP500_202311,1194000.0,2016.0,6202934.957870001,401,2399.59,3131.25,6316.03,15468.66573034913
TOP500_202406,1206000.0,2132.2,7324511.07787,397,2609.38,3487.91,7938.0,18449.65007020151
TOP500_202411,1742000.0,2310.23,10551785.637869997,389,2801.782,3944.68,9533.44,27125.412950822614
TOP500_202506,1742000.0,2435.0,12304806.667870002,380,3094.16,4446.0,11953.875,32381.070178605267
TOP500_202511,1809000.0,2574.02,13287555.39387,376,3151.6875,6037.5,15950.75,35339.24306880319
