Rank,Site,Manufacturer,Computer,Country,Year,Processors,RMax,RPeak,Nmax,Nhalf,Processor Family,Processor,Proc. Frequency,System Family,Operating System,Architecture,Segment,Application Area,Interconnect Family,Interconnect,Region,Continent
6,"Center for Computational Science, University of Tsukuba",Hitachi,CP-PACS/2048,Japan,1996,2048,368.2,614.4,103680,30720,PA-RISC,PA-RISC HARP-1E,150.0,Hitachi SR2xxx,HI-UX/MPP,MPP,Academic,Not Specified,Crossbar,Hyper crossbar,Eastern Asia,Asia
10,Universitaet Stuttgart,Cray Inc.,T3E900,Germany,1996,512,321.0,460.8,122880,15360,Alpha,Alpha EV5,450.5,Cray T3E/T3D,UNICOS,MPP,Academic,Not Specified,Cray Interconnect,3-D Torus,Western Europe,Europe
13,Tohoku University,NEC,SX-4/128H4,Japan,1997,128,244.0,256.0,0,0,NEC,NEC,250.0,NEC Vector,EWS-UX/V,Constellations,Academic,Not Specified,Crossbar,Multi-stage crossbar,Eastern Asia,Asia
14,University of Tokyo,Hitachi,SR2201/1024,Japan,1996,1024,232.4,307.2,155520,34560,PA-RISC,PA-RISC HARP-1E,150.0,Hitachi SR2xxx,HI-UX/MPP,MPP,Academic,Not Specified,Crossbar,Hyper crossbar,Eastern Asia,Asia
17,Pittsburgh Supercomputing Center,Cray Inc.,T3E,United States,1996,512,222.0,307.2,84480,12480,Alpha,Alpha EV5,300.3,Cray T3E/T3D,UNICOS,MPP,Academic,Not Specified,Cray Interconnect,3-D Torus,North America,Americas
26,University of Edinburgh,Cray Inc.,T3E900,United Kingdom,1997,256,161.0,230.4,84480,10080,Alpha,Alpha EV5,450.5,Cray T3E/T3D,UNICOS,MPP,Academic,Not Specified,Cray Interconnect,3-D Torus,Northern Europe,Europe
29,CINECA,Cray Inc.,T3E1200,Italy,1998,160,132.45,192.0,0,0,Alpha,Alpha EV56,598.8,Cray T3E/T3D,UNICOS,MPP,Academic,Not Specified,Cray Interconnect,3-D Torus,Southern Europe,Europe
32,Osaka University,NEC,SX-4/64M2,Japan,1997,64,122.0,128.0,30080,4352,NEC,NEC,250.0,NEC Vector,EWS-UX/V,Constellations,Academic,Not Specified,Crossbar,Multi-stage crossbar,Eastern Asia,Asia
33,CSC (Center for Scientific Computing),Cray Inc.,T3E750,Finland,1997,224,115.0,168.0,0,0,Alpha,Alpha EV5,374.5,Cray T3E/T3D,UNICOS,MPP,Academic,Not Specified,Cray Interconnect,3-D Torus,Northern Europe,Europe
34,CNRS/IDRIS,Cray Inc.,T3E,France,1996,256,112.0,153.6,59904,8832,Alpha,Alpha EV5,300.3,Cray T3E/T3D,UNICOS,MPP,Academic,Not Specified,Cray Interconnect,3-D Torus,Western Europe,Europe
36,UCSD/San Diego Supercomputer Center,Cray Inc.,T3E,United States,1996,256,112.0,153.6,59904,8832,Alpha,Alpha EV5,300.3,Cray T3E/T3D,UNICOS,MPP,Academic,Not Specified,Cray Interconnect,3-D Torus,North America,Americas
37,Kyushu University,Fujitsu,VPP700/56,Japan,1996,56,110.0,123.2,109200,10752,Fujitsu,Fujitsu,137.5,Fujitsu VPP,UXP/V,MPP,Academic,Not Specified,Crossbar,Full distributed crossbar,Eastern Asia,Asia
39,Leibniz Rechenzentrum,Fujitsu,VPP700/52,Germany,1998,52,106.0,114.4,0,0,Fujitsu,Fujitsu,137.5,Fujitsu VPP,UXP/V,MPP,Academic,Not Specified,Crossbar,Full distributed crossbar,Western Europe,Europe
44,National Supercomputer Centre (NSC),Cray Inc.,T3E,Sweden,1997,216,94.2,129.6,0,0,Alpha,Alpha EV5,300.3,Cray T3E/T3D,UNICOS,MPP,Academic,Not Specified,Cray Interconnect,3-D Torus,Northern Europe,Europe
49,ZIB/Konrad Zuse-Zentrum fuer Informationstechnik,Cray Inc.,T3E900,Germany,1997,136,82.33,122.4,0,0,Alpha,Alpha EV5,450.5,Cray T3E/T3D,UNICOS,MPP,Academic,Not Specified,Cray Interconnect,3-D Torus,Western Europe,Europe
60,KTH - Royal Institute of Technology,IBM,SP P2SC 160 MHz,Sweden,1998,146,60.91,93.44,0,0,Power,POWER2 SC,160.0,IBM SP,AIX,MPP,Academic,Not Specified,SP Switch,SP Switch,Northern Europe,Europe
63,Nagoya University,Fujitsu,VPP500/42,Japan,1995,42,59.6,67.2,0,0,Fujitsu,Fujitsu,100.0,Fujitsu VPP,UXP/V,MPP,Academic,Not Specified,Crossbar,Full distributed crossbar,Eastern Asia,Asia
66,"University of Tokyo/Human Genome Center, IMS",Hitachi,SR2201/256,Japan,1998,256,58.68,76.8,77760,13440,PA-RISC,PA-RISC HARP-1E,150.0,Hitachi SR2xxx,HI-UX/MPP,MPP,Academic,Not Specified,Crossbar,Hyper crossbar,Eastern Asia,Asia
67,University of Alaska - ARSC,Cray Inc.,T3E900,United States,1997,96,58.44,86.4,0,0,Alpha,Alpha EV5,450.5,Cray T3E/T3D,UNICOS,MPP,Academic,Not Specified,Cray Interconnect,3-D Torus,North America,Americas
69,UCSD/San Diego Supercomputer Center,IBM,SP P2SC 160 MHz,United States,1997,128,57.24,81.92,39000,9180,Power,POWER2 SC,160.0,IBM SP,AIX,MPP,Academic,Not Specified,SP Switch,SP Switch,North America,Americas
71,University of Tokyo/Institute for Solid State Physics,Fujitsu,VPP500/40,Japan,1994,40,56.9,64.0,0,0,Fujitsu,Fujitsu,100.0,Fujitsu VPP,UXP/V,MPP,Academic,Not Specified,Crossbar,Full distributed crossbar,Eastern Asia,Asia
74,Japan Adv. Inst. of Science and Technology (JAIST),Cray Inc.,T3E,Japan,1997,128,55.7,76.8,42240,5952,Alpha,Alpha EV5,300.3,Cray T3E/T3D,UNICOS,MPP,Academic,Not Specified,Cray Interconnect,3-D Torus,Eastern Asia,Asia
75,Ohio Supercomputer Center,Cray Inc.,T3E,United States,1997,128,55.7,76.8,42240,5952,Alpha,Alpha EV5,300.3,Cray T3E/T3D,UNICOS,MPP,Academic,Not Specified,Cray Interconnect,3-D Torus,North America,Americas
76,Cornell Theory Center,IBM,SP P2SC 120 MHz,United States,1997,160,52.96,76.8,0,0,Power,POWER2 SC,120.0,IBM SP,AIX,MPP,Academic,Not Specified,SP Switch,SP Switch,North America,Americas
77,Caltech/JPL,Hewlett-Packard,Exemplar X-Class,United States,1997,128,51.3,92.16,46128,0,PA-RISC,PA-RISC PA-8000,179.9,HP Superdome,HP Unix (HP-UX),MPP,Academic,Not Specified,,,North America,Americas
80,University of Cambridge,Hitachi,SR2201/224,United Kingdom,1997,224,51.13,67.2,0,0,PA-RISC,PA-RISC HARP-1E,150.0,Hitachi SR2xxx,HI-UX/MPP,MPP,Academic,Not Specified,Crossbar,Hyper crossbar,Northern Europe,Europe
83,Pittsburgh Supercomputing Center,Cray Inc.,T3D MC512-8,United States,1994,512,50.8,76.8,57856,7136,Alpha,Alpha EV4,149.9,Cray T3E/T3D,UNICOS,MPP,Academic,Not Specified,Cray Interconnect,3-D Torus,North America,Americas
84,University of Edinburgh,Cray Inc.,T3D MC512-8,United Kingdom,1996,512,50.8,76.8,57856,7136,Alpha,Alpha EV4,149.9,Cray T3E/T3D,UNICOS,MPP,Academic,Not Specified,Cray Interconnect,3-D Torus,Northern Europe,Europe
89,Scientific Supercomputing Center Karlsruhe,IBM,SP2/256,Germany,1997,256,44.2,68.09,53000,13500,Power,POWER2,66.5,IBM SP,AIX,MPP,Academic,Not Specified,,,Western Europe,Europe
97,Kyoto University,SGI,ORIGIN 2000,Japan,1997,128,40.25,49.92,60000,6000,MIPS,MIPS R10000,195.0,SGI Origin,IRIX,SMP,Academic,Not Specified,Crossbar,Hypercube,Eastern Asia,Asia
114,NCSA,SGI,ORIGIN 2000,United States,1997,128,40.25,49.92,60000,6000,MIPS,MIPS R10000,195.0,SGI Origin,IRIX,SMP,Academic,Not Specified,Crossbar,Hypercube,North America,Americas
122,University of Bergen,SGI,ORIGIN 2000,Norway,1997,128,40.25,49.92,60000,6000,MIPS,MIPS R10000,195.0,SGI Origin,IRIX,SMP,Academic,Not Specified,Crossbar,Hypercube,Northern Europe,Europe
123,University of Tokyo,SGI,ORIGIN 2000,Japan,1997,128,40.25,49.92,60000,6000,MIPS,MIPS R10000,195.0,SGI Origin,IRIX,SMP,Academic,Not Specified,Crossbar,Hypercube,Eastern Asia,Asia
124,University of Tokyo,SGI,ORIGIN 2000,Japan,1997,128,40.25,49.92,60000,6000,MIPS,MIPS R10000,195.0,SGI Origin,IRIX,SMP,Academic,Not Specified,Crossbar,Hypercube,Eastern Asia,Asia
134,Norwegian University of Science and Technology,Cray Inc.,T3E,Norway,1997,88,38.5,52.8,0,0,Alpha,Alpha EV5,300.3,Cray T3E/T3D,UNICOS,MPP,Academic,Not Specified,Cray Interconnect,3-D Torus,Northern Europe,Europe
137,Centre Informatique National (CINES),IBM,SP P2SC 120 MHz,France,1997,107,36.55,51.36,0,0,Power,POWER2 SC,120.0,IBM SP,AIX,MPP,Academic,Not Specified,SP Switch,SP Switch,Western Europe,Europe
138,Technical University Delft (TUD),Cray Inc.,T3E,Netherlands,1997,80,35.1,48.0,0,0,Alpha,Alpha EV5,300.3,Cray T3E/T3D,UNICOS,MPP,Academic,Not Specified,Cray Interconnect,3-D Torus,Western Europe,Europe
139,SARA (Stichting Academisch Rekencentrum),IBM,SP P2SC 160 MHz,Netherlands,1998,76,34.66,48.64,0,0,Power,POWER2 SC,160.0,IBM SP,AIX,MPP,Academic,Not Specified,SP Switch,SP Switch,Western Europe,Europe
150,Scientific Supercomputing Center Karlsruhe,Fujitsu,VPP300/16,Germany,1997,16,34.1,35.2,59200,3520,Fujitsu,Fujitsu,137.5,Fujitsu VPP,UXP/V,MPP,Academic,Not Specified,Crossbar,Full distributed crossbar,Western Europe,Europe
170,ETH,IBM,SP P2SC 160 MHz,Switzerland,1998,62,28.54,39.68,0,0,Power,POWER2 SC,160.0,IBM SP,AIX,MPP,Academic,Not Specified,SP Switch,SP Switch,Western Europe,Europe
174,University of Tokyo,Hitachi,S-3800/480,Japan,1993,4,28.4,32.0,15500,830,Hitachi,Hitachi,500.0,Hitachi Vector,VOS3/HAP/ES (IBM MVS compatible) and OSF/1,SMP,Academic,Not Specified,,,Eastern Asia,Asia
176,University of Texas,Cray Inc.,T3E,United States,1997,64,28.3,38.4,29952,4032,Alpha,Alpha EV5,300.3,Cray T3E/T3D,UNICOS,MPP,Academic,Not Specified,Cray Interconnect,3-D Torus,North America,Americas
178,Australian National University,Fujitsu,VPP300/13,Australia,1996,13,27.7,28.6,0,0,Fujitsu,Fujitsu,137.5,Fujitsu VPP,UXP/V,MPP,Academic,Not Specified,Crossbar,Full distributed crossbar,Australia and New Zealand,Oceania
179,Caltech/JPL,Hewlett-Packard,Exemplar X-Class,United States,1997,64,27.56,46.08,29956,4584,PA-RISC,PA-RISC PA-8000,179.9,HP Superdome,HP Unix (HP-UX),MPP,Academic,Not Specified,,,North America,Americas
180,Caltech/JPL,Hewlett-Packard,Exemplar X-Class,United States,1997,64,27.56,46.08,29956,4584,PA-RISC,PA-RISC PA-8000,179.9,HP Superdome,HP Unix (HP-UX),MPP,Academic,Not Specified,,,North America,Americas
182,NCSA,Hewlett-Packard,Exemplar X-Class,United States,1997,64,27.56,46.08,29956,4584,PA-RISC,PA-RISC PA-8000,179.9,HP Superdome,HP Unix (HP-UX),MPP,Academic,Not Specified,,,North America,Americas
185,University of Kentucky,Hewlett-Packard,Exemplar X-Class,United States,1998,64,27.56,46.08,29956,4584,PA-RISC,PA-RISC PA-8000,179.9,HP Superdome,HP Unix (HP-UX),MPP,Academic,Not Specified,,,North America,Americas
191,Chalmers University of Technology,Sun Microsystems,HPC 10000,Sweden,1997,64,26.45,32.0,19968,3072,Sparc,UltraSPARC I,250.0,Sun UltraHPC,Solaris,SMP,Academic,Not Specified,,,Northern Europe,Europe
197,University of Tokyo,Sun Microsystems,HPC 10000,Japan,1997,64,26.45,32.0,19968,3072,Sparc,UltraSPARC I,250.0,Sun UltraHPC,Solaris,SMP,Academic,Not Specified,,,Eastern Asia,Asia
205,Caltech/JPL,Cray Inc.,T3D SC256-8/264,United States,1994,256,25.3,38.4,40960,4918,Alpha,Alpha EV4,149.9,Cray T3E/T3D,UNICOS,MPP,Academic,Not Specified,Cray Interconnect,3-D Torus,North America,Americas
207,Ecole Polytechnique Federale de Lausanne,Cray Inc.,T3D MC256-8,Switzerland,1994,256,25.3,38.4,40960,4918,Alpha,Alpha EV4,149.9,Cray T3E/T3D,UNICOS,MPP,Academic,Not Specified,Cray Interconnect,3-D Torus,Western Europe,Europe
