Rank,Site,Manufacturer,Computer,Country,Year,Cores,RMax,RPeak,Nmax,Nhalf,Power,Processor Family,Processor,Proc. Frequency,System Family,System Model,Operating System,Architecture,Segment,Application Area,Interconnect Family,Interconnect,Region,Continent
78,Kyoto University,Fujitsu,"Fujitsu Cluster HX600, Opteron Quad Core, 2.3 GHz, Infiniband",Japan,2008,6656,50510.0,61235.0,1223040,215000,0.0,AMD x86_64,AMD x86_64 Opteron Quad Core,2300,Fujitsu Cluster,Fujitsu Cluster,Redhat Linux,Cluster,Academic,Not Specified,Infiniband,Infiniband DDR,Eastern Asia,Asia
79,SARA (Stichting Academisch Rekencentrum),IBM,"Power 575, p6 4.7 GHz, Infiniband",Netherlands,2008,3328,48932.7,62566.4,0,0,531.88,Power,POWER6,4700,IBM pSeries,pSeries 575,Linux,MPP,Academic,Not Specified,Infiniband,Infiniband,Western Europe,Europe
82,Moscow State University - Research Computing Center,SKIF/T-Platforms,"T-Platforms T60, Intel Quadcore 3Mhz, Infiniband DDR",Russia,2008,5000,47170.0,60000.0,750000,0,265.0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),3000,T-Platforms Cluster,T-Platforms T60 Cluster,CentOS,Cluster,Academic,Research,Infiniband,Infiniband DDR,Eastern Europe,Europe
83,National Supercomputer Centre (NSC),Hewlett-Packard,"Cluster Platform 3000 DL140 Cluster, Xeon 53xx 2.33GHz Infiniband",Sweden,2008,6440,47030.0,60020.8,1158000,200000,0.0,Intel EM64T,Intel EM64T Xeon 53xx (Clovertown),2333,HP Cluster Platform 3000,Cluster Platform 3000 DL140,Linux,Cluster,Academic,Research,Infiniband,Infiniband,Northern Europe,Europe
87,Texas Advanced Computing Center/Univ. of Texas,Dell,"PowerEdge 1955, 2.66 GHz, Infiniband",United States,2007,5848,46730.0,62220.0,1187200,0,0.0,Intel EM64T,Intel EM64T Xeon 51xx (Woodcrest),2667,Dell PowerEdge Cluster,PowerEdge 1955,Linux,Cluster,Academic,Not Specified,Infiniband,Infiniband,North America,Americas
88,HPC2N - Umea University,IBM,"BladeCenter HS21 Cluster, Xeon QC HT 2.5 GHz, IB, Windows HPC 2008/CentOS",Sweden,2008,5376,46040.0,53760.0,1113600,150000,173.21,Intel EM64T,Intel EM64T Xeon L54xx (Harpertown),2500,IBM Cluster,"BladeCenter HS21 Cluster, HT Xeon quad core",Windows HPC 2008,Cluster,Academic,Not Specified,Infiniband,Infiniband,Northern Europe,Europe
89,Clemson University,Dell/Sun,"PowerEdge 1950/SunFire X2200 Cluster Intel 53xx/54xx 2.33Ghz, Opteron 2.3 Ghz, Myrinet 10G",United States,2008,6120,45610.0,56548.8,1033400,0,285.0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),2333,Dell/Sun Cluster,PowerEdge 1950/SunFire X2200 Cluster,Linux,Cluster,Academic,Research,Myrinet,Myrinet 10G,North America,Americas
91,Ohio Supercomputer Center,IBM,"xSeries x3455 Cluster Opteron, DC 2.6 GHz/QC 2.5 GHz, Infiniband",United States,2009,8416,43460.0,68377.6,591000,0,0.0,AMD x86_64,AMD x86_64 Opteron Quad Core,2500,IBM Cluster,xSeries x3455 Cluster Opteron,Linux,Cluster,Academic,Not Specified,Infiniband,Infiniband,North America,Americas
98,University of Bergen,Cray Inc.,Cray XT4 QuadCore 2.3 GHz,Norway,2008,5550,40590.0,51060.0,0,0,274.73,AMD x86_64,AMD x86_64 Opteron Quad Core,2300,Cray XT,Cray XT4 QuadCore,CNL,MPP,Academic,Not Specified,Proprietary,XT4 Internal Interconnect,Northern Europe,Europe
107,"Gdansk University of Technology, CI Task",ACTION,ACTION Cluster Xeon E5345 Infiniband,Poland,2008,5336,38170.0,49731.0,760000,0,0.0,Intel EM64T,Intel EM64T Xeon 53xx (Clovertown),2333,ACTION Cluster,ACTION Cluster,Linux,Cluster,Academic,Research,Infiniband,Infiniband DDR,Eastern Europe,Europe
124,ASTRON/University Groningen,IBM,Blue Gene/P Solution,Netherlands,2008,12288,35123.0,41779.2,0,0,94.5,Power,PowerPC 450,850,IBM BlueGene,BlueGene/P,CNK/SLES 9,MPP,Academic,Research,Proprietary,Proprietary,Western Europe,Europe
126,Louisiana Optical Network Initiative,Dell,"PowerEdge 1950, 2.33 GHz, Infiniband",United States,2007,5440,34780.0,50766.1,0,0,0.0,Intel EM64T,Intel EM64T Xeon 53xx (Clovertown),2333,Dell PowerEdge Cluster,PowerEdge 1950,RedHat Enterprise 4,Cluster,Academic,Research,Infiniband,Infiniband DDR,North America,Americas
135,Harvard University - FAS Research Computing,Dell,"PowerEdge M600 Cluster, Xeon E5410 2.3Ghz, Infiniband",United States,2008,4096,32410.0,38175.0,1319648,0,0.0,Intel EM64T,Intel EM64T Xeon L54xx (Harpertown),2333,Dell PowerEdge Cluster,PowerEdge M600 Cluster,RedHat Enterprise 4,Cluster,Academic,Research,Infiniband,Infiniband,North America,Americas
139,University of Tromso,Hewlett-Packard,"Cluster Platform 3000 BL460c, Xeon 53xx 2.66GHz, GigEthernet",Norway,2007,5632,31864.0,59924.5,0,0,0.0,Intel EM64T,Intel EM64T Xeon 53xx (Clovertown),2667,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c,Linux,Cluster,Academic,Research,Gigabit Ethernet,Gigabit Ethernet,Northern Europe,Europe
160,Arizona State University HPCI / Translational Genomics Research Institute HPBC,Dell,"PowerEdge M100e/M600, E54xx/X5355 2.83/2.66 GHz, Infiniband",United States,2008,4200,30110.0,44688.0,0,0,0.0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),2830,Dell PowerEdge Cluster,PowerEdge M100e/M600 Cluster,Linux,Cluster,Academic,Research,Infiniband,Infiniband DDR,North America,Americas
163,University of British Columbia,Hewlett-Packard,"Cluster Platform 3000 BL2x220, E54xx 3.0 Ghz, Infiniband",Canada,2009,3088,29372.2,37056.0,0,0,0.0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),3000,HP Cluster Platform 3000BL,Cluster Platform 3000 BL 2x220,Linux,Cluster,Academic,Research,Infiniband,Infiniband,North America,Americas
174,University of Bristol,ClusterVision/IBM,"xSeries x3450 Cluster Xeon quad core, 2.8 GHz, Infiniband",United Kingdom,2008,3360,28775.0,37632.0,0,0,135.03,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),2800,IBM Cluster,xSeries x3450 Cluster Xeon quad core,Linux,Cluster,Academic,Research,Infiniband,Infiniband,Northern Europe,Europe
175,University of North Carolina,Dell,"PowerEdge 1955, 2.33 GHz, Cisco/Topspin Infiniband",United States,2007,4160,28770.0,38821.1,0,0,0.0,Intel EM64T,Intel EM64T Xeon 53xx (Clovertown),2333,Dell PowerEdge Cluster,PowerEdge 1955,Linux,Cluster,Academic,Research,Infiniband,Infiniband SDR,North America,Americas
183,University of Oklahoma,Dell,"PowerEdge 1950, Xeon E54xx, 2 GHz, Infiniband",United States,2008,4176,28030.0,33408.0,981750,0,0.0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),2000,Dell PowerEdge Cluster,PowerEdge 1950,Linux,Cluster,Academic,Research,Infiniband,Infiniband DDR,North America,Americas
188,ASTRON/University Groningen,IBM,eServer Blue Gene Solution,Netherlands,2005,12288,27450.0,34406.4,516095,0,134.4,Power,PowerPC 440,700,IBM BlueGene,BlueGene/L,CNK/SLES 9,MPP,Academic,Research,Proprietary,Proprietary,Western Europe,Europe
194,Clemson University Computational Center for Mobility Systems,Sun Microsystems,"SunBlade x6250, Xeon L5420 2.5GHz, Infiniband DDR",United States,2008,3440,27370.0,34400.0,1275000,0,0.0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),2500,Sun Blade System,Sun Blade x6250,Linux,Cluster,Academic,Automotive,Infiniband,Infiniband DDR,North America,Americas
196,Purdue University,Dell,"PowerEdge 1950, Xeon E54xx, 2.33 GHz, GigE",United States,2008,5600,26800.0,52248.0,0,0,0.0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),2333,Dell PowerEdge Cluster,PowerEdge 1950,Linux,Cluster,Academic,Research,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
199,HLRN at Universitaet Hannover / RRZN,SGI,"SGI Altix ICE 8200EX, Xeon quad core 3.0 GHz",Germany,2008,2560,26690.0,30720.0,767096,0,129.2,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),3000,SGI Altix,SGI Altix ICE 8200,SLES10 + SGI ProPack 5,MPP,Academic,Not Specified,Infiniband,Infiniband,Western Europe,Europe
200,HLRN at ZIB/Konrad Zuse-Zentrum fuer Informationstechnik,SGI,"SGI Altix ICE 8200EX, Xeon quad core 3.0 GHz",Germany,2008,2560,26690.0,30720.0,767096,0,129.2,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),3000,SGI Altix,SGI Altix ICE 8200,SLES10 + SGI ProPack 5,MPP,Academic,Not Specified,Infiniband,Infiniband,Western Europe,Europe
203,University of Alaska - Arctic Region Supercomputing Center,Cray Inc.,Cray XT5 QC 2.3 GHz,United States,2008,3456,26310.0,31795.2,0,0,159.84,AMD x86_64,AMD x86_64 Opteron Quad Core,2300,Cray XT,Cray XT5 QuadCore,CNL,MPP,Academic,Not Specified,Proprietary,XT4 Internal Interconnect,North America,Americas
224,SHARCNET - University of Western Ontario,Hewlett-Packard,"Cluster Platform 3000 BL260c G5, Xeon QC 2.83Ghz, Infiniband",Canada,2009,2688,24810.0,30428.0,756352,0,0.0,Intel EM64T,Intel EM64T Xeon L54xx (Harpertown),2830,HP Cluster Platform 3000BL,Cluster Platform 3000 BL260c G5,Linux,Cluster,Academic,Research,Infiniband,Infiniband,North America,Americas
