Rank,Site,Manufacturer,Computer,Country,Year,Processors,RMax,RPeak,Nmax,Nhalf,Processor Family,Processor,Proc. Frequency,System Family,Operating System,Architecture,Segment,Application Area,Interconnect Family,Interconnect,Region,Continent
4,University of Tokyo,Hitachi,SR8000/128,Japan,1999,128,873.0,1024.0,120000,16000,Hitachi SR8000,Hitachi SR8000,250.0,Hitachi SR8xxx,HI-UX/MPP,MPP,Academic,Not Specified,Crossbar,Multi-dimensional crossbar,Eastern Asia,Asia
10,CSAR at the University of Manchester,Cray Inc.,T3E1200,United Kingdom,1998,612,509.0,734.4,0,0,Alpha,Alpha EV56,598.8,Cray T3E/T3D,UNICOS,MPP,Academic,Not Specified,Cray Interconnect,3-D Torus,Northern Europe,Europe
18,"Center for Computational Science, University of Tsukuba",Hitachi,CP-PACS/2048,Japan,1996,2048,368.2,614.4,103680,30720,PA-RISC,PA-RISC HARP-1E,150.0,Hitachi SR2xxx,HI-UX/MPP,MPP,Academic,Not Specified,Crossbar,Hyper crossbar,Eastern Asia,Asia
23,Pittsburgh Supercomputing Center,Cray Inc.,T3E900,United States,1998,540,341.0,486.0,0,0,Alpha,Alpha EV5,450.5,Cray T3E/T3D,UNICOS,MPP,Academic,Not Specified,Cray Interconnect,3-D Torus,North America,Americas
27,NCSA,SGI,ORIGIN 2000 195/250 MHz,United States,1998,1024,264.9,327.68,0,0,MIPS,MIPS,194.9,SGI Origin,IRIX,Constellations,Academic,Not Specified,Crossbar,Hypercube,North America,Americas
30,Tohoku University,NEC,SX-4/128H4,Japan,1997,128,244.0,256.0,0,0,NEC,NEC,250.0,NEC Vector,EWS-UX/V,Constellations,Academic,Not Specified,Crossbar,Multi-stage crossbar,Eastern Asia,Asia
34,University of Tokyo,Hitachi,SR2201/1024,Japan,1996,1024,232.4,307.2,155520,34560,PA-RISC,PA-RISC HARP-1E,150.0,Hitachi SR2xxx,HI-UX/MPP,MPP,Academic,Not Specified,Crossbar,Hyper crossbar,Eastern Asia,Asia
36,CINECA,Cray Inc.,T3E1200,Italy,1999,268,221.77,321.6,0,0,Alpha,Alpha EV56,598.8,Cray T3E/T3D,UNICOS,MPP,Academic,Not Specified,Cray Interconnect,3-D Torus,Southern Europe,Europe
39,University of Edinburgh,Cray Inc.,T3E900,United Kingdom,1997,348,218.0,313.2,0,0,Alpha,Alpha EV5,450.5,Cray T3E/T3D,UNICOS,MPP,Academic,Not Specified,Cray Interconnect,3-D Torus,Northern Europe,Europe
44,University of Alaska - ARSC,Cray Inc.,T3E900,United States,1999,268,169.0,241.2,0,0,Alpha,Alpha EV5,450.5,Cray T3E/T3D,UNICOS,MPP,Academic,Not Specified,Cray Interconnect,3-D Torus,North America,Americas
45,ZIB/Konrad Zuse-Zentrum fuer Informationstechnik,Cray Inc.,T3E900,Germany,1999,268,169.0,241.2,0,0,Alpha,Alpha EV5,450.5,Cray T3E/T3D,UNICOS,MPP,Academic,Not Specified,Cray Interconnect,3-D Torus,Western Europe,Europe
54,CSC (Center for Scientific Computing),Cray Inc.,T3E750,Finland,1997,236,123.0,177.0,0,0,Alpha,Alpha EV5,374.5,Cray T3E/T3D,UNICOS,MPP,Academic,Not Specified,Cray Interconnect,3-D Torus,Northern Europe,Europe
56,Osaka University,NEC,SX-4/64M2,Japan,1997,64,122.0,128.0,30080,4352,NEC,NEC,250.0,NEC Vector,EWS-UX/V,Constellations,Academic,Not Specified,Crossbar,Multi-stage crossbar,Eastern Asia,Asia
57,CNRS/IDRIS,Cray Inc.,T3E,France,1996,268,117.0,160.8,0,0,Alpha,Alpha EV5,300.3,Cray T3E/T3D,UNICOS,MPP,Academic,Not Specified,Cray Interconnect,3-D Torus,Western Europe,Europe
59,UCSD/San Diego Supercomputer Center,Cray Inc.,T3E,United States,1996,268,117.0,160.8,0,0,Alpha,Alpha EV5,300.3,Cray T3E/T3D,UNICOS,MPP,Academic,Not Specified,Cray Interconnect,3-D Torus,North America,Americas
61,Kyushu University,Fujitsu,VPP700/56,Japan,1996,56,110.0,123.2,109200,10752,Fujitsu,Fujitsu,137.5,Fujitsu VPP,UXP/V,MPP,Academic,Not Specified,Crossbar,Full distributed crossbar,Eastern Asia,Asia
67,Leibniz Rechenzentrum,Fujitsu,VPP700/52,Germany,1998,52,106.0,114.4,0,0,Fujitsu,Fujitsu,137.5,Fujitsu VPP,UXP/V,MPP,Academic,Not Specified,Crossbar,Full distributed crossbar,Western Europe,Europe
71,National Supercomputer Centre (NSC),Cray Inc.,T3E,Sweden,1997,228,99.7,136.8,0,0,Alpha,Alpha EV5,300.3,Cray T3E/T3D,UNICOS,MPP,Academic,Not Specified,Cray Interconnect,3-D Torus,Northern Europe,Europe
73,University of Minnesota/Supercomputing Institute,IBM,SP Power3 200 MHz,United States,1999,160,94.9,128.0,0,0,Power,POWER3,200.0,IBM SP,AIX,MPP,Academic,Not Specified,SP Switch,SP Switch,North America,Americas
84,University of Minnesota/Supercomputing Institute,IBM,SP PC604e 332 MHz,United States,1998,256,79.17,169.98,89000,18000,Power,PowerPC 604e,332.2,IBM SP,AIX,MPP,Academic,Not Specified,SP Switch,SP Switch,North America,Americas
95,Centre Informatique National (CINES),IBM,SP P2SC 120 MHz,France,1999,207,67.8,99.36,0,0,Power,POWER2 SC,120.0,IBM SP,AIX,MPP,Academic,Not Specified,SP Switch,SP Switch,Western Europe,Europe
96,KTH - Royal Institute of Technology,IBM,SP P2SC 160 MHz,Sweden,1998,146,64.8,93.44,0,0,Power,POWER2 SC,160.0,IBM SP,AIX,MPP,Academic,Not Specified,SP Switch,SP Switch,Northern Europe,Europe
99,CSC (Center for Scientific Computing),SGI,ORIGIN 2000 300 MHz,Finland,1999,128,62.25,76.8,60032,9000,MIPS,MIPS R12000,300.3,SGI Origin,Linux,MPP,Academic,Not Specified,Crossbar,Hypercube,Northern Europe,Europe
108,Nagoya University,Fujitsu,VPP500/42,Japan,1995,42,59.6,67.2,0,0,Fujitsu,Fujitsu,100.0,Fujitsu VPP,UXP/V,MPP,Academic,Not Specified,Crossbar,Full distributed crossbar,Eastern Asia,Asia
