Rank,Site,Manufacturer,Computer,Country,Year,Processors,RMax,RPeak,Nmax,Nhalf,Processor Family,Processor,Proc. Frequency,System Family,Operating System,Architecture,Segment,Application Area,Interconnect Family,Interconnect,Region,Continent
137,ZIB/Konrad Zuse-Zentrum fuer Informationstechnik,Cray Inc.,T3E900,Germany,1999,540,341.0,486.0,0,0,Alpha,Alpha EV5,450.5,Cray T3E/T3D,UNICOS,MPP,Academic,Not Specified,Cray Interconnect,3-D Torus,Western Europe,Europe
138,University of Minnesota/Supercomputing Institute,IBM,SP Power3 375 MHz,United States,2000,322,330.0,483.0,0,0,Power,POWER3,375.0,IBM SP,AIX,MPP,Academic,Not Specified,SP Switch,SP Switch,North America,Americas
147,CSAR at the University of Manchester,SGI,ORIGIN 3000 400 MHz,United Kingdom,2001,512,315.5,409.6,130560,108800,MIPS,MIPS R12000,400.0,SGI Origin,Linux,MPP,Academic,Not Specified,Crossbar,Hypercube,Northern Europe,Europe
161,Norwegian University of Science and Technology,SGI,ORIGIN 3000 500 MHz,Norway,2001,384,306.3,384.0,0,0,MIPS,MIPS R14000,500.0,SGI Origin,IRIX,MPP,Academic,Not Specified,NUMAflex,NUMAflex,Northern Europe,Europe
162,CNRS/IDRIS,NEC,SX-5/40M3,France,2000,40,303.0,320.0,0,0,NEC,NEC,250.0,NEC Vector,Super-UX,Constellations,Academic,Not Specified,Crossbar,Multi-stage crossbar,Western Europe,Europe
163,University of California - Santa Cruz,Verari Systems,RS1100 AMD 1.4 GHz - Dolphin,United States,2002,264,301.8,739.2,115000,15000,AMD,AMD Athlon,1400.0,NOW - AMD,Linux,Cluster,Academic,Not Specified,Myrinet,Myrinet,North America,Americas
175,Nanyang Technological University - BIRC,Hewlett-Packard,"AlphaServer SC45, 1 GHz",Singapore,2002,176,285.3,352.0,124000,14000,Alpha,Alpha,1000.0,HP AlphaServer SC/GS,Tru64 UNIX,Cluster,Academic,Not Specified,Quadrics,Quadrics,South-eastern Asia,Asia
177,CSC (Center for Scientific Computing),Cray Inc.,T3E750,Finland,2000,540,284.0,405.0,0,0,Alpha,Alpha EV5,374.5,Cray T3E/T3D,UNICOS,MPP,Academic,Not Specified,Cray Interconnect,3-D Torus,Northern Europe,Europe
180,NCSA,SGI,ORIGIN 2000 195/250 MHz,United States,1998,1024,264.9,327.68,0,0,MIPS,MIPS,194.9,SGI Origin,IRIX,Constellations,Academic,Not Specified,Crossbar,Hypercube,North America,Americas
182,Pittsburgh Supercomputing Center,Hewlett-Packard,AlphaServer SC ES40/EV67,United States,2000,256,263.6,341.33,106000,20000,Alpha,Alpha EV67,666.7,HP AlphaServer SC/GS,Tru64 UNIX,Cluster,Academic,Not Specified,Quadrics,Quadrics,North America,Americas
185,Centre Informatique National (CINES),SGI,ORIGIN 3000 500 MHz,France,2001,320,259.0,320.0,0,0,MIPS,MIPS R14000,500.0,SGI Origin,IRIX,MPP,Academic,Not Specified,NUMAflex,NUMAflex,Western Europe,Europe
186,Purdue University,IBM,SP Power3 375 MHz,United States,2000,256,257.0,384.0,148000,24000,Power,POWER3,375.0,IBM SP,AIX,MPP,Academic,Not Specified,SP Switch,SP Switch,North America,Americas
219,Tohoku University,NEC,SX-4/128H4,Japan,1997,128,244.0,256.0,0,0,NEC,NEC,250.0,NEC Vector,EWS-UX/V,Constellations,Academic,Not Specified,Crossbar,Multi-stage crossbar,Eastern Asia,Asia
223,"Tohoku University, Institute of Fluid Science",SGI,ORIGIN 2000 300 MHz,Japan,2000,640,241.4,384.0,147456,33984,MIPS,MIPS R12000,300.3,SGI Origin,Linux,MPP,Academic,Not Specified,Crossbar,Hypercube,Eastern Asia,Asia
228,University of New Mexico,IBM,LosLobos,United States,2000,512,237.0,375.3,150000,20000,Intel IA-32,Intel IA-32 Pentium 3,735.3,NOW - Intel Pentium,Linux,Cluster,Academic,Not Specified,Fast Ethernet,Fast Ethernet,North America,Americas
231,Boston University,IBM,pSeries 690 Turbo 1.3GHz GigEth,United States,2002,96,234.0,499.2,0,0,Power,POWER4,1300.0,IBM pSeries,AIX,MPP,Academic,Not Specified,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
233,Technische Universitaet Darmstadt,IBM,pSeries 690 Turbo 1.3GHz GigEth,Germany,2002,96,234.0,499.2,0,0,Power,POWER4,1300.0,IBM pSeries,AIX,MPP,Academic,Not Specified,Gigabit Ethernet,Gigabit Ethernet,Western Europe,Europe
234,University of Bergen,IBM,pSeries 690 Turbo 1.3GHz GigEth,Norway,2002,96,234.0,499.2,0,0,Power,POWER4,1300.0,IBM pSeries,AIX,MPP,Academic,Not Specified,Gigabit Ethernet,Gigabit Ethernet,Northern Europe,Europe
237,SARA (Stichting Academisch Rekencentrum),IBM,Netfinity Cluster PIII 1 GHz - Myrinet,Netherlands,2002,400,232.0,400.0,0,0,Intel IA-32,Intel IA-32 Pentium 3,1000.0,IBM Cluster,Linux,Cluster,Academic,Not Specified,Myrinet,Myrinet,Western Europe,Europe
241,Hokkaido University,Hitachi,SR8000/32,Japan,2000,32,229.0,256.0,65000,5632,Hitachi SR8000,Hitachi SR8000,250.0,Hitachi SR8xxx,HI-UX/MPP,MPP,Academic,Not Specified,Crossbar,Multi-dimensional crossbar,Eastern Asia,Asia
242,Ohio Supercomputer Center,SGI,SGI 750 Cluster Itanium 733 MHz,United States,2001,128,226.0,375.29,157680,0,Intel IA-64,Intel IA-64 Itanium,733.0,SGI Cluster,Linux,Cluster,Academic,Not Specified,Fast Ethernet,Fast Ethernet,North America,Americas
