Rank,Previous Rank,First Appearance,First Rank,Name,Computer,Site,Manufacturer,Country,Year,Segment,Total Cores,Accelerator/Co-Processor Cores,Rmax [TFlop/s],Rpeak [TFlop/s],Nmax,Nhalf,HPCG [TFlop/s],Power (kW),Power Source,Power Efficiency [GFlops/Watts],Architecture,Processor,Processor Technology,Processor Speed (MHz),Operating System,OS Family,Accelerator/Co-Processor,Cores per Socket,Processor Generation,System Model,System Family,Interconnect Family,Interconnect,Continent,Site ID,System ID
89,77.0,48,34,Camphor 2,"Cray XC40, Intel Xeon Phi 7250 68C 1.4GHz, Aries interconnect ","Academic Center for Computing and Media Studies (ACCMS),  Kyoto University",Cray/HPE,Japan,2016,Academic,122400,,3057.35,5483.52,4579680.0,,,748.1,Submitted,4.086819944,MPP,Intel Xeon Phi 7250 68C 1.4GHz,Intel Xeon Phi,1400,Cray Linux Environment ,Cray Linux Environment ,None,68,Intel Xeon Phi,Cray XC40,Cray XC,Custom Interconnect,Aries interconnect ,Asia,50516,178927
91,79.0,53,72,Jean Zay,"HPE SGI 8600, Xeon Gold 6248 20C 2.5GHz, Intel Omni-Path",CNRS/IDRIS-GENCI,HPE,France,2019,Academic,61120,,3054.35,4867.2,5598720.0,,52.571,,,,Cluster,Xeon Gold 6248 20C 2.5GHz,Intel Cascade lake,2500,RHEL 7.6,RHEL 7.6,None,20,Xeon Gold 62xx (Cascade Lake),HPE SGI 8600,HPE SGI 8600,Omnipath,Intel Omni-Path,Europe,50403,179699
92,,55,92,Lichtenberg II (Phase 1),"MEGWARE MiriQuid, Intel Xeon Platinum 9242 48C 2.3GHz, Mellanox InfiniBand HDR100",Technische Universitaet Darmstadt,MEGWARE,Germany,2020,Academic,57024,,3033.51,4196.97,5101056.0,,,634.15,Submitted,4.783584325,Cluster,Xeon Platinum 8260 24C 2.4GHz,Intel Cascade lake,2400,CentOS,CentOS,NVIDIA Tesla V100,24,Xeon Platinum 82xx (Cascade Lake),MEGWARE MiriQuid,MEGWARE Cluster,Infiniband,Mellanox InfiniBand HDR100,Europe,49078,179857
95,82.0,52,423,Tetralith,"Intel H2204XXLRE, Xeon Gold 6130 16C 2.1GHz, Intel Omni-Path",National Supercomputer Centre (NSC),ClusterVision / Hammer,Sweden,2018,Academic,64512,,2969.19,4335.21,4160256.0,,65.241,,,,Cluster,Xeon Gold 6130 16C 2.1GHz,Intel Skylake,2100,CentOS,CentOS,None,16,Xeon Gold,Intel H2204XXLRE,ClusterVision / Hammer Cluster,Omnipath,Intel Omni-Path,Europe,48488,179576
97,85.0,39,4,SuperMUC,"iDataPlex DX360M4, Xeon E5-2680 8C 2.70GHz, Infiniband FDR",Leibniz Rechenzentrum,IBM/Lenovo,Germany,2012,Academic,147456,,2897.0,3185.05,5201920.0,,83.3,3422.67,Submitted,0.8464152255,Cluster,Xeon E5-2680 8C 2.7GHz,Intel SandyBridge,2700,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),iDataPlex DX360M4,IBM iDataPlex,Infiniband,Infiniband FDR,Europe,48248,177719
98,86.0,45,21,SuperMUC Phase 2,"NeXtScale nx360M5, Xeon E5-2697v3 14C 2.6GHz, Infiniband FDR14",Leibniz Rechenzentrum,Lenovo/IBM,Germany,2015,Academic,86016,,2813.62,3578.27,4423680.0,,,1480.83,Submitted,1.900029038,Cluster,Xeon E5-2697v3 14C 2.6GHz,Intel Haswell,2600,Linux,Linux,None,14,Intel Xeon E5 (Haswell),IBM NeXtScale nx360M5,NeXtScale,Infiniband,Infiniband FDR14,Europe,48248,178544
105,93.0,53,82,VSC-4,"ThinkSystem SD650, Xeon Platinum 8174 24C 3.1GHz, Intel Omni-Path",Vienna Scientific Cluster,Lenovo,Austria,2019,Academic,37920,,2726.08,3761.66,3385000.0,,,,,,Cluster,Xeon Platinum 8174 24C 3.1GHz,Intel Skylake,3100,SUSE Linux Enterprise Server 12 SP3,SUSE Linux Enterprise Server 12 SP3,None,24,Xeon Platinum,ThinkSystem SD650,Lenovo ThinkSystem,Omnipath,Intel Omni-Path,Europe,50345,179697
113,,55,113,,"Inspur TS10000, Xeon Gold 6258R 28C 2.7GHz, InfiniBand HDR100",Tsinghua University,Inspur,China,2020,Academic,50400,,2610.0,4354.56,4298000.0,,,,,,Cluster,Xeon Gold 6258R 28C 2.7GHz,Intel Cascade lake,2700,Linux,Linux,None,28,Xeon Gold 62xx (Cascade Lake),Inspur TS10000,Inspur Cluster,Infiniband,InfiniBand HDR100,Asia,49774,179827
114,,55,114,Cedar (CPU),"PowerEdge C6420, Xeon Platinum 8160  24C 2.1GHz, Intel Omni-Path",Simon Fraser University/Compute Canada,ACTION,Canada,2020,Academic,67584,,2607.98,4895.54,4320000.0,,,792.0,Submitted,3.29290404,Cluster,Xeon Platinum 8160  24C 2.1GHz,Intel Skylake,2100,CentOS,CentOS,None,24,Xeon Platinum,PowerEdge C6420,Dell PowerEdge Cluster,Omnipath,Intel Omni-Path,North America,50722,179858
124,104.0,49,51,occigen2,"bullx DLC 720, Xeon E5-2690v4 14C 2.6GHz, Infiniband FDR",Grand Equipement National de Calcul Intensif - Centre Informatique National de l'Enseignement Suprieur (GENCI-CINES),Atos,France,2016,Academic,85824,,2494.65,3570.28,3889152.0,,45.475,1430.0,Submitted,1.74451049,Cluster,Xeon E5-2690v4 14C 2.6GHz,Intel Broadwell,2600,bullx SCS,bullx SCS,None,14,Intel Xeon E5 (Broadwell),bullx DLC 720,Bull Bullx,Infiniband,Infiniband FDR,Europe,50203,179092
