Rank,Site,Manufacturer,Computer,Country,Year,Processors,RMax,RPeak,Nmax,Nhalf,Processor Family,Processor,Proc. Frequency,System Family,Operating System,Architecture,Segment,Application Area,Interconnect Family,Interconnect,Region,Continent
4,"Center for Computational Science, University of Tsukuba",Hitachi,CP-PACS/2048,Japan,1996,2048,368.2,614.4,103680,30720,PA-RISC,PA-RISC HARP-1E,150.0,Hitachi SR2xxx,HI-UX/MPP,MPP,Academic,Not Specified,Crossbar,Hyper crossbar,Eastern Asia,Asia
6,University of Tokyo,Hitachi,SR2201/1024,Japan,1996,1024,232.4,307.2,155520,34560,PA-RISC,PA-RISC HARP-1E,150.0,Hitachi SR2xxx,HI-UX/MPP,MPP,Academic,Not Specified,Crossbar,Hyper crossbar,Eastern Asia,Asia
13,Pittsburgh Supercomputing Center,Cray Inc.,T3E,United States,1996,512,196.0,307.2,77824,11264,Alpha,Alpha EV5,300.3,Cray T3E/T3D,UNICOS,MPP,Academic,Not Specified,Cray Interconnect,3-D Torus,North America,Americas
14,Universitaet Stuttgart,Cray Inc.,T3E,Germany,1996,512,196.0,307.2,77824,11264,Alpha,Alpha EV5,300.3,Cray T3E/T3D,UNICOS,MPP,Academic,Not Specified,Cray Interconnect,3-D Torus,Western Europe,Europe
22,University of Edinburgh,Cray Inc.,T3E900,United Kingdom,1997,256,138.7,230.4,81920,10192,Alpha,Alpha EV5,450.5,Cray T3E/T3D,UNICOS,MPP,Academic,Not Specified,Cray Interconnect,3-D Torus,Northern Europe,Europe
27,Osaka University,NEC,SX-4/64M2,Japan,1997,64,122.0,128.0,30080,4352,NEC,NEC,250.0,NEC Vector,EWS-UX/V,Constellations,Academic,Not Specified,Crossbar,Multi-stage crossbar,Eastern Asia,Asia
28,Kyushu University,Fujitsu,VPP700/56,Japan,1996,56,110.0,123.2,109200,10752,Fujitsu,Fujitsu,137.5,Fujitsu VPP,UXP/V,MPP,Academic,Not Specified,Crossbar,Full distributed crossbar,Eastern Asia,Asia
31,CSC (Center for Scientific Computing),Cray Inc.,T3E750,Finland,1997,224,101.0,168.0,0,0,Alpha,Alpha EV5,374.5,Cray T3E/T3D,UNICOS,MPP,Academic,Not Specified,Cray Interconnect,3-D Torus,Northern Europe,Europe
33,CNRS/IDRIS,Cray Inc.,T3E,France,1996,256,98.5,153.6,56960,8000,Alpha,Alpha EV5,300.3,Cray T3E/T3D,UNICOS,MPP,Academic,Not Specified,Cray Interconnect,3-D Torus,Western Europe,Europe
34,UCSD/San Diego Supercomputer Center,Cray Inc.,T3E,United States,1996,256,98.5,153.6,56960,8000,Alpha,Alpha EV5,300.3,Cray T3E/T3D,UNICOS,MPP,Academic,Not Specified,Cray Interconnect,3-D Torus,North America,Americas
35,National Supercomputer Centre (NSC),Cray Inc.,T3E,Sweden,1997,216,83.47,129.6,0,0,Alpha,Alpha EV5,300.3,Cray T3E/T3D,UNICOS,MPP,Academic,Not Specified,Cray Interconnect,3-D Torus,Northern Europe,Europe
39,ZIB/Konrad Zuse-Zentrum fuer Informationstechnik,Cray Inc.,T3E900,Germany,1997,152,82.3,136.8,0,0,Alpha,Alpha EV5,450.5,Cray T3E/T3D,UNICOS,MPP,Academic,Not Specified,Cray Interconnect,3-D Torus,Western Europe,Europe
41,Leibniz Rechenzentrum,Fujitsu,VPP700/34,Germany,1997,34,71.1,74.8,0,0,Fujitsu,Fujitsu,137.5,Fujitsu VPP,UXP/V,MPP,Academic,Not Specified,Crossbar,Full distributed crossbar,Western Europe,Europe
50,Tohoku University,NEC,SX-4/32,Japan,1997,32,61.7,64.0,20480,1688,NEC,NEC,250.0,NEC Vector,EWS-UX/V,SMP,Academic,Not Specified,Crossbar,Multi-stage crossbar,Eastern Asia,Asia
51,Tohoku University,NEC,SX-4/32,Japan,1997,32,61.7,64.0,20480,1688,NEC,NEC,250.0,NEC Vector,EWS-UX/V,SMP,Academic,Not Specified,Crossbar,Multi-stage crossbar,Eastern Asia,Asia
52,Tohoku University,NEC,SX-4/32,Japan,1997,32,61.7,64.0,20480,1688,NEC,NEC,250.0,NEC Vector,EWS-UX/V,SMP,Academic,Not Specified,Crossbar,Multi-stage crossbar,Eastern Asia,Asia
53,Tohoku University,NEC,SX-4/32,Japan,1997,32,61.7,64.0,20480,1688,NEC,NEC,250.0,NEC Vector,EWS-UX/V,SMP,Academic,Not Specified,Crossbar,Multi-stage crossbar,Eastern Asia,Asia
55,Nagoya University,Fujitsu,VPP500/42,Japan,1995,42,59.6,67.2,0,0,Fujitsu,Fujitsu,100.0,Fujitsu VPP,UXP/V,MPP,Academic,Not Specified,Crossbar,Full distributed crossbar,Eastern Asia,Asia
57,UCSD/San Diego Supercomputer Center,IBM,SP P2SC 160 MHz,United States,1997,128,57.24,81.92,39000,9180,Power,POWER2 SC,160.0,IBM SP,AIX,MPP,Academic,Not Specified,SP Switch,SP Switch,North America,Americas
59,University of Tokyo/Institute for Solid State Physics,Fujitsu,VPP500/40,Japan,1994,40,56.9,64.0,0,0,Fujitsu,Fujitsu,100.0,Fujitsu VPP,UXP/V,MPP,Academic,Not Specified,Crossbar,Full distributed crossbar,Eastern Asia,Asia
60,Cornell Theory Center,IBM,SP P2SC 120 MHz,United States,1997,160,52.96,76.8,0,0,Power,POWER2 SC,120.0,IBM SP,AIX,MPP,Academic,Not Specified,SP Switch,SP Switch,North America,Americas
62,University of Alaska - ARSC,Cray Inc.,T3E900,United States,1997,96,52.05,86.4,0,0,Alpha,Alpha EV5,450.5,Cray T3E/T3D,UNICOS,MPP,Academic,Not Specified,Cray Interconnect,3-D Torus,North America,Americas
63,Caltech/JPL,Hewlett-Packard,Exemplar X-Class,United States,1997,128,51.3,92.16,46128,0,PA-RISC,PA-RISC PA-8000,179.9,HP Superdome,HP Unix (HP-UX),MPP,Academic,Not Specified,,,North America,Americas
65,University of Cambridge,Hitachi,SR2201/224,United Kingdom,1997,224,51.13,67.2,0,0,PA-RISC,PA-RISC HARP-1E,150.0,Hitachi SR2xxx,HI-UX/MPP,MPP,Academic,Not Specified,Crossbar,Hyper crossbar,Northern Europe,Europe
68,Pittsburgh Supercomputing Center,Cray Inc.,T3D MC512-8,United States,1994,512,50.8,76.8,57856,7136,Alpha,Alpha EV4,149.9,Cray T3E/T3D,UNICOS,MPP,Academic,Not Specified,Cray Interconnect,3-D Torus,North America,Americas
69,University of Edinburgh,Cray Inc.,T3D MC512-8,United Kingdom,1996,512,50.8,76.8,57856,7136,Alpha,Alpha EV4,149.9,Cray T3E/T3D,UNICOS,MPP,Academic,Not Specified,Cray Interconnect,3-D Torus,Northern Europe,Europe
71,CINECA,Cray Inc.,T3E,Italy,1996,128,50.4,76.8,58848,7392,Alpha,Alpha EV5,300.3,Cray T3E/T3D,UNICOS,MPP,Academic,Not Specified,Cray Interconnect,3-D Torus,Southern Europe,Europe
72,Japan Adv. Inst. of Science and Technology (JAIST),Cray Inc.,T3E,Japan,1997,128,50.4,76.8,58848,7392,Alpha,Alpha EV5,300.3,Cray T3E/T3D,UNICOS,MPP,Academic,Not Specified,Cray Interconnect,3-D Torus,Eastern Asia,Asia
73,Ohio Supercomputer Center,Cray Inc.,T3E,United States,1997,128,50.4,76.8,58848,7392,Alpha,Alpha EV5,300.3,Cray T3E/T3D,UNICOS,MPP,Academic,Not Specified,Cray Interconnect,3-D Torus,North America,Americas
78,Scientific Supercomputing Center Karlsruhe,IBM,SP2/256,Germany,1997,256,44.2,68.09,53000,13500,Power,POWER2,66.5,IBM SP,AIX,MPP,Academic,Not Specified,,,Western Europe,Europe
86,Norwegian University of Science and Technology,Cray Inc.,T3E,Norway,1997,88,34.6,52.8,0,0,Alpha,Alpha EV5,300.3,Cray T3E/T3D,UNICOS,MPP,Academic,Not Specified,Cray Interconnect,3-D Torus,Northern Europe,Europe
90,Scientific Supercomputing Center Karlsruhe,Fujitsu,VPP300/16,Germany,1997,16,34.1,35.2,59200,3520,Fujitsu,Fujitsu,137.5,Fujitsu VPP,UXP/V,MPP,Academic,Not Specified,Crossbar,Full distributed crossbar,Western Europe,Europe
93,Technical University Delft (TUD),Cray Inc.,T3E,Netherlands,1997,80,31.5,48.0,0,0,Alpha,Alpha EV5,300.3,Cray T3E/T3D,UNICOS,MPP,Academic,Not Specified,Cray Interconnect,3-D Torus,Western Europe,Europe
105,University of Tokyo,Hitachi,S-3800/480,Japan,1993,4,28.4,32.0,15500,830,Hitachi,Hitachi,500.0,Hitachi Vector,VOS3/HAP/ES (IBM MVS compatible) and OSF/1,SMP,Academic,Not Specified,,,Eastern Asia,Asia
106,Australian National University,Fujitsu,VPP300/13,Australia,1996,13,27.7,28.6,0,0,Fujitsu,Fujitsu,137.5,Fujitsu VPP,UXP/V,MPP,Academic,Not Specified,Crossbar,Full distributed crossbar,Australia and New Zealand,Oceania
107,Caltech/JPL,Hewlett-Packard,Exemplar X-Class,United States,1997,64,27.56,46.08,29956,4584,PA-RISC,PA-RISC PA-8000,179.9,HP Superdome,HP Unix (HP-UX),MPP,Academic,Not Specified,,,North America,Americas
108,Caltech/JPL,Hewlett-Packard,Exemplar X-Class,United States,1997,64,27.56,46.08,29956,4584,PA-RISC,PA-RISC PA-8000,179.9,HP Superdome,HP Unix (HP-UX),MPP,Academic,Not Specified,,,North America,Americas
110,NCSA,Hewlett-Packard,Exemplar X-Class,United States,1997,64,27.56,46.08,29956,4584,PA-RISC,PA-RISC PA-8000,179.9,HP Superdome,HP Unix (HP-UX),MPP,Academic,Not Specified,,,North America,Americas
112,Centre Informatique National (CINES),IBM,SP P2SC 120 MHz,France,1997,79,27.3,37.92,0,0,Power,POWER2 SC,120.0,IBM SP,AIX,MPP,Academic,Not Specified,SP Switch,SP Switch,Western Europe,Europe
117,Chalmers University of Technology,Sun Microsystems,HPC 10000,Sweden,1997,64,26.45,32.0,19968,3072,Sparc,UltraSPARC I,250.0,Sun UltraHPC,Solaris,SMP,Academic,Not Specified,,,Northern Europe,Europe
120,University of Tokyo,Sun Microsystems,HPC 10000,Japan,1997,64,26.45,32.0,19968,3072,Sparc,UltraSPARC I,250.0,Sun UltraHPC,Solaris,SMP,Academic,Not Specified,,,Eastern Asia,Asia
128,Caltech/JPL,Cray Inc.,T3D SC256-8/264,United States,1994,256,25.3,38.4,40960,4918,Alpha,Alpha EV4,149.9,Cray T3E/T3D,UNICOS,MPP,Academic,Not Specified,Cray Interconnect,3-D Torus,North America,Americas
130,Ecole Polytechnique Federale de Lausanne,Cray Inc.,T3D MC256-8,Switzerland,1994,256,25.3,38.4,40960,4918,Alpha,Alpha EV4,149.9,Cray T3E/T3D,UNICOS,MPP,Academic,Not Specified,Cray Interconnect,3-D Torus,Western Europe,Europe
132,ZIB/Konrad Zuse-Zentrum fuer Informationstechnik,Cray Inc.,T3D SC256-8/464,Germany,1995,256,25.3,38.4,40960,4918,Alpha,Alpha EV4,149.9,Cray T3E/T3D,UNICOS,MPP,Academic,Not Specified,Cray Interconnect,3-D Torus,Western Europe,Europe
137,Tohoku University,NEC,SX-3/44R,Japan,1993,4,23.2,25.6,6400,830,NEC,NEC,400.0,NEC Vector,Super-UX,SMP,Academic,Not Specified,Crossbar,Multi-stage crossbar,Eastern Asia,Asia
139,Umea University / HPC2N,IBM,SP P2SC 120 MHz,Sweden,1997,66,23.18,31.68,0,0,Power,POWER2 SC,120.0,IBM SP,AIX,MPP,Academic,Not Specified,SP Switch,SP Switch,Northern Europe,Europe
140,University of Houston,IBM,SP P2SC 120 MHz,United States,1997,64,22.55,30.72,27400,6500,Power,POWER2 SC,120.0,IBM SP,AIX,MPP,Academic,Not Specified,SP Switch,SP Switch,North America,Americas
142,Tohoku University,Hewlett-Packard,Exemplar X-Class,Japan,1997,48,22.31,34.56,29956,0,PA-RISC,PA-RISC PA-8000,179.9,HP Superdome,HP Unix (HP-UX),MPP,Academic,Not Specified,,,Eastern Asia,Asia
143,Universitaet Leipzig,Hewlett-Packard,Exemplar X-Class,Germany,1997,48,22.31,34.56,29956,0,PA-RISC,PA-RISC PA-8000,179.9,HP Superdome,HP Unix (HP-UX),MPP,Academic,Not Specified,,,Western Europe,Europe
144,Universitaet Mainz,Hewlett-Packard,Exemplar X-Class,Germany,1997,48,22.31,34.56,29956,0,PA-RISC,PA-RISC PA-8000,179.9,HP Superdome,HP Unix (HP-UX),MPP,Academic,Not Specified,,,Western Europe,Europe
145,Kyoto University,Fujitsu,VPP500/15,Japan,1994,15,22.1,24.0,0,0,Fujitsu,Fujitsu,100.0,Fujitsu VPP,UXP/V,MPP,Academic,Not Specified,Crossbar,Full distributed crossbar,Eastern Asia,Asia
147,Universitaet Rostock,Cray Inc.,T3E900,Germany,1997,40,21.75,36.0,0,0,Alpha,Alpha EV5,450.5,Cray T3E/T3D,UNICOS,MPP,Academic,Not Specified,Cray Interconnect,3-D Torus,Western Europe,Europe
149,Hokkaido University,Hitachi,S-3800/380,Japan,1994,3,21.6,24.0,15680,760,Hitachi,Hitachi,500.0,Hitachi Vector,VOS3/HAP/ES (IBM MVS compatible) and OSF/1,SMP,Academic,Not Specified,,,Eastern Asia,Asia
