Rank,Site,Manufacturer,Computer,Country,Year,Processors,RMax,RPeak,Nmax,Nhalf,Processor Family,Processor,Proc. Frequency,System Family,Operating System,Architecture,Segment,Application Area,Interconnect Family,Interconnect,Region,Continent
1,Sandia National Laboratories,Intel,XP/S140,United States,1993,3680,143.4,184.0,55700,20500,Intel i860,Intel i860 Intel 80860,50.0,intel Paragon,OSF/1,MPP,Research,Not Specified,,2-D mesh (torus),North America,Americas
2,National Aerospace Laboratory of Japan,Fujitsu,Numerical Wind Tunnel,Japan,1993,140,124.0,235.79,31920,11950,Fujitsu,Fujitsu,105.3,Fujitsu VPP,UXP/V,MPP,Research,Aerospace,Crossbar,Full distributed crossbar,Eastern Asia,Asia
3,Los Alamos National Laboratory,Thinking Machines Corporation,CM-5/1056,United States,1993,1056,59.7,135.17,52224,24064,Sparc,SuperSPARC I,32.0,TMC CM5,CMOST,MPP,Research,Not Specified,Fat Tree,"Hypercube, tree",North America,Americas
4,Minnesota Supercomputer Center,Thinking Machines Corporation,CM-5/864,United States,1994,864,50.5,110.6,47000,22100,Sparc,SuperSPARC I,32.0,TMC CM5,CMOST,MPP,Industry,Not Specified,Fat Tree,"Hypercube, tree",North America,Americas
5,The Angstrom Technology Partnership,Fujitsu,VPP500/30,Japan,1993,30,32.9,48.0,0,0,Fujitsu,Fujitsu,100.0,Fujitsu VPP,UXP/V,MPP,Research,Not Specified,Crossbar,Full distributed crossbar,Eastern Asia,Asia
6,University of Tsukuba,Fujitsu,VPP500/30,Japan,1993,30,32.9,48.0,0,0,Fujitsu,Fujitsu,100.0,Fujitsu VPP,UXP/V,MPP,Research,Not Specified,Crossbar,Full distributed crossbar,Eastern Asia,Asia
7,Institute of Physical and Chemical Res. (RIKEN),Fujitsu,VPP500/28,Japan,1993,28,30.8,44.8,0,0,Fujitsu,Fujitsu,100.0,Fujitsu VPP,UXP/V,MPP,Research,Not Specified,Crossbar,Full distributed crossbar,Eastern Asia,Asia
9,National Security Agency,Thinking Machines Corporation,CM-5/512,United States,1993,512,30.4,65.54,36864,16384,Sparc,SuperSPARC I,32.0,TMC CM5,CMOST,MPP,Classified,Not Specified,Fat Tree,"Hypercube, tree",North America,Americas
10,Hitachi Ltd. Enterprise Server Division,Hitachi,S-3800/480,Japan,1994,4,27.5,32.0,15020,870,Hitachi,Hitachi,500.0,Hitachi Vector,VOS3/HAP/ES (IBM MVS compatible) and OSF/1,SMP,Vendor,Software,,,Eastern Asia,Asia
12,NEC,NEC,SX-3/44R,Japan,1990,4,23.2,25.6,6400,830,NEC,NEC,400.0,NEC Vector,Super-UX,SMP,Vendor,Not Specified,Crossbar,Multi-stage crossbar,Eastern Asia,Asia
