Rank,Previous Rank,First Appearance,First Rank,Name,Computer,Site,Manufacturer,Country,Year,Segment,Total Cores,Accelerator/Co-Processor Cores,Rmax,Rpeak,Efficiency (%),Nmax,Nhalf,Power,Mflops/Watt,Architecture,Processor,Processor Technology,Processor Speed (MHz),Operating System,OS Family,Accelerator/Co-Processor,Cores per Socket,Processor Generation,System Model,System Family,Interconnect Family,Interconnect,Region,Continent
365,225.0,37,99,Fission,"Appro Xtreme-X3 Opteron 2.4GHz, Infiniband QDR",Idaho National Laboratory,Appro International,United States,2011,Research,12512,0,91030.0,120115.2,75.79,0,0,360.0,252.86,Cluster,Opteron 6136 8C 2.400GHz,AMD x86_64,2400,Linux,Linux,None,8,"Opteron 6100-series ""Magny-Cours"" ",Appro XtremeServers,Appro XtremeServer,Infiniband,Infiniband QDR,North America,Americas
366,226.0,38,139,,"Sunway 4000H Cluster, Xeon X56xx (Westmere-EP) 3.06 GHz, Infiniband QDR",Government,National Research Center of Parallel Computer Engineering & Technology,China,2011,Research,8400,0,90850.0,102816.0,88.36,1612800,0,,,Cluster,Xeon X5675 6C 3.060GHz,Intel Nehalem,3060,Linux,Linux,None,6,Xeon 5600-series (Westmere-EP),Sunway 4000H Cluster,Sunway Cluster,Infiniband,Infiniband QDR,Eastern Asia,Asia
367,,40,367,,"Cluster Platform 3000 BL460c G7, Xeon X5650 6C 2.660GHz, Gigabit Ethernet",IT Service Provider,Hewlett-Packard,United States,2012,Industry,16704,0,90570.1,177731.0,50.96,0,0,,,Cluster,Xeon X5650 6C 2.660GHz,Intel Nehalem,2660,Linux,Linux,None,6,Xeon 5600-series (Westmere-EP),Cluster Platform 3000 BL460c G7,HP Cluster Platform 3000BL,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
368,231.0,39,231,,"Cluster Platform 3000 BL460c G7, Xeon X5650 6C 2.66GHz, Gigabit Ethernet",IT Service Provider,Hewlett-Packard,United States,2012,Industry,16680,0,90379.0,177475.0,50.92,0,0,,,Cluster,Xeon X5650 6C 2.660GHz,Intel Nehalem,2660,Linux,Linux,None,6,Xeon 5600-series (Westmere-EP),Cluster Platform 3000 BL460c G7,HP Cluster Platform 3000BL,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
369,227.0,39,227,,"Cluster Platform 3000 BL460c G7, Xeon X5650 6C 2.66GHz, Gigabit Ethernet",IT Service Provider,Hewlett-Packard,United States,2012,Industry,16680,0,90379.0,177475.0,50.92,0,0,,,Cluster,Xeon X5650 6C 2.660GHz,Intel Nehalem,2660,Linux,Linux,None,6,Xeon 5600-series (Westmere-EP),Cluster Platform 3000 BL460c G7,HP Cluster Platform 3000BL,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
370,228.0,39,228,,"Cluster Platform 3000 BL460c G7, Xeon X5650 6C 2.66GHz, Gigabit Ethernet",IT Service Provider,Hewlett-Packard,United States,2012,Industry,16680,0,90379.0,177475.0,50.92,0,0,,,Cluster,Xeon X5650 6C 2.660GHz,Intel Nehalem,2660,Linux,Linux,None,6,Xeon 5600-series (Westmere-EP),Cluster Platform 3000 BL460c G7,HP Cluster Platform 3000BL,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
371,229.0,39,229,,"Cluster Platform 3000 BL460c G7, Xeon X5650 6C 2.66GHz, Gigabit Ethernet",IT Service Provider,Hewlett-Packard,United States,2012,Industry,16680,0,90379.0,177475.0,50.92,0,0,,,Cluster,Xeon X5650 6C 2.660GHz,Intel Nehalem,2660,Linux,Linux,None,6,Xeon 5600-series (Westmere-EP),Cluster Platform 3000 BL460c G7,HP Cluster Platform 3000BL,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
372,230.0,39,230,,"Cluster Platform 3000 BL460c G7, Xeon X5650 6C 2.66GHz, Gigabit Ethernet",IT Service Provider,Hewlett-Packard,United States,2012,Industry,16680,0,90379.0,177475.0,50.92,0,0,,,Cluster,Xeon X5650 6C 2.660GHz,Intel Nehalem,2660,Linux,Linux,None,6,Xeon 5600-series (Westmere-EP),Cluster Platform 3000 BL460c G7,HP Cluster Platform 3000BL,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
373,,40,373,sJet,"Appro Xtreme-X Supercomputer, Xeon E5-2670 8C 2.600GHz, Infiniband QDR",NOAA/Earth Science Research Laboratory/GSD,Appro International,United States,2012,Research,5440,0,90240.0,113152.0,79.75,850000,0,136.0,663.53,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5,Appro Xtreme-X Supercomputer,Appro Xtreme-X,Infiniband,Infiniband QDR,North America,Americas
375,233.0,38,298,,"Rackable C1103-G15, Opteron 6234 12C 2.40 GHz, Infiniband QDR","Poznan Supercomputing and Networking Center, Institute of Bioorganic Chemistry",SGI,Poland,2011,Research,9498,4410,89750.0,211069.8,42.52,708480,0,,,Cluster,Opteron 6234  12C 2.400GHz,AMD x86_64,2400,Linux,Linux,NVIDIA 2050,12,"Opteron 6200 Series ""Interlagos""",SGI Rackable C1103-G15,Rackable Cluster,Infiniband,Infiniband QDR,Eastern Europe,Europe
