Rank,Previous Rank,First Appearance,First Rank,Name,Computer,Site,Manufacturer,Country,Year,Segment,Total Cores,Accelerator/Co-Processor Cores,Rmax [TFlop/s],Rpeak [TFlop/s],Nmax,Nhalf,HPCG [TFlop/s],Power (kW),Power Source,Energy Efficiency [GFlops/Watts],Memory,Architecture,Processor,Processor Technology,Processor Speed (MHz),Operating System,OS Family,Accelerator/Co-Processor,Cores per Socket,Processor Generation,System Model,System Family,Interconnect Family,Interconnect,Continent,Site ID,System ID
100,81.0,51,13,HPC4,"Proliant DL380 Gen10, Xeon Platinum 8160  24C 2.1GHz, Mellanox InfiniBand EDR, NVIDIA Tesla P100",Eni S.p.A.,HPE,Italy,2018,Industry,253600,177520.0,12210.0,18621.138,5947392.0,,271.872,1320.0,Submitted,9.25,,Cluster,Xeon Platinum 8160  24C 2.1GHz,Intel Skylake,2100,RHEL 7.4,Linux,NVIDIA Tesla P100,24,Xeon Platinum (Skylake),Proliant DL380 Gen10,HP Cluster Platform 3000,Infiniband,Mellanox InfiniBand EDR,Europe,50489,179444
101,82.0,51,14,Tera-1000-2,"Bull Sequana X1000, Intel Xeon Phi 7250 68C 1.4GHz, Bull BXI 1.2",Commissariat a l'Energie Atomique (CEA),EVIDEN,France,2017,Research,561408,,11965.5,23396.352,10321920.0,,333.762,3178.0,Submitted,3.765103839,,Cluster,Intel Xeon Phi 7250 68C 1.4GHz,Intel Xeon Phi,1400,bullx SCS,Linux,None,68,Intel Xeon Phi,BullSequana X1000,BullSequana,Custom Interconnect,Bull BXI 1.2,Europe,47593,179412
103,83.0,58,43,Christofari Neo,"NVIDIA DGX A100, AMD EPYC 7742 64C 2.25GHz, NVIDIA A100 80GB​, Infiniband",SberCloud,Nvidia,Russia,2021,Industry,98208,85536.0,11950.0,14908.61,2889216.0,,,,,,,Cluster,AMD EPYC 7742 64C 2.25GHz,AMD Zen-2 (Rome),2250,NVIDIA DGX OS 5,Linux,NVIDIA Tesla A100 80G,64,AMD Zen-2 (Rome),NVIDIA DGX A100,NVIDIA DGX,Infiniband,Infiniband,Europe,50820,180028
104,84.0,63,84,Carpenter,"HPE Cray EX, AMD EPYC 9654 96C 2.4GHz, Slingshot-11",ERDC DSRC,HPE,United States,2023,Research,276480,,11616.8,12474.78,7461120.0,,,1100.0,Submitted,10.56072727,,MPP,AMD EPYC 9654 96C 2.4GHz,AMD Zen-4 (Genoa),2400,HPE Cray OS,Linux,None,96,AMD Zen-4 (Genoa),HPE Cray EX,HPE Cray EX,Gigabit Ethernet,Slingshot-11,North America,47771,180280
105,85.0,62,67,Kestrel CPU,"HPE Cray EX, Xeon Platinum 8470Q 52C 2.1GHz, Slingshot-11",National Renewable Energy Laboratory,HPE,United States,2023,Research,212992,,11372.2,14313.06,6291456.0,,,,,,,MPP,Xeon Platinum 8470Q 52C 2.1GHz,Intel Sapphire Rapids,2100,RHEL 8.6,Linux,None,52,Xeon Platinum (Sapphire Rapids),HPE Cray EX,HPE Cray EX,Gigabit Ethernet,Slingshot-11,North America,48481,180219
106,,64,106,NeXXt AI Factory,"NVIDIA DGX H100 P4387, Xeon Platinum 8480C 56C 3.8GHz, NVIDIA H100 80GB, Infiniband NDR400, Ubuntu 22.04.3 LTS",Fastweb S.p.A.,Nvidia,Italy,2024,Others,36208,32736.0,11300.0,17015.38,1460224.0,,,,,,,Cluster,Xeon Platinum 8480C 56C 3.8GHz,Intel Sapphire Rapids,3800,Ubuntu 22.04.3 LTS,Linux,NVIDIA H100 80GB,56,Xeon Platinum (Sapphire Rapids),NVIDIA DGX H100 P4387,NVIDIA DGX,Infiniband,Infiniband NDR400,Europe,51032,180351
107,,64,107,DeepL Ceres,"NVIDIA DGX H100, Xeon Platinum 8480C 56C 2GHz, NVIDIA H100, NVIDIA Infiniband NDR, Ubuntu 22.04.3 LTS",DeepL Datacenter Sweden,Nvidia,Sweden,2023,Others,20480,16896.0,11300.0,16924.67,1507328.0,,,278.0,Submitted,40.64748201,,Cluster,Xeon Platinum 8480C 56C 2GHz,Intel Sapphire Rapids,2000,Ubuntu 22.04.3 LTS,Linux,NVIDIA H100,56,Xeon Platinum (Sapphire Rapids),NVIDIA DGX H100,NVIDIA DGX,Infiniband,NVIDIA Infiniband NDR,Europe,51035,180342
108,,64,108,43,"HPE Cray XD670, Xeon Platinum 8480+ 56C 2GHz, NVIDIA H100 SXM5 80GB, Infiniband NDR, Rocky Linux 8.9",Hessian.AI,HPE,Germany,2024,Research,39712,35904.0,11270.0,14858.0,1566720.0,,,259.2,Submitted,43.47993827,,Cluster,Xeon Platinum 8480+ 56C 2GHz,Intel Sapphire Rapids,2000,Rocky Linux 8.9,Linux,NVIDIA H100 SXM5 80GB,56,Xeon Platinum (Sapphire Rapids),HPE Cray XD670,HPE Cray XD,Infiniband,Infiniband NDR,Europe,50966,180340
109,86.0,62,68,,"PRIMEHPC FX1000, A64FX 48C 2.2GHz, Tofu interconnect D",Central Weather Administration,Fujitsu,Taiwan,2023,Government,184320,,11164.0,12976.13,3502080.0,,,673.56,Submitted,16.57461845,,Cluster,A64FX 48C 2.2GHz,Fujitsu ARM,2200,Red Hat Enterprise Linux,Linux,None,48,Fujitsu A64FX,PRIMEHPC FX1000,Fujitsu PRIMEHPC,Proprietary Network,Tofu interconnect D,Asia,50991,180216
111,88.0,63,88,Opera Iceland KEF-1 SuperPOD,"NVIDIA DGX H100, Xeon Platinum 8480C 56C 3.8GHz, NVIDIA H100 80GB, Infiniband NDR400",Opera KEF-1,Nvidia,Iceland,2024,Industry,36208,32736.0,10530.0,17015.38,1504256.0,,,,,,,Cluster,Xeon Platinum 8480C 56C 3.8GHz,Intel Sapphire Rapids,3800,NVIDIA DGX OS 5,Linux,NVIDIA H100 80GB,56,Xeon Platinum (Sapphire Rapids),NVIDIA DGX H100,NVIDIA DGX,Infiniband,Infiniband NDR400,Europe,51006,180266
112,89.0,57,36,MeluXina - Accelerator Module,"BullSequana XH2000, AMD EPYC 7452 32C 2.35GHz, NVIDIA A100 40GB, Mellanox HDR InfiniBand/ParTec ParaStation ClusterSuite",LuxProvide,EVIDEN,Luxembourg,2021,Research,99200,86400.0,10520.0,15288.0,2040192.0,,280.026,390.25,Submitted,26.9570788,,Cluster,AMD EPYC 7452 32C 2.35GHz,AMD Zen-2 (Rome),2350,RHEL compatible,Linux,NVIDIA Tesla A100 40G,32,AMD Zen-2 (Rome),BullSequana XH2000,BullSequana,Infiniband,Mellanox HDR InfiniBand/ParTec ParaStation ClusterSuite,Europe,50882,179932
113,90.0,61,58,KT DGX SuperPOD,"NVIDIA DGX A100, AMD EPYC 7742 64C 2.25GHz, NVIDIA A100, Infiniband HDR",Korea Telecom,Nvidia,South Korea,2022,Industry,98208,85536.0,10380.0,14416.0,2009952.0,,,,,,,Cluster,AMD EPYC 7742 64C 2.25GHz,AMD Zen-2 (Rome),2250,Ubuntu 20.04.2 LTS,Linux,NVIDIA A100,64,AMD Zen-2 (Rome),NVIDIA DGX A100,NVIDIA DGX,Infiniband,Infiniband HDR,Asia,50961,180163
114,91.0,61,59,Derecho CPU partition,"HPE Cray EX, AMD EPYC 7763 64C 2.45GHz, Slingshot-11",National Center for Atmospheric Research (NCAR),HPE,United States,2023,Research,316416,,10324.0,12403.51,7987200.0,,,,,,,MPP,AMD EPYC 7763 64C 2.45GHz,AMD Zen-3 (Milan),2450,HPE Cray OS,Linux,None,64,AMD Zen-3 (Milan),HPE Cray EX,HPE Cray EX,Gigabit Ethernet,Slingshot-11,North America,48418,180166
115,92.0,58,68,Levante,"BullSequana XH2000, AMD EPYC 7763 64C 2.45GHz, InfiniBand HDR100",DKRZ - Deutsches Klimarechenzentrum,EVIDEN,Germany,2022,Research,352000,,10111.0,13798.4,5280000.0,,,,,,,Cluster,AMD EPYC 7763 64C 2.45GHz,AMD Zen-3 (Milan),2450,Linux,Linux,None,64,AMD Zen-3 (Milan),BullSequana XH2000,BullSequana,Infiniband,InfiniBand HDR100,Europe,47642,180039
116,,64,116,SNL CTS-2 Hops,"PowerEdge XE8640, Xeon Platinum 8480+ 56C 2GHz, NVIDIA H100 SXM5 80GB, NVIDIA Infiniband NDR, Linux/TOSS",Sandia National Laboratories,DELL,United States,2024,Research,40960,33792.0,10030.0,17585.15,1583000.0,,62.0916,,,,,Cluster,Xeon Platinum 8480+ 56C 2GHz,Intel Sapphire Rapids,2000,Linux/TOSS,Linux,NVIDIA H100 SXM5 80GB,56,Xeon Platinum (Sapphire Rapids),PowerEdge XE8640,Dell PowerEdge Cluster,Infiniband,NVIDIA Infiniband NDR,North America,48748,180338
117,93.0,57,37,Cactus,"HPE Cray EX, AMD EPYC 7742 64C 2.25GHz, Slingshot-10",GDIT/NOAA/WCOSS,HPE,United States,2021,Government,327680,,10013.0,11796.48,8413184.0,,,,,,,MPP,AMD EPYC 7742 64C 2.25GHz,AMD Zen-2 (Rome),2250,HPE Cray OS,Linux,None,64,AMD Zen-2 (Rome),HPE Cray EX,HPE Cray EX,Gigabit Ethernet,Slingshot-10,North America,50879,179944
118,94.0,57,38,Dogwood,"HPE Cray EX, AMD EPYC 7742 64C 2.25GHz, Slingshot-10",GDIT/NOAA/WCOSS,HPE,United States,2020,Government,327680,,10013.0,11796.48,8413184.0,,,,,,,MPP,AMD EPYC 7742 64C 2.25GHz,AMD Zen-2 (Rome),2250,HPE Cray OS,Linux,None,64,AMD Zen-2 (Rome),HPE Cray EX,HPE Cray EX,Gigabit Ethernet,Slingshot-10,North America,50879,179945
119,95.0,57,39,Earth Simulator -SX-Aurora TSUBASA,"SX-Aurora TSUBASA B401-8, Vector Engine Type20B 8C 1.6GHz, Infiniband HDR200",Japan Agency for Marine-Earth Science and Technology,NEC,Japan,2021,Research,43776,,9990.7,13447.99,5571072.0,,747.8,1390.95,Submitted,7.182644955,,Cluster,Vector Engine Type20B 8C 1.6GHz,NEC Vector Engine,1600,VEOS,Linux,None,8,Vector Engine,SX-Aurora TSUBASA B401-8,SX-Aurora TSUBASA,Infiniband,Infiniband HDR200,Asia,49318,179927
120,96.0,57,40,Amazon EC2 Instance Cluster us-east-1a,"Amazon EC2 r5.24xlarge, Xeon Platinum 8260 24C 2.4GHz, 25G Ethernet",Descartes Labs,Amazon Web Services,United States,2019,Industry,172692,,9950.26,15106.52,7864320.0,,,,,,,Cluster,Xeon Platinum 8124M 18C 3GHz,Intel Skylake,3000,Amazon Linux 2,Linux,None,18,Xeon Platinum (Skylake),Amazon EC2 r5.24xlarge,Amazon EC2,Gigabit Ethernet,25G Ethernet,North America,50808,179974
123,97.0,57,41,NVIDIA Cambridge-1 DGX SuperPOD,"NVIDIA DGX A100, AMD EPYC 7742 64C 2.25GHz, NVIDIA A100 80GB​, Infiniband HDR",NVIDIA Corporation,Nvidia,United States,2021,Vendor,79360,69120.0,9682.0,12047.0,2515968.0,,251.0,,,,,Cluster,AMD EPYC 7742 64C 2.25GHz,AMD Zen-2 (Rome),2250,Ubuntu 20.04.1 LTS,Linux,NVIDIA Tesla A100 80G,64,AMD Zen-2 (Rome),NVIDIA DGX A100,NVIDIA DGX,Infiniband,Infiniband HDR,North America,48448,179960
124,107.0,62,86,SNL CTS-2 Stout,"PowerEdge C6220, Xeon Platinum 8480+ 56C 2GHz, Cornelis Networks Omni-Path, Linux/TOSS",Sandia National Laboratories,DELL,United States,2023,Research,170128,,9533.44,10888.19,6482580.0,,73.8694,1491.14,Submitted,6.393390292,,Cluster,Xeon Platinum 8480+ 56C 2GHz,Intel Sapphire Rapids,2000,Linux/TOSS,Linux,None,56,Xeon Platinum (Sapphire Rapids),PowerEdge C6220,Dell PowerEdge Cluster,Omnipath,Cornelis Networks Omni-Path,North America,48748,180233
125,98.0,63,98,SNL/NNSA CTS-2 Amber,"PowerEdge C6220, Xeon Platinum 8480+ 56C 2GHz, Cornelis Networks Omni-Path",Sandia National Laboratories,DELL,United States,2022,Research,169344,,9508.36,10838.02,6467626.0,,77.5344,,,,,Cluster,Xeon Platinum 8480+ 56C 2GHz,Intel Sapphire Rapids,2000,Linux/TOSS,Linux,None,56,Xeon Platinum (Sapphire Rapids),PowerEdge C6220,Dell PowerEdge Cluster,Omnipath,Cornelis Networks Omni-Path,North America,48748,180262
126,99.0,59,54,,"Apollo 6500, AMD  EPYC 7543 32C 2.8GHz, NVIDIA A100 SXM4 80 GB, Mellanox HDR Infiniband",Research Institute,HPE,Japan,2022,Research,72384,67392.0,9459.0,9669.3,2505216.0,,199.764,,,,,Cluster,AMD  EPYC 7543 32C 2.8GHz,AMD Zen-3 (Milan),2800,RHEL 8.4,Linux,NVIDIA A100 SXM4 80 GB,32,AMD Zen-3 (Milan),Apollo 6500,HPE Apollo,Infiniband,Mellanox HDR Infiniband,Asia,50923,180083
127,100.0,53,22,DGX SuperPOD,"NVIDIA DGX-2H, Xeon Platinum 8174 24C 3.1GHz, NVIDIA Tesla V100, Mellanox InfiniBand EDR",NVIDIA Corporation,Nvidia,United States,2020,Vendor,127488,122880.0,9444.0,11209.114,2519232.0,,199.196,,,,,Cluster,Xeon Platinum 8174 24C 3.1GHz,Intel Skylake,3100,Ubuntu 18.04.01,Linux,NVIDIA Tesla V100,24,Xeon Platinum (Skylake),NVIDIA DGX-2H Pod,NVIDIA DGX,Infiniband,Mellanox InfiniBand EDR,North America,48448,179691
128,101.0,60,114,,"SX-Aurora TSUBASA C401-8, Vector Engine Type 30A 16C 1.6GHz, Infiniband NDR200",Deutscher Wetterdienst,NEC,Germany,2023,Research,36864,,9357.4,11199.2,4965018.0,,517.244,1212.51,Submitted,7.71737965,,Cluster,Vector Engine Type 30A 16C 1.6GHz,NEC Vector Engine,1600,VEOS,Linux,None,16,Vector Engine,SX-Aurora TSUBASA A412-8,SX-Aurora TSUBASA,Infiniband,Infiniband NDR200,Europe,47712,180090
129,102.0,57,43,JURECA Data Centric Module,"BullSequana XH2000, AMD EPYC 7742 64C 2.25GHz, NVIDIA A100 40GB, Mellanox HDR InfiniBand/ParTec ParaStation ClusterSuite",Forschungszentrum Juelich (FZJ),EVIDEN,Germany,2021,Research,105840,81648.0,9330.0,14508.0,1928448.0,,273.784,384.1,Submitted,24.29054934,,Cluster,AMD EPYC 7742 64C 2.25GHz,AMD Zen-2 (Rome),2250,CentOS,Linux,NVIDIA Tesla A100 40G,64,AMD Zen-2 (Rome),BullSequana XH2000,BullSequana,Infiniband,Mellanox HDR InfiniBand/ParTec ParaStation ClusterSuite,Europe,47871,179947
132,105.0,57,72,Aitken,"HPE Apollo 9000/HPE SGI 8600, AMD EPYC 7742 64C 2.25GHz/Intel Xeon Gold 6248 20C 2.5GHz, Mellanox EDR/HDR Infiniband",NASA/Ames Research Center/NAS,HPE,United States,2022,Research,293936,,9070.0,12493.06,8229600.0,,172.375,2010.1,Submitted,4.512213323,,Cluster,AMD EPYC 7742 64C 2.25GHz,AMD Zen-2 (Rome),2250,Tri-Lab Operating System ,Linux,None,64,AMD Zen-2 (Rome),Apollo 9000,HPE Apollo,Infiniband,Mellanox HDR Infiniband,North America,48408,179959
133,106.0,52,20,Taiwania 2,"QCT QuantaGrid D52G-4U/LC, Xeon Gold 6154 18C 3GHz, Mellanox InfiniBand EDR, NVIDIA Tesla V100 SXM2",National Center for High Performance Computing,Quanta Computer / Taiwan Fixed Network / ASUS Cloud,Taiwan,2018,Research,170352,161280.0,9000.0,15208.23,2862720.0,,,797.54,Submitted,11.28470045,,Cluster,Xeon Gold 6154 18C 3GHz,Intel Skylake,3000,CentOS,Linux,NVIDIA Tesla V100 SXM2,18,Xeon Gold (Skylake),QCT QuantaGrid D52G-4U/LC,QCT QuantaGrid,Infiniband,Mellanox InfiniBand EDR,Asia,48468,179590
134,108.0,57,46,Dragão,"Supermicro SYS-4029GP-TVRT, Xeon Gold 6230R 26C 2.1GHz, NVIDIA Tesla V100, Infiniband EDR",Petróleo Brasileiro S.A,EVIDEN,Brazil,2021,Industry,188224,174080.0,8983.0,14006.48,2913408.0,,,943.12,Submitted,9.524768852,,Cluster,Xeon Gold 6230R 26C 2.1GHz,Intel Cascade lake,2100,CentOS Linux 7,Linux,NVIDIA Tesla V100,26,Xeon Gold 62xx (Cascade Lake),Supermicro SYS-4029GP-TVRT,Supermicro Cluster,Infiniband,Infiniband EDR,South America,49587,179941
135,109.0,57,47,Raven-GPU,"ThinkSystem SD650-N V2, Xeon Platinum 8360Y 36C 2.4GHz, NVIDIA A100, Mellanox HDR Infiniband",Max-Planck-Gesellschaft MPI/IPP,Lenovo,Germany,2021,Research,96768,82944.0,8620.0,16031.54,1959552.0,,,377.0,Submitted,22.86472149,,Cluster,Xeon Platinum 8360Y 36C 2.4GHz,Intel Ice Lake,2400,SUSE Linux Enterprise Server 15 SP2,Linux,NVIDIA A100,36,Xeon Platinum 83xx (Ice Lake),ThinkSystem SD650-N V2,Lenovo ThinkSystem,Infiniband,Mellanox HDR Infiniband,Europe,48331,179933
136,110.0,61,75,AIRAWAT - PSAI,"NVIDIA DGX A100, AMD EPYC 7742 64C 2.25GHz, NVIDIA A100, Infiniband HDR",Center for Development of Advanced Computing (C-DAC),Netweb Technologies,India,2023,Research,81344,70848.0,8500.0,13169.86,1597440.0,,,,,,,Cluster,AMD EPYC 7742 64C 2.25GHz,AMD Zen-2 (Rome),2250,Ubuntu 20.04.2 LTS,Linux,NVIDIA A100,64,AMD Zen-2 (Rome),NVIDIA DGX A100,NVIDIA DGX,Infiniband,Infiniband HDR,Asia,49466,180134
137,111.0,63,111,Tuwaiq-1,"PowerEdge XE8640, Intel Xeon Platinum 8462Y+ 32C 2.8GHz, NVIDIA HGX H100, Infiniband HDR",Saudi Aramco,DELL,Saudi Arabia,2024,Industry,61568,54912.0,8487.0,14173.44,1863936.0,1863936.0,,,,,,Cluster,Intel Xeon Platinum 8462Y+ 32C 2.8GHz,Intel Sapphire Rapids,2800,RHEL,Linux,NVIDIA HGX H100,32,Xeon Platinum (Sapphire Rapids),PowerEdge XE8640,Dell PowerEdge Cluster,Infiniband,Infiniband HDR,Asia,48751,180260
138,112.0,63,112,C24,"HPE Cray EX, AMD EPYC 9654 96C 2.4GHz, Slingshot-11",Skoda Auto a.s.,HPE,Czechia,2023,Industry,196608,,8401.78,8870.95,6832128.0,,,,,,,MPP,AMD EPYC 9654 96C 2.4GHz,AMD Zen-4 (Genoa),2400,HPE Cray OS,Linux,None,96,AMD Zen-4 (Genoa),HPE Cray EX,HPE Cray EX,Gigabit Ethernet,Slingshot-11,Europe,51008,180277
140,,64,140,CATT,"HPE Cray EX, AMD EPYC 9654 96C 2.4GHz, Slingshot-11, HPE Cray OS",ERDC DSRC,HPE,United States,2024,Research,196608,,8269.43,8870.95,6291456.0,,,,,,,MPP,AMD EPYC 9654 96C 2.4GHz,AMD Zen-4 (Genoa),2400,HPE Cray OS,Linux,None,96,AMD Zen-4 (Genoa),HPE Cray EX,HPE Cray EX,Gigabit Ethernet,Slingshot-11,North America,47771,180324
141,115.0,56,30,Taranis,"Bull Sequana XH2000 , AMD EPYC 7742 64C 2.25GHz, Mellanox InfiniBand HDR100",Meteo France,EVIDEN,France,2020,Research,294912,,8191.03,10321.92,7741440.0,,,1672.0,Submitted,4.898941388,,Cluster,AMD EPYC 7742 64C 2.25GHz,AMD Zen-2 (Rome),2250,bullx SCS,Linux,None,64,AMD Zen-2 (Rome),BullSequana XH2000,BullSequana,Infiniband,InfiniBand HDR100,Europe,48356,179892
142,116.0,60,70,LANTA,"HPE Cray EX235n, AMD EPYC 7713 64C 2GHz, NVIDIA A100 40GB, Slingshot-11",NSTDA Supercomputer Center (ThaiSC),HPE,Thailand,2022,Research,87296,76032.0,8146.0,13773.06,1891488.0,,,310.46,Submitted,26.23848483,,MPP,AMD EPYC 7713 64C 2GHz,AMD Zen-3 (Milan),2000,HPE Cray OS,Linux,NVIDIA Tesla A100 40G,64,AMD Zen-3 (Milan),HPE Cray EX 235n,HPE Cray EX,Gigabit Ethernet,Slingshot-11,Asia,50937,180125
143,117.0,55,28,Roxy,"Apollo 2000, Xeon Gold 6248 20C 2.5GHz, Infiniband EDR",Government,HPE,United States,2020,Government,174720,,8124.48,13977.6,4744704.0,,,,,,,Cluster,Xeon Gold 6248 20C 2.5GHz,Intel Cascade lake,2500,CentOS Linux 7,Linux,None,20,Xeon Gold 62xx (Cascade Lake),Apollo 2000,HPE Apollo,Infiniband,Infiniband EDR,North America,50046,179849
145,119.0,57,53,Narwhal,"HPE Cray EX, AMD EPYC 7H12 64C 2.6GHz, Slingshot-10",Navy DSRC,HPE,United States,2020,Government,276480,,8023.6,11501.57,7705360.0,,,,,,,MPP,AMD EPYC 7H12 64C 2.6GHz,AMD Zen-2 (Rome),2600,SLES15 SP2,Linux,None,64,AMD Zen-2 (Rome),HPE Cray EX,HPE Cray EX,Gigabit Ethernet,Slingshot-10,North America,50425,179925
146,120.0,62,98,42,"Apollo 6500, AMD EPYC 7313 16C 3GHz, NVIDIA A100 SXM4 80 GB, Infiniband HDR",Hessian.AI,HPE,Germany,2023,Research,64512,62208.0,7938.0,8829.5,2211840.0,,,352.8,Submitted,22.5,,Cluster,AMD EPYC 7313 16C 3GHz,AMD Zen-3 (Milan),3000,RHEL 8.7,Linux,NVIDIA A100 SXM4 80 GB,16,AMD Zen-3 (Milan),Apollo 6500,HPE Apollo,Infiniband,Infiniband HDR,Europe,50966,180206
148,121.0,56,33,Plasma Simulator,"SX-Aurora TSUBASA A412-8, Vector Engine Type10AE 8C 1.58GHz, Infiniband HDR 200",National Institute for Fusion Science (NIFS),NEC,Japan,2020,Research,34560,,7892.7,10510.66,5047920.0,,529.159,1550.1,Submitted,5.091736017,,Cluster,Vector Engine Type10AE 8C 1.58GHz,NEC Vector Engine,1584,VEOS,Linux,None,8,Vector Engine,SX-Aurora TSUBASA A412-8,SX-Aurora TSUBASA,Infiniband,Infiniband HDR200,Asia,48476,179871
150,123.0,59,69,Underhill,"ThinkSystem SD650 V2, Xeon Platinum 8380 40C 2.3GHz, Infiniband HDR",Shared Services Canada,Lenovo,Canada,2022,Government,148320,,7764.57,10916.35,3745152.0,,,1294.72,Submitted,5.997103621,,Cluster,Xeon Platinum 8380 40C 2.3GHz,Intel Ice Lake,2300,Linux,Linux,None,40,Xeon Platinum 83xx (Ice Lake),ThinkSystem SD650 V2,Lenovo ThinkSystem,Infiniband,Infiniband HDR,North America,50719,180081
151,124.0,59,70,Robert,"ThinkSystem SD650-N V2, Xeon Platinum 8380 40C 2.3GHz, Infiniband HDR",Shared Services Canada,Lenovo,Canada,2022,Government,148320,,7764.57,10916.35,3745152.0,,,1294.72,Submitted,5.997103621,,Cluster,Xeon Platinum 8380 40C 2.3GHz,Intel Ice Lake,2300,Linux,Linux,None,40,Xeon Platinum 83xx (Ice Lake),ThinkSystem SD650 V2,Lenovo ThinkSystem,Infiniband,Infiniband HDR,North America,50719,180082
152,125.0,55,29,Belenos,"Bull Sequana XH2000 , AMD EPYC 7742 64C 2.25GHz, Mellanox HDR100",Meteo France,EVIDEN,France,2020,Research,294912,,7683.36,10469.376,6843840.0,,,1655.0,Submitted,4.642513595,,Cluster,AMD EPYC 7742 64C 2.25GHz,AMD Zen-2 (Rome),2250,bullx SCS,Linux,None,64,AMD Zen-2 (Rome),BullSequana XH2000,BullSequana,Infiniband,InfiniBand HDR100,Europe,48356,179853
153,126.0,59,72,alpha ONE,"Apollo 6500, AMD EPYC 7F52 16C 3.5GHz, NVIDIA A100 SXM4 80 GB, Mellanox HDR Infiniband",Aleph Alpha,HPE,Germany,2022,Others,57344,55296.0,7625.0,7864.83,1990656.0,,,,,,,Cluster,AMD EPYC 7F52 16C 3.5GHz,AMD Zen-2 (Rome),3500,RHEL 8.5,Linux,NVIDIA A100 SXM4 80 GB,16,AMD Zen-2 (Rome),Apollo 6500,HPE Apollo,Infiniband,Mellanox HDR Infiniband,Europe,50926,180080
154,127.0,53,26,PupMaya,"Apollo 2000, Xeon Gold 6148 20C 2.4GHz, Infiniband EDR",Government,HPE,United States,2019,Government,169920,,7483.73,12902.4,4748928.0,,,,,,,Cluster,Xeon Gold 6148 20C 2.4GHz,Intel Skylake,2400,CentOS Linux 7,Linux,None,20,Xeon Gold (Skylake),Apollo 2000,HPE Apollo,Infiniband,Infiniband EDR,North America,50798,179604
156,,64,156,Nscale Svartisen,"Supermicro AS-4124GQ-TNMI, AMD EPYC 7713 64C 3.7GHz, AMD Instinct MI250X, Ethernet, 4x 200Gb/s, Rocky Linux 8.9",Nscale Glomfjord DC,Nscale,Norway,2024,Industry,66528,58080.0,7400.7,12380.12,2062032.0,,,,,,,Cluster,AMD EPYC 7713 64C 3.7GHz,AMD Zen-3 (Milan),3700,Rocky Linux 8.9,Linux,AMD Instinct MI250X,64,AMD Zen-3 (Milan),Supermicro AS-4124GQ-TNMI,Supermicro Cluster,Ethernet,"Ethernet, 4x 200Gb/s",Europe,51033,180343
158,129.0,54,26,Artemis,"NVIDIA DGX-2, Xeon Platinum 8168 24C 2.7GHz, Infiniband EDR, NVIDIA Tesla V100",Group 42,Nvidia,United Arab Emirates,2019,Industry,107568,103680.0,7257.0,9492.163,2304000.0,,,673.0,Submitted,10.78306092,,Cluster,Xeon Platinum 8168 24C 2.7GHz,Intel Skylake,2700,Ubuntu,Linux,NVIDIA Tesla V100,24,Xeon Platinum (Skylake),NVIDIA DGX-2,NVIDIA DGX,Infiniband,Infiniband EDR,Asia,50813,179803
159,151.0,62,128,LLNL/NNSA CTS-2 Bengal,"DELL PowerEdge C6620, Xeon Platinum 8480+ 56C 2GHz, Cornelis Networks Omni-Path, Linux/TOSS",Lawrence Livermore National Laboratory,DELL,United States,2023,Research,107520,,7196.63,8085.5,5197824.0,,,,,,,Cluster,Xeon Platinum 8480+ 56C 2GHz,Intel Sapphire Rapids,2000,Linux/TOSS,Linux,None,56,Xeon Platinum (Sapphire Rapids),DELL PowerEdge C6620,Dell PowerEdge Cluster,Omnipath,Cornelis Networks Omni-Path,North America,48247,180231
160,130.0,62,107,LLNL CTS-2 Dane,"DELL PowerEdge C6620, Xeon Platinum 8480+ 56C 2GHz, Cornelis Networks Omni-Path",Lawrence Livermore National Laboratory,DELL,United States,2023,Research,123648,,7041.0,7913.0,5087232.0,,,,,,,Cluster,Xeon Platinum 8480+ 56C 2GHz,Intel Sapphire Rapids,2000,Linux/TOSS,Linux,None,56,Xeon Platinum (Sapphire Rapids),DELL PowerEdge C6620,Dell PowerEdge Cluster,Omnipath,Cornelis Networks Omni-Path,North America,48247,180228
161,131.0,48,11,,"Cray XC40, Xeon E5-2695v4 18C 2.1GHz, Aries interconnect ",United Kingdom Meteorological Office,HPE,United Kingdom,2016,Research,241920,,7038.93,8128.512,6705408.0,,,,,,,MPP,Xeon E5-2695v4 18C 2.1GHz,Intel Broadwell,2100,Cray Linux Environment ,Linux,None,18,Intel Xeon E5 (Broadwell),Cray XC40,Cray XC,Custom Interconnect,Aries interconnect ,Europe,49064,178925
162,132.0,54,59,JOLIOT-CURIE ROME,"Bull Sequana XH2000 , AMD Rome 7H12 64C 2.6GHz, Mellanox HDR100",CEA/TGCC-GENCI,EVIDEN,France,2019,Research,197120,,6988.04,12039.3728,6792576.0,,,1436.0,Submitted,4.86632312,,Cluster,AMD Rome 7H12 64C 2.6GHz,AMD Zen-2 (Rome),2600,bullx SCS,Linux,None,64,AMD Zen-2 (Rome),BullSequana XH2000,BullSequana,Infiniband,InfiniBand HDR100,Europe,50414,179700
