Rank,Previous Rank,First Appearance,First Rank,Name,Computer,Site,Manufacturer,Country,Year,Segment,Total Cores,Accelerator/Co-Processor Cores,Rmax [TFlop/s],Rpeak [TFlop/s],Nmax,Nhalf,HPCG [TFlop/s],Power (kW),Power Source,Energy Efficiency [GFlops/Watts],Memory,Architecture,Processor,Processor Technology,Processor Speed (MHz),Operating System,OS Family,Accelerator/Co-Processor,Cores per Socket,Processor Generation,System Model,System Family,Interconnect Family,Interconnect,Continent,Site ID,System ID
59,41.0,62,34,DeepL Mercury,"NVIDIA DGX H100, Xeon Platinum 8480C 56C 2GHz, NVIDIA H100, NVIDIA Infiniband NDR",DeepL SE Super POD Cluster Mercury,Nvidia,Sweden,2023,Industry,40960,33792.0,21850.0,33849.34,2113536.0,,,,,,,Cluster,Xeon Platinum 8480C 56C 2GHz,Intel Sapphire Rapids,2000,Ubuntu 22.04,Linux,NVIDIA H100,56,Xeon Platinum (Sapphire Rapids),NVIDIA DGX H100,NVIDIA DGX,Infiniband,NVIDIA Infiniband NDR,Europe,50974,180224
60,42.0,58,19,Chervonenkis,"YANDEX Y4N-GA1-TY25-ZB0, AMD EPYC 7702 64C 2GHz, NVIDIA A100 80GB​, Infiniband",Yandex,"YANDEX, NVIDIA",Russia,2021,Industry,193440,168480.0,21530.0,29415.17,3926016.0,,,,,,,Cluster,AMD EPYC 7702 64C 2GHz,AMD Zen-2 (Rome),2000,Ubuntu 16.04,Linux,NVIDIA Tesla A100 80G,64,AMD Zen-2 (Rome),YANDEX Y4N-GA1-TY25-ZB0,YANDEX Cluster,Infiniband,Infiniband,Europe,50862,180029
61,43.0,40,114,Piz Daint,"Cray XC50, Xeon E5-2690v3 12C 2.6GHz, Aries interconnect , NVIDIA Tesla P100",Swiss National Supercomputing Centre (CSCS),HPE,Switzerland,2017,Research,387872,319424.0,21230.0,27154.3,3743232.0,,496.978,2384.24,Submitted,8.904304936,,MPP,Xeon E5-2690v3 12C 2.6GHz,Intel Haswell,2600,Cray Linux Environment ,Linux,NVIDIA Tesla P100,12,Intel Xeon E5 (Haswell),Cray XC50,Cray XC,Custom Interconnect,Aries interconnect ,Europe,50422,177824
62,49.0,58,22,ARCHER2,"Cray XE, AMD EPYC 7742 64C 2.25GHz, Slingshot-10",EPSRC/University of Edinburgh,HPE,United Kingdom,2021,Research,716800,,19539.0,25804.0,5816959.0,,350.21,,,,,MPP,AMD EPYC 7742 64C 2.25GHz,AMD Zen-2 (Rome),2250,HPE Cray OS,Linux,None,64,AMD Zen-2 (Rome),HPE Cray EX,HPE Cray EX,Gigabit Ethernet,Slingshot-10,Europe,50487,180036
63,73.0,59,85,Titan,"Apollo 6500, AMD EPYC 7763 64C 2.45GHz, NVIDIA A100 SXM4 80 GB, Infiniband HDR, RHEL 8.6",SK Telecom,HPE,South Korea,2024,Industry,153760,133920.0,19530.0,24947.81,3429888.0,,,,,,,Cluster,AMD EPYC 7763 64C 2.45GHz,AMD Zen-3 (Milan),2450,RHEL 8.6,Linux,NVIDIA A100 SXM4 80 GB,64,AMD Zen-3 (Milan),Apollo 6500,HPE Apollo,Infiniband,Infiniband HDR,Asia,50920,180084
66,52.0,56,16,Hawk,"Apollo 9000, AMD EPYC 7742 64C 2.25GHz, Mellanox HDR Infiniband",HLRS - Höchstleistungsrechenzentrum Stuttgart,HPE,Germany,2020,Research,698880,,19334.0,25159.68,9984000.0,,334.648,3905.83,Submitted,4.950036228,,Cluster,AMD EPYC 7742 64C 2.25GHz,AMD Zen-2 (Rome),2250,Tri-Lab Operating System ,Linux,None,64,AMD Zen-2 (Rome),Apollo 9000,HPE Apollo,Infiniband,Mellanox HDR Infiniband,Europe,50543,179880
67,53.0,57,19,Ghawar-1,"HPE Cray EX, AMD EPYC 7702 64C 2GHz, Slingshot-10",Saudi Aramco,HPE,Saudi Arabia,2021,Industry,714240,,19256.0,22855.68,9791600.0,,381.723,,,,,MPP,AMD EPYC 7702 64C 2GHz,AMD Zen-2 (Rome),2000,SLES15 SP2,Linux,None,64,AMD Zen-2 (Rome),HPE Cray EX,HPE Cray EX,Gigabit Ethernet,Slingshot-10,Asia,48751,179929
68,54.0,59,29,Frontier TDS,"HPE Cray EX235a, AMD Optimized 3rd Generation EPYC 64C 2GHz, AMD Instinct MI250X, Slingshot-11",DOE/SC/Oak Ridge National Laboratory,HPE,United States,2021,Research,120832,112640.0,19200.0,23105.54,2875392.0,,,308.68,Submitted,62.20033692,,MPP,AMD Optimized 3rd Generation EPYC 64C 2GHz,AMD Zen-3 (Milan),2000,HPE Cray OS,Linux,AMD Instinct MI250X,64,AMD Zen-3 (Milan),HPE Cray EX235a,HPE Cray EX,Gigabit Ethernet,Slingshot-11,North America,48553,180053
70,56.0,60,33,Pégaso,"Supermicro A+ Server 4124GO-NART+, AMD EPYC 7513 32C 2.6GHz, NVIDIA A100, Infiniband HDR",Petróleo Brasileiro S.A,EVIDEN,Brazil,2022,Industry,233856,217728.0,19070.0,41995.7,4428288.0,,,1033.0,Submitted,18.4607938,,Cluster,AMD EPYC 7513 32C 2.6GHz,AMD Zen-3 (Milan),2600,CentOS,Linux,NVIDIA A100,32,AMD Zen-3 (Milan),Supermicro A+ Server 4124GO-NART+,Supermicro Cluster,Infiniband,Infiniband HDR,South America,49587,180127
71,,64,71,Kestrel GPU,"HPE Cray XD665, AMD EPYC 9554 64C 3.1GHz, NVIDIA H100 80GB, Slingshot-11, RHEL 6.8",National Renewable Energy Laboratory,HPE,United States,2024,Research,83968,67584.0,18400.0,34354.79,2228224.0,1566720.0,,,,,,Cluster,AMD EPYC 9554 64C 3.1GHz,AMD Zen-4 (Genoa),3100,RHEL 6.8,Linux,NVIDIA H100 80GB,64,AMD Zen-4 (Genoa),HPE Cray XD665,HPE Cray XD,Gigabit Ethernet,Slingshot-11,North America,48481,180345
