Rank,Site,Manufacturer,Computer,Country,Year,Cores,RMax,RPeak,Nmax,Nhalf,Power,Processor Family,Processor,Proc. Frequency,System Family,System Model,Operating System,Architecture,Segment,Application Area,Interconnect Family,Interconnect,Region,Continent
3,National Institute for Computational Sciences/University of Tennessee,Cray Inc.,Cray XT5-HE Opteron Six Core 2.6 GHz,United States,2009,98928,831700.0,1028850.0,0,0,0.0,AMD x86_64,AMD x86_64 Opteron Six Core,2600,Cray XT,Cray XT5-HE,Linux,MPP,Academic,Research,Proprietary,Proprietary,North America,Americas
9,Texas Advanced Computing Center/Univ. of Texas,Sun Microsystems,"SunBlade x6420, Opteron QC 2.3 Ghz, Infiniband",United States,2008,62976,433200.0,579379.0,0,0,2000.0,AMD x86_64,AMD x86_64 Opteron Quad Core,2300,Sun Blade System,Sun Blade x6420,Linux,Cluster,Academic,Not Specified,Infiniband,Infiniband,North America,Americas
12,Moscow State University - Research Computing Center,T-Platforms,"T-Platforms T-Blade2, Xeon 5570 2.93 GHz, Infiniband QDR",Russia,2009,35360,350100.0,414419.0,2489344,0,0.0,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2930,T-Platforms Cluster,T-Platforms T-Blade2,Linux,Cluster,Academic,Not Specified,Infiniband,Infiniband,Eastern Europe,Europe
18,King Abdullah University of Science and Technology,IBM,Blue Gene/P Solution,Saudia Arabia,2009,65536,190900.0,222822.0,0,0,504.0,Power,PowerPC 450,850,IBM BlueGene,BlueGene/P,CNK/SLES 9,MPP,Academic,Not Specified,Proprietary,Proprietary,Western Asia,Asia
20,University of Edinburgh,Cray Inc.,"Cray XT4, 2.3 GHz",United Kingdom,2009,22656,174083.0,208435.0,0,0,0.0,AMD x86_64,AMD x86_64 Opteron Quad Core,2300,Cray XT,Cray XT4,UNICOS/lc,MPP,Academic,Research,Proprietary,XT4 Internal Interconnect,Northern Europe,Europe
28,Grand Equipement National de Calcul Intensif - Centre Informatique National de l'Enseignement Supérieur (GENCI-CINES),SGI,"SGI Altix ICE 8200EX, Xeon quad core 3.0 GHz",France,2008,12288,128400.0,146736.0,1817000,0,608.18,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),3000,SGI Altix,SGI Altix ICE 8200,SLES10 + SGI ProPack 5,MPP,Academic,Not Specified,Infiniband,Infiniband,Western Europe,Europe
30,National Institute for Computational Sciences/University of Tennessee,Cray Inc.,Cray XT4 QuadCore 2.3 GHz,United States,2008,17956,125128.0,165195.0,1367871,0,888.82,AMD x86_64,AMD x86_64 Opteron Quad Core,2300,Cray XT,Cray XT4 QuadCore,CNL,MPP,Academic,Research,Proprietary,XT4 Internal Interconnect,North America,Americas
32,IDRIS,IBM,Blue Gene/P Solution,France,2008,40960,119310.0,139264.0,0,0,315.0,Power,PowerPC 450,850,IBM BlueGene,BlueGene/P,CNK/SLES 9,MPP,Academic,Not Specified,Proprietary,Proprietary,Western Europe,Europe
38,Joint Supercomputer Center,Hewlett-Packard,"Cluster Platform 3000 BL460c/BL2x220, Xeon 54xx 3 Ghz, Infiniband",Russia,2009,11680,107448.0,140160.0,0,0,0.0,Intel EM64T,Intel EM64T Xeon X54xx (Harpertown),3000,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c/BL 2x220,Linux,Cluster,Academic,Research,Infiniband,Infinband DDR 4x,Eastern Europe,Europe
39,HLRN at Universitaet Hannover / RRZN,SGI,"SGI Altix ICE 8200EX, Xeon QC E5472 3.0 GHz/X5570 2.93 GHz",Germany,2009,10240,107100.0,120730.0,1535480,0,0.0,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2930,SGI Altix,SGI Altix ICE 8200,SLES10 + SGI ProPack 5,MPP,Academic,Research,Infiniband,Infiniband,Western Europe,Europe
40,HLRN at ZIB/Konrad Zuse-Zentrum fuer Informationstechnik,SGI,"SGI Altix ICE 8200EX, Xeon QC E5472 3.0 GHz/X5570 2.93 GHz",Germany,2009,10240,107100.0,120730.0,1535480,0,0.0,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2930,SGI Altix,SGI Altix ICE 8200,SLES10 + SGI ProPack 5,MPP,Academic,Research,Infiniband,Infiniband,Western Europe,Europe
43,"Computer Network Information Center, Chinese Academy of Science",Lenovo,"DeepComp 7000, HS21/x3950 Cluster, Xeon QC HT 3 GHz/2.93 GHz, Infiniband",China,2008,12216,102800.0,145965.0,1600000,0,0.0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),3000,Lenovo Cluster,Lenovo DeepComp 7000,Linux,Cluster,Academic,Research,Infiniband,Infiniband,Eastern Asia,Asia
45,"Information Technology Center, The University of Tokyo",Hitachi,Hitachi opteron QC 2.3 GHz Myrinet 10G,Japan,2009,15104,101741.0,138956.0,1740800,0,831.5,AMD x86_64,AMD x86_64 Opteron Quad Core,2300,Hitachi Cluster,Hitachi Cluster,Linux,Cluster,Academic,Research,Myrinet,Myrinet 10G,Eastern Asia,Asia
56,"GSIC Center, Tokyo Institute of Technology",NEC/Sun,"Sun Fire x4600/x6250, Opteron 2.4/2.6 GHz, Xeon E5440 2.833 GHz, ClearSpeed CSX600, nVidia GT200; Voltaire Infiniband",Japan,2009,31024,87010.0,163188.0,1059839,0,1103.0,AMD x86_64,AMD x86_64 Opteron Dual Core,2400,Sun Fire - Cluster,Fire x4600 Cluster,SuSE Linux Enterprise Server 9,Cluster,Academic,Research,Infiniband,Infiniband,Eastern Asia,Asia
61,CINECA,IBM,"Power 575, p6 4.7 GHz, Infiniband",Italy,2009,5376,78680.0,101069.0,907199,0,859.19,Power,POWER6,4700,IBM pSeries,pSeries 575,AIX,MPP,Academic,Not Specified,Infiniband,Infiniband,Southern Europe,Europe
62,"Center for Computational Sciences, University of Tsukuba",Appro International,"Appro Xtreme-X3 Server - Quad Opteron Quad Core 2.3 GHz, Infiniband",Japan,2009,10368,77280.0,95385.0,1562400,0,671.8,AMD x86_64,AMD x86_64 Opteron Quad Core,2300,Appro XtremeServer,Appro XtremeServers,Redhat Linux,Cluster,Academic,Research,Infiniband,Infinband DDR 4x,Eastern Asia,Asia
