Rank,Previous Rank,First Appearance,First Rank,Name,Computer,Site,Manufacturer,Country,Year,Segment,Total Cores,Accelerator/Co-Processor Cores,Rmax,Rpeak,Nmax,Nhalf,Power,Power Source,Mflops/Watt,Architecture,Processor,Processor Technology,Processor Speed (MHz),Operating System,OS Family,Accelerator/Co-Processor,Cores per Socket,Processor Generation,System Model,System Family,Interconnect Family,Interconnect,Region,Continent
298,217.0,46,165,,"HP Apollo 6000 Xl230/250 , Xeon E5-2680v3 12C 2.5GHz, Infiniband FDR, NVIDIA Tesla K40m",Indian Institute of Technology Delhi,HPE,India,2015,Academic,22572,4830,524400.0,1170140.0,1206000,0,498.46,Derived,1052.04,Cluster,Xeon E5-2680v3 12C 2.5GHz,Intel Haswell,2500,Linux,Linux,NVIDIA Tesla K40m,12,Intel Xeon E5 (Haswell),HP Apollo 6000 Xl230/250 ,HP Apollo,Infiniband,Infiniband FDR,South-central Asia,Asia
299,,48,299,,"Lenovo NeXtScale nx360M5, Xeon E5-2650v4 12C 2.2GHz, Intel Omni-Path",University College London (UCL),Lenovo,United Kingdom,2016,Academic,17280,0,523404.0,608256.0,0,0,,,,Cluster,Xeon E5-2650v4 12C 2.2GHz,Intel Broadwell,2200,Linux,Linux,None,12,Intel Xeon E5 (Broadwell),Lenovo NeXtScale nx360M5,Lenovo NeXtScale,Omnipath,Intel Omni-Path,Northern Europe,Europe
301,,48,301,Blue Crystal v4,"Lenovo NeXtScale nx360M5, Xeon E5-2680v4 14C 2.4GHz, Intel Omni-Path",University of Bristol,Lenovo,United Kingdom,2016,Academic,15680,0,518117.0,602112.0,4320000,0,,,,Cluster,Xeon E5-2680v4 14C 2.4GHz,Intel Broadwell,2400,Linux,Linux,None,14,Intel Xeon E5 (Broadwell),Lenovo NeXtScale nx360M5,Lenovo NeXtScale,Omnipath,Intel Omni-Path,Northern Europe,Europe
309,,48,309,"CLAIX (Phase I, 2016)","NEC HPC1812-Rg-2, Xeon E5-2650v4 12C 2.2GHz, Intel Omni-Path",Universitaet Aachen/RWTH - IT Center,NEC,Germany,2016,Academic,15000,0,506866.0,528000.0,2500608,0,208.54,Submitted,2430.55,Cluster,Xeon E5-2650v4 12C 2.2GHz,Intel Broadwell,2200,CentOS,Linux,None,12,Intel Xeon E5 (Broadwell),NEC HPC1812-Rg-2,NEC Cluster,Omnipath,Intel Omni-Path,Western Europe,Europe
314,225.0,46,171,Bluecrab,"Dell PowerEdge R730, Xeon E5-2680v3 12C 2.5GHz, Infiniband FDR14, NVIDIA Tesla K80",Maryland Advanced Research Computing Center,Dell,United States,2015,Academic,19872,2496,505100.0,874560.0,1466880,0,750.0,Submitted,673.47,Cluster,Xeon E5-2680v3 12C 2.5GHz,Intel Haswell,2500,CentOS,Linux,NVIDIA Tesla K80,12,Intel Xeon E5 (Haswell),Dell PowerEdge R730,Dell PowerEdge Cluster,Infiniband,Infiniband FDR14,North America,Americas
322,229.0,35,19,Mole-8.5,"Mole-8.5 Cluster, Xeon X5520 4C 2.27 GHz, Infiniband QDR, NVIDIA 2050","Institute of Process Engineering, Chinese Academy of Sciences","IPE, Nvidia, Tyan",China,2011,Academic,29440,26880,496500.0,1012650.0,768000,0,540.0,Submitted,919.44,Cluster,Xeon X5520 4C 2.27GHz,Intel Nehalem,2267,Linux,Linux,NVIDIA 2050,4,Xeon 5500-series (Nehalem-EP),Mole-8.5 Cluster,Mole-8.5 Cluster,Infiniband,Infiniband QDR,Eastern Asia,Asia
342,246.0,45,139,Mesabi,"HP Apollo 6000 Xl230/250 , Xeon E5-2680v3 12C 2.5GHz, Infiniband FDR",University of Minnesota/Supercomputing Institute,HPE,United States,2015,Academic,15360,0,474070.0,614400.0,1872000,0,339.2,Derived,1397.61,Cluster,Xeon E5-2680v3 12C 2.5GHz,Intel Haswell,2500,Linux,Linux,None,12,Intel Xeon E5 (Haswell),HP Apollo 6000 Xl230/250 ,HP Apollo,Infiniband,Infiniband FDR,North America,Americas
346,,48,346,Meggie,"MEGWARE MiriQuid, Xeon E5-2630v4 10C 2.2GHz, Intel Omni-Path",Universitaet Erlangen - Regionales Rechenzentrum Erlangen,MEGWARE,Germany,2016,Academic,14520,0,472152.0,511104.0,2334816,0,210.0,Submitted,2248.34,Cluster,Xeon E5-2630v4 10C 2.2GHz,Intel Broadwell,2200,CentOS,Linux,None,10,Intel Xeon E5 (Broadwell),MEGWARE MiriQuid,MEGWARE Cluster,Omnipath,Intel Omni-Path,Western Europe,Europe
351,455.0,47,455,iREMB,"Cluster Platform DL380, Xeon E5-2650v3 10C 2.3GHz, 10G Ethernet, NVIDIA Tesla K40",DGIST Supercomputing & Big Data Center,HPE,"Korea, South",2016,Academic,14400,8640,467400.0,983016.0,1430160,0,,,,Cluster,Xeon E5-2650v3 10C 2.3GHz,Intel Haswell,2300,Linux,Linux,NVIDIA Tesla K40,10,Intel Xeon E5 (Haswell),Cluster Platform DL380,HP Cluster Platform 3000,10G,10G Ethernet,Eastern Asia,Asia
354,257.0,43,185,Shadow,"Cray CS300-LC, Intel Xeon E5-2680v2  10C 2.8GHz, Infiniband FDR, Intel Xeon Phi 5110P",Mississippi State University,Cray Inc.,United States,2014,Academic,33600,28800,463117.0,592742.0,1240000,0,193.4,Submitted,2394.61,Cluster,Intel Xeon E5-2680v2  10C 2.8GHz,Intel IvyBridge,2800,Linux,Linux,Intel Xeon Phi 5110P,10,Intel Xeon E5 (IvyBridge),Cray CS300-LC,Cray CS300,Infiniband,Infiniband FDR,North America,Americas
355,258.0,45,243,Abacus 2.0,"Lenovo NeXtScale nx360M5, Xeon E5-2680v3 12C 2.5GHz, Infiniband FDR, NVIDIA Tesla K40",University of Southern Denmark,Lenovo,Denmark,2015,Academic,17928,2160,462355.0,836640.0,1797120,0,187.45,Submitted,2466.55,Cluster,Xeon E5-2680v3 12C 2.5GHz,Intel Haswell,2500,Linux,Linux,NVIDIA Tesla K40,12,Intel Xeon E5 (Haswell),Lenovo NeXtScale nx360M5,Lenovo NeXtScale,Infiniband,Infiniband FDR,Northern Europe,Europe
361,,48,361,Reedbush-U,"Rackable C2112-4GP3 Cluster, Xeon E5-2695v4 18C 2.1GHz, Infiniband EDR","Information Technology Center, The University of Tokyo",HPE/SGI,Japan,2016,Academic,15120,0,459830.0,508032.0,1693440,0,199.05,Submitted,2310.12,Cluster,Xeon E5-2695v4 18C 2.1GHz,Intel Broadwell,2100,Redhat Enterprise Linux 7.2,Linux,None,18,Intel Xeon E5 (Broadwell),Rackable C2112-4GP3 Cluster,Rackable Cluster,Infiniband,Infiniband EDR,Eastern Asia,Asia
363,,48,363,CARL,"Lenovo NeXtScale nx360M5, Xeon E5-2650v4 12C 2.2GHz, Infiniband FDR",Carl von Ossietzky University of Oldenburg,Lenovo,Germany,2016,Academic,12960,0,457234.0,601344.0,1866240,0,,,,Cluster,Xeon E5-2650v4 12C 2.2GHz,Intel Broadwell,2200,Linux,Linux,None,12,Intel Xeon E5 (Broadwell),Lenovo NeXtScale nx360M5,Lenovo NeXtScale,Infiniband,Infiniband FDR,Western Europe,Europe
364,265.0,45,146,Santos Dumont GPU,"Bullx B710, Intel Xeon E5-2695v2 12C 2.4GHz, Infiniband FDR, Nvidia K40",Laboratório Nacional de Computação Científica,"Bull, Atos Group",Brazil,2015,Academic,10692,5940,456800.0,657518.0,1160192,0,371.25,Derived,1230.44,Cluster,Intel Xeon E5-2695v2 12C 2.4GHz,Intel IvyBridge,2400,bullx SCS,Linux,NVIDIA Tesla K40,12,Intel Xeon E5 (IvyBridge),Bullx B710,Bull Bullx,Infiniband,Infiniband FDR,South America,Americas
382,,48,382,,"RH1288 V3 Cluster, Xeon E5-2680v3 12C 2.5GHz, Infiniband FDR",Interdisciplinary Centre for Mathematical and Computational Modelling,Huawei Technology Company Ltd.,Poland,2016,Academic,14540,0,439098.0,591232.0,2700000,0,394.9,Submitted,1111.92,Cluster,Xeon E5-2680v3 12C 2.5GHz,Intel Haswell,2500,Linux,Linux,None,12,Intel Xeon E5 (Haswell),RH1288 V3 Cluster,Huawei Cluster,Infiniband,Infiniband FDR,Eastern Europe,Europe
384,279.0,47,279,magnitUDE,"NEC Cluster, Xeon E5-2650v4 12C 2.2GHz, Intel Omni-Path",University of Duisburg-Essen,NEC,Germany,2016,Academic,13536,0,437705.0,476467.0,1870848,0,191.5,Submitted,2285.67,Cluster,Xeon E5-2650v4 12C 2.2GHz,Intel Broadwell,2200,Linux,Linux,None,12,Intel Xeon E5 (Broadwell),NEC Cluster,NEC Cluster,Omnipath,Intel Omni-Path,Western Europe,Europe
394,,48,394,Helen,"SGI ICE X, Xeon E5-2680 v4/Xeon E5-2670 8C/ E5-2680v3 12C 2.5GHz, Infiniband FDR",Imperial College London,HPE/SGI,United Kingdom,2016,Academic,13824,0,429698.0,524390.0,2490000,0,,,,Cluster,Xeon E5-2680v3 12C 2.5GHz,Intel Haswell,2500,SUSE Linux Enterprise Server 11,Linux,None,12,Intel Xeon E5 (Haswell),SGI ICE X,SGI ICE,Infiniband,Infiniband FDR,Northern Europe,Europe
402,294.0,39,41,HA-PACS,"Xtreme-X GreenBlade 8204, Xeon E5-2670 8C 2.600GHz, Infiniband QDR, NVIDIA 2090","Center for Computational Sciences, University of Tsukuba",Cray Inc.,Japan,2012,Academic,20800,16640,421600.0,778128.0,1954559,0,407.29,Submitted,1035.13,Cluster,Xeon E5-2670 8C 2.6GHz,Intel SandyBridge,2600,Linux,Linux,NVIDIA 2090,8,Intel Xeon E5 (SandyBridge),Xtreme-X GreenBlade 8204,Appro Xtreme-X,Infiniband,Infiniband QDR,Eastern Asia,Asia
428,318.0,40,83,Triolith,"Cluster Platform SL230s Gen8, Xeon E5-2660 8C 2.200GHz, Infiniband FDR",National Supercomputer Centre (NSC),HPE,Sweden,2012,Academic,25376,0,407240.0,446617.6,2375000,0,519.0,Submitted,784.66,Cluster,Xeon E5-2660 8C 2.2GHz,Intel SandyBridge,2200,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),Cluster Platform SL230s Gen8,HP Cluster Platform 3000SL,Infiniband,Infiniband FDR,Northern Europe,Europe
429,319.0,45,164,Rice,"Cluster Platform DL60, Xeon E5-2660v3 10C 2.6GHz, Infiniband FDR",Purdue University,HPE,United States,2015,Academic,13200,0,407138.0,549120.0,1822464,0,726.0,Derived,560.8,Cluster,Xeon E5-2660v3 10C 2.6GHz,Intel Haswell,2600,Linux,Linux,None,10,Intel Xeon E5 (Haswell),Cluster Platform DL60,HP Cluster Platform 3000,Infiniband,Infiniband FDR,North America,Americas
430,320.0,46,239,Era,"TC4600H/W580I, Xeon E5-2680v3 12C 2.5GHz/ E5-2680v2, FDR, Intel Xeon Phi 5110P/NVIDIA Tesla K20","Computer Network Information Center, Chinese Academy of Science",Sugon,China,2015,Academic,81360,6620,406800.0,542400.0,2787000,0,282.0,Submitted,1442.55,Cluster,Xeon E5-2680v3 12C 2.5GHz,Intel Haswell,2500,Linux,Linux,Intel Xeon Phi 5110P,12,Intel Xeon E5 (Haswell),Sugon Cluster TC4600H/W580I,Sugon Cluster,Infiniband,Infiniband FDR,Eastern Asia,Asia
441,331.0,39,44,,"SGI ICE X, Xeon E5-2670 8C 2.600GHz, Infiniband FDR",Norwegian University of Science and Technology,HPE/SGI,Norway,2012,Academic,22048,0,396700.0,458598.0,2203320,0,537.0,Submitted,738.73,Cluster,Xeon E5-2670 8C 2.6GHz,Intel SandyBridge,2600,SUSE Linux Enterprise Server 11,Linux,None,8,Intel Xeon E5 (SandyBridge),SGI ICE X,SGI ICE,Infiniband,Infiniband FDR,Northern Europe,Europe
442,,48,442,Midway2,"Lenovo NeXtScale nx360M5, Xeon E5-2680v4 14C 2.4GHz, Infiniband EDR",University of Chicago,Lenovo,United States,2016,Academic,11480,0,396307.0,440832.0,1651392,0,,,,Cluster,Xeon E5-2680v4 14C 2.4GHz,Intel Broadwell,2400,Linux,Linux,None,14,Intel Xeon E5 (Broadwell),Lenovo NeXtScale nx360M5,Lenovo NeXtScale,Infiniband,Infiniband EDR,North America,Americas
455,345.0,43,101,camellia,"Cray XC30, Intel Xeon E5-2670v2  10C 2.500GHz, Aries interconnect , Intel Xeon Phi 5120D","Academic Center for Computing and Media Studies (ACCMS),  Kyoto University",Cray Inc.,Japan,2014,Academic,33600,28800,380504.0,581280.0,1242880,0,165.3,Submitted,2301.9,MPP,Intel Xeon E5-2670v2  10C 2.5GHz,Intel IvyBridge,2500,Cray Linux Environment ,Linux,Intel Xeon Phi 5120D,10,Intel Xeon E5 (IvyBridge),Cray XC30,Cray XC,Custom Interconnect,Aries interconnect ,Eastern Asia,Asia
459,348.0,40,59,MVS-10P,"RSC Tornado, Xeon E5-2690 8C 2.900GHz, Infiniband FDR, Intel Xeon Phi SE10X",Joint Supercomputer Center,RSC Group,Russia,2012,Academic,28704,25376,375700.0,523577.6,1180160,0,222.7,Submitted,1687.02,Cluster,Xeon E5-2690 8C 2.9GHz,Intel SandyBridge,2900,Linux,Linux,Intel Xeon Phi SE10X,8,Intel Xeon E5 (SandyBridge),RSC Tornado,RSC Cluster,Infiniband,Infiniband FDR,Eastern Europe,Europe
466,,48,466,,"FusionServer XH620 V3 Cluster, Xeon E5-2690v4 14C 2.6GHz, Infiniband FDR",Ecole Polytechnique Federale de Lausanne,Huawei Technology Company Ltd.,Switzerland,2016,Academic,11424,0,367801.0,475238.0,2280000,0,142.6,Submitted,2579.25,Cluster,Xeon E5-2690v4 14C 2.6GHz,Intel Broadwell,2600,Linux,Linux,None,14,Intel Xeon E5 (Broadwell),FusionServer XH620 V3 Cluster,Huawei Cluster,Infiniband,Infiniband FDR,Western Europe,Europe
468,356.0,45,316,CooLMUC 2,"NeXtScale nx360M5, Xeon E5-2697v3 14C 2.6GHz, Infiniband FDR14",Leibniz-Rechenzentrum,Lenovo/IBM,Germany,2015,Academic,11200,0,366357.0,465920.0,0,0,192.81,Submitted,1900.09,Cluster,Xeon E5-2697v3 14C 2.6GHz,Intel Haswell,2600,Linux,Linux,None,14,Intel Xeon E5 (Haswell),IBM NeXtScale nx360M5,NeXtScale,Infiniband,Infiniband FDR14,Western Europe,Europe
473,361.0,47,361,Ollie,"Cray CS400, Xeon E5-2697v4 18C 2.3GHz, Omni-Path","Alfred Wegener Institute, Helmholtz Centre for Polar and Marine Research",Cray Inc.,Germany,2016,Academic,11232,0,364165.0,413338.0,1534464,0,147.0,Submitted,2477.31,Cluster,Xeon E5-2697v4 18C 2.3GHz,Intel Broadwell,2300,Linux,Linux,None,18,Intel Xeon E5 (Broadwell),Cray CS400,Cray CS400,Omnipath,Intel Omni-Path,Western Europe,Europe
476,364.0,45,178,Santos Dumont Hybrid,"Bullx B710, Intel Xeon E5-2695v2 12C 2.4GHz, Infiniband FDR, Intel Xeon Phi 7120P",Laboratório Nacional de Computação Científica,"Bull, Atos Group",Brazil,2015,Academic,24732,6588,363225.0,478829.0,1155048,0,858.75,Derived,422.97,Cluster,Intel Xeon E5-2695v2 12C 2.4GHz,Intel IvyBridge,2400,bullx SCS,Linux,Intel Xeon Phi 7120P,12,Intel Xeon E5 (IvyBridge),Bullx B710,Bull Bullx,Infiniband,Infiniband FDR,South America,Americas
484,373.0,47,373,,"Lenovo x240 M5/nx360 M5, Xeon E5-2650v3 10C 2.3GHz, Infiniband FDR",Peking Univeristy,Lenovo,China,2015,Academic,12480,0,358226.0,459264.0,1998336,0,468.0,Derived,765.44,Cluster,Xeon E5-2650v3 10C 2.3GHz,Intel Haswell,2300,Linux,Linux,None,10,Intel Xeon E5 (Haswell),Lenovo x240 M5/nx360 M5,Lenovo Cluster,Infiniband,Infiniband FDR,Eastern Asia,Asia
487,376.0,38,64,,"BlueGene/Q, Power BQC 16C 1.60 GHz, Custom",Texas A&M University,IBM,United States,2011,Academic,32768,0,357776.0,419430.4,0,0,164.38,Submitted,2176.52,MPP,Power BQC 16C 1.6GHz,PowerPC,1600,Linux,Linux,None,16,Power BQC,BlueGene/Q,IBM BlueGene,Custom Interconnect,Custom Interconnect,North America,Americas
