Rank,Previous Rank,First Appearance,First Rank,Name,Computer,Site,Manufacturer,Country,Year,Segment,Total Cores,Accelerator/Co-Processor Cores,Rmax,Rpeak,Nmax,Nhalf,Power,Power Source,Mflops/Watt,Architecture,Processor,Processor Technology,Processor Speed (MHz),Operating System,OS Family,Accelerator/Co-Processor,Cores per Socket,Processor Generation,System Model,System Family,Interconnect Family,Interconnect,Region,Continent
56,45.0,39,7,Fermi,"BlueGene/Q, Power BQC 16C 1.60GHz, Custom",CINECA,IBM,Italy,2012,Academic,163840,0,1788878.0,2097152.0,0,0,821.88,Submitted,2176.57,MPP,Power BQC 16C 1.6GHz,PowerPC,1600,Linux,Linux,None,16,Power BQC,BlueGene/Q,IBM BlueGene,Custom Interconnect,Custom Interconnect,Southern Europe,Europe
57,46.0,47,46,Marconi Intel Xeon,"Lenovo NeXtScale nx360M5, Xeon E5-2697v4 18C 2.3GHz, Omni-Path",CINECA,Lenovo,Italy,2016,Academic,54432,0,1723890.0,2003098.0,4320000,0,1360.8,Derived,1266.82,Cluster,Xeon E5-2697v4 18C 2.3GHz,Intel Broadwell,2300,Linux,Linux,None,18,Intel Xeon E5 (Broadwell),Lenovo NeXtScale nx360M5,Lenovo NeXtScale,Omnipath,Intel Omni-Path,Southern Europe,Europe
59,48.0,45,49,Prometheus,"HP Apollo 8000, Xeon E5-2680v3 12C 2.5GHz, Infiniband FDR, NVIDIA Tesla K40",Cyfronet,HPE,Poland,2015,Academic,55728,2160,1670090.0,2348640.0,5439592,0,807.6,Submitted,2067.97,Cluster,Xeon E5-2680v3 12C 2.5GHz,Intel Haswell,2500,Linux,Linux,NVIDIA Tesla K40,12,Intel Xeon E5 (Haswell),HP Apollo 8000,HP Apollo,Infiniband,Infiniband FDR,Eastern Europe,Europe
64,53.0,44,26,Occigen,"bullx  DLC, Xeon E5-2690v3 12C 2.6GHz, Infiniband FDR",Grand Equipement National de Calcul Intensif - Centre Informatique National de l'Enseignement Suprieur (GENCI-CINES),"Bull, Atos Group",France,2014,Academic,50544,0,1628770.0,2102630.4,3974400,0,934.8,Submitted,1742.37,Cluster,Xeon E5-2690v3 12C 2.6GHz,Intel Haswell,2600,Redhat Enterprise Linux 6.4,Linux,None,12,Intel Xeon E5 (Haswell),bullx DLC 720,Bull Bullx,Infiniband,Infiniband FDR,Western Europe,Europe
67,55.0,45,40,Salomon,"SGI ICE X, Xeon E5-2680v3 12C 2.5GHz, Infiniband FDR, Intel Xeon Phi 7120P","IT4Innovations National Supercomputing Center, VSB-Technical University of Ostrava",HPE/SGI,Czech Republic,2015,Academic,76896,52704,1457730.0,2011641.0,2838528,0,752.4,Submitted,1937.44,Cluster,Xeon E5-2680v3 12C 2.5GHz,Intel Haswell,2500,CentOS,Linux,Intel Xeon Phi 7120P,12,Intel Xeon E5 (Haswell),SGI ICE X,SGI ICE,Infiniband,Infiniband FDR,Eastern Europe,Europe
72,60.0,44,32,Beskow,"Cray XC40, Xeon E5-2698v3 16C 2.3GHz, Aries interconnect ",KTH - Royal Institute of Technology,Cray Inc.,Sweden,2014,Academic,53632,0,1397000.0,1973657.6,3367296,0,785.62,Derived,1778.21,MPP,Xeon E5-2698v3 16C 2.3GHz,Intel Haswell,2300,Cray Linux Environment ,Linux,None,16,Intel Xeon E5 (Haswell),Cray XC40,Cray XC,Custom Interconnect,Aries interconnect ,Northern Europe,Europe
81,69.0,40,118,Sisu,"Cray XC40, Xeon E5-2690v3 12C 2.6GHz, Aries interconnect ",CSC (Center for Scientific Computing),Cray Inc.,Finland,2014,Academic,40608,0,1250000.0,1689292.8,3301440,0,680.0,Submitted,1838.24,MPP,Xeon E5-2690v3 12C 2.6GHz,Intel Haswell,2600,Cray Linux Environment ,Linux,None,12,Intel Xeon E5 (Haswell),Cray XC40,Cray XC,Custom Interconnect,Aries interconnect ,Northern Europe,Europe
82,70.0,38,28,Helios,"Bullx B510, Xeon E5-2680 8C 2.700GHz, Infiniband QDR","International Fusion Energy Research Centre (IFERC), EU(F4E) - Japan Broader Approach collaboration","Bull, Atos Group",Japan,2011,Academic,70560,0,1237000.0,1524096.0,4870152,0,2200.0,Submitted,562.27,Cluster,Xeon E5-2680 8C 2.7GHz,Intel SandyBridge,2700,bullx SUperCOmputer Suite A.E.2.1,Linux,None,8,Intel Xeon E5 (SandyBridge),Bullx B510,Bull Bullx,Infiniband,Infiniband QDR,Eastern Asia,Asia
86,72.0,45,54,Sekirei,"SGI ICE XA, Xeon E5-2680v3 12C 2.5GHz, Infiniband FDR",University of Tokyo/Institute for Solid State Physics,HPE/SGI,Japan,2015,Academic,38016,0,1178300.0,1520640.0,3194880,0,580.9,Submitted,2028.4,Cluster,Xeon E5-2680v3 12C 2.5GHz,Intel Haswell,2500,SUSE Linux Enterprise Server 11,Linux,None,12,Intel Xeon E5 (Haswell),SGI ICE XA,SGI ICE,Infiniband,Infiniband FDR,Eastern Asia,Asia
97,80.0,45,59,Cartesius 2,"Bullx DLC B710/B720 Blades, Xeon E5-2695 v2 2.4GHz E5-2690v3 2.6GHz, Infiniband FDR",SURFsara,"Bull, Atos Group",Netherlands,2015,Academic,38880,0,1088510.0,1327104.0,3081600,0,706.0,Submitted,1541.8,Cluster,Xeon E5-2690v3 12C 2.6GHz,Intel Haswell,2600,bullx SCS,Linux,None,12,Intel Xeon E5 (Haswell),Bullx DLC B710 Blades,Bull Bullx,Infiniband,Infiniband FDR,Western Europe,Europe
99,81.0,39,29,Turing,"BlueGene/Q, Power BQC 16C 1.60GHz, Custom",CNRS/IDRIS-GENCI,IBM,France,2012,Academic,98304,0,1073327.0,1258291.0,0,0,493.0,Submitted,2177.13,MPP,Power BQC 16C 1.6GHz,PowerPC,1600,Linux,Linux,None,16,Power BQC,BlueGene/Q,IBM BlueGene,Custom Interconnect,Custom Interconnect,Western Europe,Europe
100,82.0,39,20,DiRAC,"BlueGene/Q, Power BQC 16C 1.60GHz, Custom",University of Edinburgh,IBM,United Kingdom,2012,Academic,98304,0,1073327.0,1258291.0,0,0,493.12,Submitted,2176.6,MPP,Power BQC 16C 1.6GHz,PowerPC,1600,Linux,Linux,None,16,Power BQC,BlueGene/Q,IBM BlueGene,Custom Interconnect,Custom Interconnect,Northern Europe,Europe
102,83.0,44,46,QB-2,"Dell C8220X Cluster, Intel Xeon E5-2680v2  10C 2.8GHz, Infiniband FDR, NVIDIA K20x",Louisiana Optical Network Initiative,Dell,United States,2014,Academic,23040,13440,1052000.0,1473600.0,1799168,0,500.0,Submitted,2104.0,Cluster,Intel Xeon E5-2680v2  10C 2.8GHz,Intel IvyBridge,2800,Redhat Enterprise Linux 6.4,Linux,NVIDIA Tesla K20x,10,Intel Xeon E5 (IvyBridge),Dell C8220X Cluster,Dell PowerEdge Cluster,Infiniband,Infiniband FDR,North America,Americas
104,85.0,39,18,Oakleaf-FX,"PRIMEHPC FX10, SPARC64 IXfx 16C 1.848GHz, Tofu interconnect","Information Technology Center, The University of Tokyo",Fujitsu,Japan,2012,Academic,76800,0,1043000.0,1135411.0,4058880,0,1176.8,Submitted,886.3,Cluster,SPARC64 IXfx 16C 1.85GHz,Sparc,1848,Linux,Linux,None,16,SPARC64 IXfx,PRIMEHPC FX10,Fujitsu Cluster,Custom Interconnect,Tofu interconnect,Eastern Asia,Asia
106,,48,106,TX-Green,"S7200AP Cluster, Intel Xeon Phi 7210 64C 1.3GHz, Intel Omni-Path",MIT/Lincoln Laboratory,Dell,United States,2016,Academic,41472,0,1032820.0,1725235.0,3943968,0,,,,Cluster,Intel Xeon Phi 7210 64C 1.3GHz,Intel Xeon Phi,1300,CentOS,Linux,None,64,Intel Xeon Phi,Intel S7200AP Cluster,Intel Cluster,Omnipath,Intel Omni-Path,North America,Americas
107,87.0,45,66,Taurus,"bullx DLC 720, Xeon E5-2680v3 12C 2.5GHz, Infiniband FDR","TU Dresden, ZIH","Bull, Atos Group",Germany,2015,Academic,34656,0,1029940.0,1386240.0,2772480,0,582.0,Submitted,1769.66,Cluster,Xeon E5-2680v3 12C 2.5GHz,Intel Haswell,2500,Bullx Linux,Linux,None,12,Intel Xeon E5 (Haswell),bullx DLC 720,Bull Bullx,Infiniband,Infiniband FDR,Western Europe,Europe
108,88.0,42,36,QUARTETTO,"HA8000-tc HT210/PRIMERGY CX400 Cluster, Xeon E5-2680 8C 2.700GHz, Infiniband FDR, NVIDIA K20/K20x, Xeon Phi 5110P","Research Institute for Information Technology, Kyushu University",Hitachi/Fujitsu,Japan,2013,Academic,222072,157128,1018000.0,1502236.2,3709056,0,19431.3,Derived,52.39,Cluster,Xeon E5-2680 8C 2.7GHz,Intel SandyBridge,2700,Redhat Enterprise Linux 6,Linux,"NVIDIA K20/K20x, Xeon Phi 5110P",8,Intel Xeon E5 (SandyBridge),HA8000-tc HT210/PRIMERGY CX400 Cluster,Quartetto Cluster,Infiniband,Infiniband FDR,Eastern Asia,Asia
109,89.0,46,78,Lonestar 5,"Cray XC40, Xeon E5-2690v3 12C 2.6GHz, Aries interconnect ",Texas Advanced Computing Center/Univ. of Texas,Cray Inc.,United States,2015,Academic,30048,0,1017040.0,1249997.0,3092352,0,586.88,Derived,1732.96,MPP,Xeon E5-2690v3 12C 2.6GHz,Intel Haswell,2600,Cray Linux Environment ,Linux,None,12,Intel Xeon E5 (Haswell),Cray XC40,Cray XC,Custom Interconnect,Aries interconnect ,North America,Americas
110,90.0,46,79,HETMAN,"Huawei E9000 Blade Server, Xeon E5-2697v3 14C 2.6GHz, 56G Infiniband FDR",PCSS Poznan,Huawei Technology Company Ltd.,Poland,2015,Academic,32984,0,1013721.0,1372134.0,2739840,0,549.6,Submitted,1844.47,Cluster,Xeon E5-2697v3 14C 2.6GHz,Intel Haswell,2600,Linux,Linux,None,14,Intel Xeon E5 (Haswell),Huawei E9000 Blade Server,Huawei Cluster,Infiniband,56G Infiniband FDR,Eastern Europe,Europe
114,92.0,45,126,Tryton,"HP ProLiant XL230a Gen9/Huawei RH1288/SOLAR 820 S5, Xeon E5-2670v3 12C 2.3GHz, Infiniband",Academic Computer Centre in Gdansk,Megatel/Action,Poland,2015,Academic,38400,0,1010940.0,1413120.0,3482000,0,864.0,Derived,1170.07,Cluster,Xeon E5-2670v3 12C 2.3GHz,Intel Haswell,2300,Linux,Linux,None,12,Intel Xeon E5 (Haswell),HP ProLiant XL230a Gen9,HP Cluster,Infiniband,Infiniband,Eastern Europe,Europe
118,96.0,42,121,Konrad,"Cray XC40, Intel Xeon E5-2695v2/E5-2680v3 12C 2.4/2.5GHz, Aries interconnect ",HLRN at ZIB/Konrad Zuse-Zentrum Berlin,Cray Inc.,Germany,2014,Academic,44928,0,991525.0,1425715.0,3110399,0,877.5,Derived,1129.94,MPP,Intel Xeon E5-2695v2 12C 2.4GHz,Intel IvyBridge,2400,Cray Linux Environment ,Linux,None,12,Intel Xeon E5 (IvyBridge),Cray XC40,Cray XC,Custom Interconnect,Aries interconnect ,Western Europe,Europe
122,100.0,41,28,Conte,"Cluster Platform SL250s Gen8, Xeon E5-2670 8C 2.600GHz, Infiniband FDR, Intel Xeon Phi 5110P",Purdue University,HPE,United States,2013,Academic,77520,68400,976763.0,1341096.0,1793088,0,510.0,Submitted,1915.22,Cluster,Xeon E5-2670 8C 2.6GHz,Intel SandyBridge,2600,Linux,Linux,Intel Xeon Phi 5110P,8,Intel Xeon E5 (SandyBridge),Cluster Platform SL250s Gen8,HP Cluster Platform 3000SL,Infiniband,Infiniband FDR,North America,Americas
129,106.0,40,36,MareNostrum,"iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR",Barcelona Supercomputing Center,IBM,Spain,2012,Academic,48896,0,925058.0,1017036.8,0,0,1015.6,Submitted,910.85,Cluster,Xeon E5-2670 8C 2.6GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),iDataPlex DX360M4,IBM iDataPlex,Infiniband,Infiniband FDR,Southern Europe,Europe
131,108.0,47,108,OKEANOS,"Cray XC40, Xeon E5-2690v3 12C 2.6GHz, Aries interconnect ","Interdisciplinary Centre for Mathematical and Computational Modelling, University of Warsaw",Cray Inc.,Poland,2016,Academic,26016,0,909614.0,1082266.0,4070592,0,585.36,Derived,1553.94,MPP,Xeon E5-2690v3 12C 2.6GHz,Intel Haswell,2600,Cray Linux Environment ,Linux,None,12,Intel Xeon E5 (Haswell),Cray XC40,Cray XC,Custom Interconnect,Aries interconnect ,Eastern Europe,Europe
132,109.0,37,13,Lomonosov,"T-Platforms T-Blade2/1.1, Xeon X5570/X5670/E5630 2.93/2.53 GHz, Nvidia 2070 GPU, PowerXCell 8i Infiniband QDR",Moscow State University - Research Computing Center,T-Platforms,Russia,2011,Academic,78660,29820,901900.0,1700210.0,2150399,0,2800.0,Submitted,322.11,Cluster,Xeon X5670 6C 2.93GHz,Intel Nehalem,2930,Linux,Linux,NVIDIA 2070,6,Xeon 5600-series (Westmere-EP),T-Platforms T-Blade2,T-Platforms Cluster,Infiniband,Infiniband,Eastern Europe,Europe
133,110.0,45,79,SERC,"Cray XC40, Xeon E5-2680v3 12C 2.5GHz, Aries interconnect ","Supercomputer Education and Research Centre (SERC), Indian Institute of Science",Cray Inc.,India,2015,Academic,31104,0,901506.0,1244160.0,3245184,0,607.5,Derived,1483.96,MPP,Xeon E5-2680v3 12C 2.5GHz,Intel Haswell,2500,Cray Linux Environment ,Linux,None,12,Intel Xeon E5 (Haswell),Cray XC40,Cray XC,Custom Interconnect,Aries interconnect ,South-central Asia,Asia
134,111.0,39,102,,"BlueGene/Q, Power BQC 16C 1.60GHz, Custom",Rensselaer Polytechnic Institute,IBM,United States,2012,Academic,81920,0,894439.0,1048576.0,0,0,410.9,Submitted,2176.78,MPP,Power BQC 16C 1.6GHz,PowerPC,1600,Linux,Linux,None,16,Power BQC,BlueGene/Q,IBM BlueGene,Custom Interconnect,Custom Interconnect,North America,Americas
144,117.0,47,117,Stampede-KNL,"Intel S7200AP Cluster, Intel Xeon Phi 7250 68C 1.4GHz, Intel Omni-Path",Texas Advanced Computing Center/Univ. of Texas,Dell / Intel,United States,2016,Academic,34272,0,842869.0,1535386.0,2485000,0,515.46,Submitted,1635.18,Cluster,Intel Xeon Phi 7250 68C 1.4GHz,Intel Xeon Phi,1400,CentOS,Linux,None,68,Intel Xeon Phi,Intel S7200AP Cluster,Intel Cluster,Omnipath,Intel Omni-Path,North America,Americas
150,114.0,42,120,Gottfried,"Cray XC40, Intel Xeon E5-2695v2 12C 2.4GHz/E5-2680v3 12C 2.5GHz, Aries interconnect ",HLRN at Universitaet Hannover / RRZN,Cray Inc.,Germany,2014,Academic,40320,0,829805.0,1241395.0,3001680,0,787.5,Derived,1053.72,MPP,Intel Xeon E5-2695v2 12C 2.4GHz,Intel IvyBridge,2400,Cray Linux Environment ,Linux,None,12,Intel Xeon E5 (IvyBridge),Cray XC40,Cray XC,Custom Interconnect,Aries interconnect ,Western Europe,Europe
155,134.0,41,115,Palmetto2,"HP SL250s Gen8/Lenovo NX360M5, Dell C4130, Xeon E5-2665 8C 2.4GHz/E5-2670v2, Infiniband FDR, Nvidia K20m/K40/K20",Clemson University,HPE,United States,2013,Academic,17372,10296,814400.0,1218249.2,1610112,0,1123.5,Submitted,724.88,Cluster,Xeon E5-2665 8C 2.4GHz,Intel SandyBridge,2400,Linux,Linux,NVIDIA Tesla K20m,8,Intel Xeon E5 (SandyBridge),Cluster Platform SL250s Gen8,HP Cluster Platform 3000SL,Infiniband,Infiniband FDR,North America,Americas
157,119.0,41,63,Aterui,"Cray XC40, Xeon E5-2690v3 12C 2.6GHz, Aries interconnect ",National Astronomical Observatory of Japan,Cray Inc.,Japan,2014,Academic,25440,0,801400.0,1058304.0,3742272,0,568.5,Submitted,1409.67,MPP,Xeon E5-2690v3 12C 2.6GHz,Intel Haswell,2600,Cray Linux Environment ,Linux,None,12,Intel Xeon E5 (Haswell),Cray XC40,Cray XC,Custom Interconnect,Aries interconnect ,Eastern Asia,Asia
161,121.0,47,121,Lengau,"PowerEdge C6320, Xeon E5-2690v3 12C 2.6GHz, Infiniband FDR",Centre for High Performance Computing,Dell,South Africa,2016,Academic,24192,0,782886.0,1006387.0,3836736,0,540.0,Submitted,1449.79,Cluster,Xeon E5-2690v3 12C 2.6GHz,Intel Haswell,2600,CentOS,Linux,None,12,Intel Xeon E5 (Haswell),PowerEdge C6320,Dell PowerEdge Cluster,Infiniband,Infiniband FDR,Southern Africa,Africa
162,122.0,45,87,XStream,"Cray CS-Storm, Intel Xeon E5-2680v2  10C 2.8GHz, Infiniband FDR, Nvidia K80",Stanford Research Computing Center,Cray Inc.,United States,2015,Academic,14820,13520,781300.0,1001692.0,1207296,0,190.0,Submitted,4112.11,Cluster,Intel Xeon E5-2680v2  10C 2.8GHz,Intel IvyBridge,2800,Linux,Linux,NVIDIA Tesla K80,10,Intel Xeon E5 (IvyBridge),Cray CS-Storm,Cray CS-Storm,Infiniband,Infiniband FDR,North America,Americas
163,123.0,45,88,Sekirei-ACC,"SGI ICE XA, Xeon E5-2680v3 12C 2.5GHz, Infiniband FDR, Nvidia K40",University of Tokyo/Institute for Solid State Physics,HPE/SGI,Japan,2015,Academic,15552,8640,777400.0,1100160.0,1935360,0,255.3,Submitted,3045.05,Cluster,Xeon E5-2680v3 12C 2.5GHz,Intel Haswell,2500,SUSE Linux Enterprise Server 11,Linux,NVIDIA Tesla K40,12,Intel Xeon E5 (Haswell),SGI ICE XA,SGI ICE,Infiniband,Infiniband FDR,Eastern Asia,Asia
166,126.0,47,126,ForHLR II,"Lenovo NeXtScale nx360M5, Xeon E5-2660v3 10C 2.6GHz, Infiniband EDR/FDR",Karlsruher Institut für Technologie (KIT) ,Lenovo,Germany,2016,Academic,22960,0,768336.0,955136.0,2865408,0,435.0,Submitted,1766.29,Cluster,Xeon E5-2660v3 10C 2.6GHz,Intel Haswell,2600,Linux,Linux,None,10,Intel Xeon E5 (Haswell),Lenovo NeXtScale nx360M5,Lenovo NeXtScale,Infiniband,Infiniband EDR/FDR,Western Europe,Europe
177,133.0,43,51,COMA (PACS-IX),"Cray CS300 1027GR, Intel Xeon E5-2670v2  10C 2.500GHz, Infiniband FDR, Intel Xeon Phi 7110P","Center for Computational Sciences, University of Tsukuba",Cray Inc.,Japan,2014,Academic,55664,47824,745997.0,998502.0,1638400,0,365.8,Submitted,2039.36,Cluster,Intel Xeon E5-2670v2  10C 2.5GHz,Intel IvyBridge,2500,Linux,Linux,Intel Xeon Phi 7110P,10,Intel Xeon E5 (IvyBridge),Cray CS300 1027GR,Cray CS300,Infiniband,Infiniband FDR,Eastern Asia,Asia
180,136.0,46,114,HiperGator 2.0,"PowerEdge C6320, Xeon E5-2698v3 16C 2.3GHz, Infiniband",University of Florida,Dell,United States,2015,Academic,29184,0,738065.0,1073971.0,3500160,0,384.0,Submitted,1922.04,Cluster,Xeon E5-2698v3 16C 2.3GHz,Intel Haswell,2300,Redhat Enterprise Linux 6.5,Linux,None,16,Intel Xeon E5 (Haswell),PowerEdge C6320,Dell PowerEdge Cluster,Infiniband,Infiniband,North America,Americas
181,137.0,45,95,Earth System Numerical Simulator,"Sugon Cluster TC4600E, Xeon E5-2680v3 12C 2.5GHz, Infiniband FDR","LASG/Institute of Atmospheric Physics, CAS",Sugon,China,2015,Academic,24912,0,738000.0,996480.0,4223000,0,540.0,Submitted,1366.67,Cluster,Xeon E5-2680v3 12C 2.5GHz,Intel Haswell,2500,Linux,Linux,None,12,Intel Xeon E5 (Haswell),Sugon Cluster TC4600E,Sugon Cluster,Infiniband,Infiniband FDR,Eastern Asia,Asia
196,142.0,40,68,BGQ,"BlueGene/Q, Power BQC 16C 1.600GHz, Custom Interconnect",SOSCIP/LKSAVI/University of Toronto,IBM,Canada,2012,Academic,65536,0,715551.0,838861.0,0,0,328.0,Submitted,2181.56,MPP,Power BQC 16C 1.6GHz,PowerPC,1600,Linux,Linux,None,16,Power BQC,BlueGene/Q,IBM BlueGene,Custom Interconnect,Custom Interconnect,North America,Americas
202,,48,202,Owens,"Dell PowerEdge C6320/R730, Xeon E5-2680v4 14C 2.4GHz, Infiniband EDR",Ohio Supercomputer Center,Dell,United States,2016,Academic,22372,0,705969.0,859085.0,3459830,0,323.5,Submitted,2182.28,Cluster,Xeon E5-2680v4 14C 2.4GHz,Intel Broadwell,2400,RHEL 7.2,Linux,None,14,Intel Xeon E5 (Broadwell),Dell PowerEdge C6320/R730,Dell PowerEdge Cluster,Infiniband,Infiniband EDR,North America,Americas
205,148.0,45,135,BEM,"Actina Solar 820 S6, Xeon E5-2670v3/E5-2697v3 14C/12C 2.6/2.3GHz, Infiniband FDR",Wroclaw Centre for Networking and Supercomputing,ACTION,Poland,2015,Academic,22656,0,695590.0,859546.0,2655300,0,353.0,Submitted,1970.51,Cluster,Xeon E5-2670v3 12C 2.3GHz,Intel Haswell,2300,Scientific Linux,Linux,None,12,Intel Xeon E5 (Haswell),Actina Solar 820 S6,ACTION Cluster,Infiniband,Infiniband FDR,Eastern Europe,Europe
211,,48,211,Occigen2,"bullx DLC 720, Xeon E5-2690v4 14C 2.6GHz, Infiniband FDR",Centre Informatique National (CINES),"Bull, Atos Group",France,2016,Academic,19488,0,685985.0,810700.8,2117568,0,,,,Cluster,Xeon E5-2690v4 14C 2.6GHz,Intel Broadwell,2600,bullx SCS,Linux,None,14,Intel Xeon E5 (Broadwell),bullx DLC 720,Bull Bullx,Infiniband,Infiniband FDR,Western Europe,Europe
212,151.0,45,105,GALILEO,"IBM NeXtScale nx360M4, Xeon E5-2630v3 8C 2.4GHz, Infiniband QDR, Intel Xeon Phi 7120P",CINECA,IBM/Lenovo,Italy,2015,Academic,50232,44408,684252.0,1103066.0,2210560,0,2825.55,Derived,242.17,Cluster,Xeon E5-2630v3 8C 2.4GHz,Intel Haswell,2400,Linux,Linux,Intel Xeon Phi 7120P,8,Intel Xeon E5 (Haswell),IBM NeXtScale nx360M4,NeXtScale,Infiniband,Infiniband QDR,Southern Europe,Europe
