Rank,Site,Manufacturer,Computer,Country,Year,Processors,RMax,RPeak,Nmax,Nhalf,Power,Processor Family,Processor,Proc. Frequency,System Family,System Model,Operating System,Architecture,Segment,Application Area,Interconnect Family,Interconnect,Region,Continent
134,NCSA,Dell,"PowerEdge 1955, 2.66 GHz, Infiniband",United States,2007,2048,16680.0,21300.0,650000,0,0.0,Intel EM64T,Intel EM64T Xeon 51xx (Woodcrest),2667,Dell PowerEdge Cluster,PowerEdge 1955,Linux,Cluster,Academic,Not Specified,Infiniband,Infiniband,North America,Americas
138,Federal University of Rio de Janeiro - NCE,Dell,"PowerEdge 1950, 2.66 GHz, Infiniband",Brazil,2008,2048,16240.0,21790.0,655000,0,130.0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),2666,Dell PowerEdge Cluster,PowerEdge 1950,CentOS,Cluster,Academic,Geophysics,Infiniband,Infiniband DDR,South America,Americas
155,University of Tokyo,Hitachi,SR11000-J2,Japan,2007,128,15811.0,18841.6,645120,116640,0.0,Power,POWER5+,2300,Hitachi SR11000,SR11000-J,AIX,MPP,Academic,Not Specified,SP Switch,Federation,Eastern Asia,Asia
156,CINECA,IBM,"eServer 326 Cluster, Opteron Dual Core 2.6 GHz, Infiniband",Italy,2007,10240,15760.0,53248.0,0,0,0.0,AMD x86_64,AMD x86_64 Opteron Dual Core,2600,IBM Cluster,eServer e326 Cluster Opteron,Linux,Cluster,Academic,Not Specified,Infiniband,Infiniband,Southern Europe,Europe
164,Stanford University/Biomedical Computational Facility,Dell,"PowerEdge 1950, 2.33 GHz, Infiniband",United States,2007,2208,15570.0,20578.0,730000,0,0.0,Intel EM64T,Intel EM64T Xeon 53xx (Clovertown),2333,Dell PowerEdge Cluster,PowerEdge 1950,Linux,Cluster,Academic,Not Specified,Infiniband,Infiniband DDR,North America,Americas
169,Ufa State Aviation Technical University,IBM,"BladeCenter HS21 Cluster, Xeon quad core 2.33 GHz, Infiniband",Russia,2007,2128,15328.5,19858.5,0,0,85.52,Intel EM64T,Intel EM64T Xeon 53xx (Clovertown),2333,IBM Cluster,"BladeCenter HS21 Cluster, Xeon quad core",Linux,Cluster,Academic,Aerospace,Infiniband,Infiniband,Eastern Europe,Europe
172,Kyushu University,Fujitsu,"PRIMERGY RX200S3, Xeon Dual Core 3.0 GHz, Infiniband",Japan,2007,1536,15090.0,18432.0,500000,95000,0.0,Intel EM64T,Intel EM64T Xeon 51xx (Woodcrest),3000,PRIMERGY,PRIMERGY,Redhat Linux,Cluster,Academic,Not Specified,Infiniband,Infiniband,Eastern Asia,Asia
209,Centro de Supercomp. de Galicia,Hewlett-Packard,Integrity rx5670 Itanium2 Cluster,Spain,2008,2528,14010.0,16179.0,0,0,0.0,Intel IA-64,Intel IA-64 Itanium2 Montecito Dual Core,1600,HP Cluster Platform 6000,Integrity rx5670 Itanium2 Cluster,Linux,Cluster,Academic,Not Specified,Infiniband,Infiniband DDR,Southern Europe,Europe
210,CeSViMa - BSC,IBM,"BladeCenter JS20 Cluster, PPC 970, 2.2 GHz, Myrinet",Spain,2006,2408,14000.0,21190.4,0,0,0.0,Power,PowerPC 970,2200,IBM Cluster,BladeCenter JS20 CLuster,SuSE Linux Enterprise Server 9,Cluster,Academic,Not Specified,Myrinet,Myrinet,Southern Europe,Europe
217,UCSD/San Diego Supercomputer Center,IBM,eServer Blue Gene Solution,United States,2006,6144,13780.0,17203.2,0,0,67.2,Power,PowerPC 440,700,IBM BlueGene,BlueGene/L,CNK/SLES 9,MPP,Academic,Not Specified,Proprietary,Proprietary,North America,Americas
