Rank,Previous Rank,First Appearance,First Rank,Name,Computer,Site,Manufacturer,Country,Year,Segment,Total Cores,Accelerator/Co-Processor Cores,Rmax [TFlop/s],Rpeak [TFlop/s],Nmax,Nhalf,HPCG [TFlop/s],Power (kW),Power Source,Power Effeciency [GFlops/Watts],Architecture,Processor,Processor Technology,Processor Speed (MHz),Operating System,OS Family,Accelerator/Co-Processor,Cores per Socket,Processor Generation,System Model,System Family,Interconnect Family,Interconnect,Region,Continent,Site ID,System ID
131,99.0,48,265,Mogon II,"NEC Cluster, Xeon Gold 6130 16C 2.1GHz, MEGWARE MiriQuid Xeon E5-2630v4, Intel Omni-Path",Universitaet Mainz,NEC/MEGWARE,Germany,2017,Academic,49432,,1967.81,2800.86998,3179520.0,888000.0,,657.0,Submitted,2.995,Cluster,Xeon Gold 6130 16C 2.1GHz,Intel Skylake,2100,CentOS,Linux,None,16,Xeon Gold,NEC Cluster,NEC Cluster,Omnipath,Intel Omni-Path,Western Europe,Europe,49102,178930
151,111.0,44,32,Beskow,"Cray XC40, Xeon E5-2695v4/E5-2698v3 16C 2.3GHz, Aries interconnect ",KTH - Royal Institute of Technology,Cray Inc.,Sweden,2017,Academic,67456,,1802.51,2438.14,3932160.0,,,842.0,Derived,2.141,MPP,Xeon E5-2698v3 16C 2.3GHz,Intel Haswell,2300,Cray Linux Environment ,Linux,None,16,Intel Xeon E5 (Haswell),Cray XC40,Cray XC,Custom Interconnect,Aries interconnect ,Northern Europe,Europe,48188,178448
164,122.0,47,46,Marconi Intel Xeon,"Lenovo NeXtScale nx360M5, Xeon E5-2697v4 18C 2.3GHz, Omni-Path",CINECA,Lenovo,Italy,2016,Academic,54432,,1723.89,2003.098,4320000.0,,,1360.8,Derived,1.267,Cluster,Xeon E5-2697v4 18C 2.3GHz,Intel Broadwell,2300,Linux,Linux,None,18,Intel Xeon E5 (Broadwell),Lenovo NeXtScale nx360 M5,Lenovo NeXtScale,Omnipath,Intel Omni-Path,Southern Europe,Europe,47495,178755
166,,53,166,Puhti,"Bull Sequana X1000, Xeon Gold 6230 20C 2.1GHz, Mellanox HDR100",CSC (Center for Scientific Computing),Bull,Finland,2019,Academic,40000,,1706.73,2688.0,4462464.0,,,585.0,Submitted,2.917,Cluster,Xeon Gold 6230 20C 2.1GHz,Intel Cascade lake,2100,bullx SCS,Linux,None,20,Xeon Gold 62xx (Cascade Lake),Bull Sequana X1000,Bull Sequana,Infiniband,Mellanox HDR100,Northern Europe,Europe,47508,179601
169,126.0,52,126,AFI-NITY,"PRIMERGY CX2550 M4, Xeon Gold 6148 20C 2.4GHz, Infiniband EDR","Tohoku University, Institute of Fluid Science",Fujitsu,Japan,2018,Academic,35200,,1691.0,2703.36,2670000.0,,,,,,Cluster,Xeon Gold 6148 20C 2.4GHz,Intel Skylake,2400,Linux,Linux,None,20,Xeon Gold,PRIMERGY CX2550 M4,Fujitsu PRIMERGY,Infiniband,Infiniband EDR,Eastern Asia,Asia,48977,179561
170,127.0,52,127,TaiYi,"ThinkSystem SD530, Xeon Gold 6148 20C 2.4GHz, Intel Omni-Path",Southern University of Science and Technology,Lenovo,China,2018,Academic,32400,,1686.54,2488.32,3668352.0,,,,,,Cluster,Xeon Gold 6148 20C 2.4GHz,Intel Skylake,2400,Linux,Linux,None,20,Xeon Gold,ThinkSystem SD530,Lenovo ThinkSystem,Omnipath,Intel Omni-Path,Eastern Asia,Asia,50793,179572
173,130.0,49,70,Raijin,"Hybrid Cluster PRIMERGY/x3550 M5/PowerEdge/Rackable/Rackable, Xeon , Infiniband EDR, NVIDIA Tesla P100, Xeon Phi",National Computational Infrastructure National Facility (NCI-NF),Fujitsu / Lenovo / Xenon,Australia,2012,Academic,87224,3984.0,1676.22,3801.424,3719424.0,,,,,,Cluster,Xeon E5-2690v4 14C 2.6GHz,Intel Broadwell,2600,CentOS,Linux,NVIDIA Tesla P100,14,Intel Xeon E5 (Broadwell),Hybrid Cluster PRIMERGY/x3550 M5/PowerEdge/Rackable,Hybrid Cluster,Infiniband,Infiniband EDR,Australia and New Zealand,Oceania,47369,179115
174,131.0,45,48,Prometheus,"HP Apollo 8000, Xeon E5-2680v3 12C 2.5GHz, Infiniband FDR, NVIDIA Tesla K40",Cyfronet,HPE,Poland,2015,Academic,55728,2160.0,1670.09,2348.64,5439592.0,,39.936,807.6,Submitted,2.068,Cluster,Xeon E5-2680v3 12C 2.5GHz,Intel Haswell,2500,Linux,Linux,NVIDIA Tesla K40,12,Intel Xeon E5 (Haswell),HP Apollo 8000,HP Apollo,Infiniband,Infiniband FDR,Eastern Europe,Europe,47634,178534
256,190.0,52,190,Cedar-2,"PowerEdge C6320/C6420, Xeon E5-2683 v4  16C 2.1GHz/Xeon Platinum 8160, Intel Omni-Path",Simon Fraser University/Compute Canada,Dell EMC,Canada,2018,Academic,55296,,1632.96,3715.8912,4030464.0,,,601.0,Submitted,2.717,Cluster,Xeon E5-2683 v4  16C 2.1GHz,Intel Broadwell,2100,CentOS,Linux,None,16,Intel Xeon E5 (Broadwell),PowerEdge C6320,Dell PowerEdge Cluster,Omnipath,Intel Omni-Path,North America,Americas,50722,179600
264,,53,264,Cygnus,"NEC LX Cluster, Xeon Gold 6126 12C 2.6GHz, NVIDIA Tesla V100, InfiniBand HDR100","Center for Computational Sciences, University of Tsukuba",NEC,Japan,2019,Academic,27520,25600.0,1582.0,2399.744,1171968.0,,,,,,Cluster,Xeon Gold 6126 12C 2.6GHz,Intel Skylake,2600,CentOS,Linux,NVIDIA Tesla V100,12,Xeon Gold,NEC LX Cluster,NEC Cluster,Infiniband,InfiniBand HDR100,Eastern Asia,Asia,47529,179688
276,208.0,52,208,TaiYi GPU,"ThinkSystem SD530, Xeon Gold 6140 18C 2.3GHz, NVIDIA Tesla V100, Infiniband EDR",Southern University of Science and Technology,Lenovo,China,2018,Academic,29400,24000.0,1498.32,2412.54,1697088.0,,,,,,Cluster,Xeon Gold 6140 18C 2.3GHz,Intel Skylake,2300,Linux,Linux,NVIDIA Tesla V100,18,Xeon Gold,ThinkSystem SD530,Lenovo ThinkSystem,Infiniband,Infiniband EDR,Eastern Asia,Asia,50793,179571
282,214.0,45,39,Salomon,"SGI ICE X, Xeon E5-2680v3 12C 2.5GHz, Infiniband FDR, Intel Xeon Phi 7120P","IT4Innovations National Supercomputing Center, VSB-Technical University of Ostrava",HPE,Czech Republic,2015,Academic,76896,52704.0,1457.73,2011.641,2838528.0,,,4806.0,Derived,0.303,Cluster,Xeon E5-2680v3 12C 2.5GHz,Intel Haswell,2500,CentOS,Linux,Intel Xeon Phi 7120P,12,Intel Xeon E5 (Haswell),SGI ICE X,SGI ICE,Infiniband,Infiniband FDR,Eastern Europe,Europe,50561,178525
297,,53,297,SWARM,"C4130/1028GQ, Xeon E5-2640v4 10C 2.4GHz, Intel Omni-Path 100G, NVIDIA Tesla V100 SXM2",Wuhan University,SuperMicro/DellEMC,China,2019,Academic,32640,30720.0,1403.0,3068.928,878864.0,,,,,,Cluster,Xeon E5-2640v4 10C 2.4GHz,Intel Broadwell,2400,CentOS,Linux,NVIDIA Tesla V100 SXM2,10,Intel Xeon E5 (Broadwell),C4130/1028GQ,WHU GPU Cluster,Omnipath,Intel Omni-Path 100G,Eastern Asia,Asia,49771,179684
311,,53,311,Earth Bigdata,"Sugon TC6000, Xeon Gold 6248 20C 2.5GHz, Infiniband EDR","Computer Network Information Center, Chinese Academy of Science",Sugon,China,2019,Academic,24000,,1344.0,1920.0,3730000.0,,,230.0,Submitted,5.843,Cluster,Xeon Gold 6248 20C 2.5GHz,Intel Cascade lake,2500,CentOS,Linux,None,20,Xeon Gold 62xx (Cascade Lake),Sugon TC6000,Sugon Cluster,Infiniband,Infiniband EDR,Eastern Asia,Asia,47553,179683
312,236.0,49,86,Cedar,"Dell C4130, Xeon E5-2650v4 12C 2.2GHz, Intel Omni-Path, NVIDIA Tesla P100",Simon Fraser University/Compute Canada,Dell EMC,Canada,2017,Academic,35712,32256.0,1337.0,2863.411,940800.0,,,167.0,Submitted,8.006,Cluster,Xeon E5-2650v4 12C 2.2GHz,Intel Broadwell,2200,CentOS,Linux,NVIDIA Tesla P100,12,Intel Xeon E5 (Broadwell),Dell C4130,Dell PowerEdge Cluster,Omnipath,Intel Omni-Path,North America,Americas,50722,179113
343,267.0,40,118,Sisu,"Cray XC40, Xeon E5-2690v3 12C 2.6GHz, Aries interconnect ",CSC (Center for Scientific Computing),Cray Inc.,Finland,2014,Academic,40608,,1250.0,1689.2928,3301440.0,,,680.0,Submitted,1.838,MPP,Xeon E5-2690v3 12C 2.6GHz,Intel Haswell,2600,Cray Linux Environment ,Linux,None,12,Intel Xeon E5 (Haswell),Cray XC40,Cray XC,Custom Interconnect,Aries interconnect ,Northern Europe,Europe,47508,177826
345,269.0,50,109,Era-AI,"Sugon Cluster W780I, Xeon E5-2650v4 12C 2.2GHz, NVIDIA Tesla P100, Infiniband FDR","Computer Network Information Center, Chinese Academy of Science",Sugon,China,2017,Academic,22656,21504.0,1238.0,1845.3504,786000.0,,,144.0,Submitted,8.597,Cluster,Xeon E5-2650v4 12C 2.2GHz,Intel Broadwell,2200,CentOS,Linux,NVIDIA Tesla P100,12,Intel Xeon E5 (Broadwell),Sugon Cluster W780I,Sugon Cluster,Infiniband,Infiniband FDR,Eastern Asia,Asia,47553,179247
349,271.0,49,95,Graham,"Huawei X6800 V3, Xeon E5-2683 v4  16C 2.1GHz, Infiniband EDR/FDR, NVIDIA Tesla P100",SharcNet,Huawei,Canada,2017,Academic,51200,17920.0,1228.0,2641.408,2000320.0,,21.595,546.04,Submitted,2.249,Cluster,Xeon E5-2683 v4  16C 2.1GHz,Intel Broadwell,2100,CentOS,Linux,NVIDIA Tesla P100,16,Intel Xeon E5 (Broadwell),Huawei X6800 V3,Huawei Cluster,Infiniband,Infiniband EDR/FDR,North America,Americas,49854,179047
367,,53,367,,"Inspur TS10000, Xeon Gold 6248 20C 2.5GHz, Intel Omni-Path",Shanghai Jiao Tong University,Inspur,China,2019,Academic,26240,,1194.12,2099.2,3632373.0,,,,,,Cluster,Xeon Gold 6248 20C 2.5GHz,Intel Cascade lake,2500,CentOS,Linux,None,20,Xeon Gold 62xx (Cascade Lake),Inspur TS10000,Inspur Cluster,Omnipath,Intel Omni-Path,Eastern Asia,Asia,50802,179616
368,284.0,49,100,Wilkes-2,"Dell C4130, Xeon E5-2650v4 12C 2.2GHz, Infiniband EDR, NVIDIA Tesla P100",University of Cambridge,Dell EMC,United Kingdom,2017,Academic,21240,20160.0,1193.0,1751.616,849600.0,,,114.4,Submitted,10.428,Cluster,Xeon E5-2650v4 12C 2.2GHz,Intel Broadwell,2200,Scientific Linux,Linux,NVIDIA Tesla P100,12,Intel Xeon E5 (Broadwell),Dell C4130,Dell PowerEdge Cluster,Infiniband,Infiniband EDR,Northern Europe,Europe,49143,179044
377,293.0,45,53,Sekirei,"SGI ICE XA, Xeon E5-2680v3 12C 2.5GHz, Infiniband FDR",University of Tokyo/Institute for Solid State Physics,HPE,Japan,2015,Academic,38016,,1178.3,1520.64,3194880.0,,,580.9,Submitted,2.028,Cluster,Xeon E5-2680v3 12C 2.5GHz,Intel Haswell,2500,SUSE Linux Enterprise Server 11,Linux,None,12,Intel Xeon E5 (Haswell),SGI ICE XA,SGI ICE,Infiniband,Infiniband FDR,Eastern Asia,Asia,49208,178526
393,411.0,51,255,MareNostrum P9 CTE,"IBM Power System AC922, IBM POWER9 22C 3.1GHz, Dual-rail Mellanox EDR Infiniband, NVIDIA Tesla V100",Barcelona Supercomputing Center,IBM,Spain,2018,Academic,18360,16320.0,1145.0,1403.0,1711104.0,,,81.03,Submitted,14.131,Cluster,IBM POWER9 22C 3.1GHz,Power,3100,RHEL 7.4,Linux,NVIDIA Tesla V100,22,IBM POWER9,IBM Power System AC922, IBM Power Systems,Infiniband,Dual-rail Mellanox EDR Infiniband,Southern Europe,Europe,49748,179442
455,360.0,45,58,Cartesius 2,"Bullx DLC B710/B720 Blades, Xeon E5-2695 v2 2.4GHz E5-2690v3 2.6GHz, Infiniband FDR",SURFsara,Bull,Netherlands,2015,Academic,38880,,1088.51,1327.104,3081600.0,,19.468,706.0,Submitted,1.542,Cluster,Xeon E5-2690v3 12C 2.6GHz,Intel Haswell,2600,bullx SCS,Linux,None,12,Intel Xeon E5 (Haswell),Bullx DLC B710 Blades,Bull Bullx,Infiniband,Infiniband FDR,Western Europe,Europe,50498,178551
463,368.0,39,29,Turing,"BlueGene/Q, Power BQC 16C 1.60GHz, Custom",CNRS/IDRIS-GENCI,IBM,France,2012,Academic,98304,,1073.327,1258.291,,,,493.12,Submitted,2.177,MPP,Power BQC 16C 1.6GHz,PowerPC,1600,Linux,Linux,None,16,Power BQC,BlueGene/Q,IBM BlueGene,Custom Interconnect,Custom Interconnect,Western Europe,Europe,50403,177728
464,369.0,39,20,DiRAC,"BlueGene/Q, Power BQC 16C 1.60GHz, Custom",University of Edinburgh,IBM,United Kingdom,2012,Academic,98304,,1073.327,1258.291,,,,493.12,Submitted,2.177,MPP,Power BQC 16C 1.6GHz,PowerPC,1600,Linux,Linux,None,16,Power BQC,BlueGene/Q,IBM BlueGene,Custom Interconnect,Custom Interconnect,Northern Europe,Europe,49151,177724
474,379.0,44,46,QB-2,"Dell C8220X Cluster, Intel Xeon E5-2680v2  10C 2.8GHz, Infiniband FDR, NVIDIA K20x",Louisiana Optical Network Initiative,Dell EMC,United States,2014,Academic,23040,13440.0,1052.0,1473.6,1799168.0,,,500.0,Submitted,2.104,Cluster,Intel Xeon E5-2680v2  10C 2.8GHz,Intel IvyBridge,2800,Redhat Enterprise Linux 6.4,Linux,NVIDIA Tesla K20x,10,Intel Xeon E5 (IvyBridge),Dell C8220X Cluster,Dell PowerEdge Cluster,Infiniband,Infiniband FDR,North America,Americas,49926,178467
490,395.0,48,106,TX-Green,"S7200AP Cluster, Intel Xeon Phi 7210 64C 1.3GHz, Intel Omni-Path",MIT Lincoln Laboratory Supercomputing Center,Dell EMC,United States,2016,Academic,41472,,1032.82,1725.235,3943968.0,,,,,,Cluster,Intel Xeon Phi 7210 64C 1.3GHz,Intel Xeon Phi,1300,CentOS,Linux,None,64,Intel Xeon Phi,Intel S7200AP Cluster,Intel Cluster,Omnipath,Intel Omni-Path,North America,Americas,48296,178939
493,399.0,45,65,Taurus,"bullx DLC 720, Xeon E5-2680v3 12C 2.5GHz, Infiniband FDR","TU Dresden, ZIH",Bull,Germany,2015,Academic,34656,,1029.94,1386.24,2772480.0,,,582.0,Submitted,1.77,Cluster,Xeon E5-2680v3 12C 2.5GHz,Intel Haswell,2500,Bullx Linux,Linux,None,12,Intel Xeon E5 (Haswell),bullx DLC 720,Bull Bullx,Infiniband,Infiniband FDR,Western Europe,Europe,50565,178555
494,400.0,47,121,Lengau,"PowerEdge C6320, Xeon E5-2690v3 12C 2.6GHz, Infiniband FDR",Centre for High Performance Computing,Dell EMC,South Africa,2016,Academic,32856,,1029.32,1366.81,3105408.0,,,685.0,Submitted,1.503,Cluster,Xeon E5-2690v3 12C 2.6GHz,Intel Haswell,2600,CentOS,Linux,None,12,Intel Xeon E5 (Haswell),PowerEdge C6320,Dell PowerEdge Cluster,Infiniband,Infiniband FDR,Southern Africa,Africa,50165,178793
495,401.0,41,115,Palmetto2,"HP SL250s /Lenovo NX360M5, Dell C4130, XL190r/R740 , Xeon 6148G/E5-2665 8C 2.4GHz/E5-2670v2, FDR, K20m/K40/K20/P100",Clemson University,HPE,United States,2013,Academic,12592,27740.0,1029.0,3024.9592,1400064.0,,,,,,Cluster,Xeon E5-2665 8C 2.4GHz,Intel SandyBridge,2400,Linux,Linux,NVIDIA Tesla K20m,8,Intel Xeon E5 (SandyBridge),Cluster Platform SL250s Gen8,HP Cluster Platform 3000SL,Infiniband,Infiniband FDR,North America,Americas,50100,178083
499,405.0,51,249,Romeo,"Bull Sequana X1125, Xeon Gold 6132 14C 2.6GHz, Bull BXI 1.2, NVIDIA Tesla P100 NVLink",ROMEO HPC Center - Champagne-Ardenne,Bull,France,2018,Academic,17640,15680.0,1022.0,1484.0,768000.0,,,127.0,Submitted,8.047,Cluster,Xeon Gold 6132 14C 2.6GHz,Intel Skylake,2600,RHEL,Linux,NVIDIA Tesla P100 NVLink,14,Xeon Gold,Bull Sequana X1125,Bull Sequana,Custom Interconnect,Bull BXI 1.2,Western Europe,Europe,50497,179441
