Rank,Site,Manufacturer,Computer,Country,Year,Processors,RMax,RPeak,Nmax,Nhalf,Processor Family,Processor,Proc. Frequency,System Family,Operating System,Architecture,Segment,Application Area,Interconnect Family,Interconnect,Region,Continent
6,Pittsburgh Supercomputing Center,Hewlett-Packard,"AlphaServer SC45, 1 GHz",United States,2001,3016,4463.0,6032.0,280000,85000,Alpha,Alpha,1000.0,HP AlphaServer SC/GS,Tru64 UNIX,Cluster,Academic,Not Specified,Quadrics,Quadrics,North America,Americas
9,HPCx,IBM,pSeries 690 Turbo 1.3GHz,United Kingdom,2002,1280,3241.0,6656.0,300000,0,Power,POWER4,1300.0,IBM pSeries,AIX,MPP,Academic,Not Specified,SP Switch,Colony,Northern Europe,Europe
17,Louisiana State University,Atipa Technology,P4 Xeon 1.8 GHz - Myrinet,United States,2002,1024,2207.0,3686.4,280000,56000,Intel IA-32,Intel IA-32 Pentium 4 Xeon,1800.0,NOW - Intel Pentium,Linux,Cluster,Academic,Not Specified,Myrinet,Myrinet,North America,Americas
22,"University at Buffalo, SUNY, Center for Computational Res.",Dell,PowerEdge 2650 Cluster P4 Xeon 2.4 GHz - Myrinet,United States,2002,600,2004.0,2880.0,253400,42200,Intel IA-32,Intel IA-32 Pentium 4 Xeon,2400.0,Dell PowerEdge Cluster,Linux,Cluster,Academic,Not Specified,Myrinet,Myrinet,North America,Americas
26,University of Tokyo,Hitachi,SR8000/MPP,Japan,2001,1152,1709.1,2074.0,141000,16000,Hitachi SR8000,Hitachi SR8000,450.0,Hitachi SR8xxx,HI-UX/MPP,MPP,Academic,Not Specified,Crossbar,Multi-dimensional crossbar,Eastern Asia,Asia
27,Leibniz Rechenzentrum,Hitachi,SR8000-F1/168,Germany,2002,168,1653.0,2016.0,160000,19560,Hitachi SR8000,Hitachi SR8000,375.0,Hitachi SR8xxx,HI-UX/MPP,MPP,Academic,Not Specified,Crossbar,Multi-dimensional crossbar,Western Europe,Europe
30,CINECA,IBM,pSeries 690 Turbo 1.3GHz,Italy,2002,512,1384.0,2662.4,200000,0,Power,POWER4,1300.0,IBM pSeries,AIX,MPP,Academic,Not Specified,SP Switch,Colony,Southern Europe,Europe
34,Osaka University,NEC,SX-5/128M8 3.2ns,Japan,2001,128,1192.0,1280.0,129536,10240,NEC,NEC,312.5,NEC Vector,Super-UX,Constellations,Academic,Not Specified,Crossbar,Multi-stage crossbar,Eastern Asia,Asia
37,CSC (Center for Scientific Computing),IBM,pSeries 690 1.1GHz,Finland,2002,512,1170.0,2253.0,0,0,Power,POWER4,1100.0,IBM pSeries,AIX,MPP,Academic,Not Specified,SP Switch,Colony,Northern Europe,Europe
38,Florida State University,IBM,pSeries 690 1.1GHz,United States,2002,512,1170.0,2253.0,0,0,Power,POWER4,1100.0,IBM pSeries,AIX,MPP,Academic,Not Specified,SP Switch,Colony,North America,Americas
